Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;79.23;79.23;79.23;79.23;1454;79.2299
29.11.2021;09:44:00-000;79.09;79.1399;79.09;79.1399;606;79.1265
29.11.2021;09:49:00-000;79.06;79.08;79.025;79.025;4044;79.0619
29.11.2021;10:00:00-000;78.78;78.78;78.78;78.78;100;78.78
29.11.2021;10:01:00-000;78.8141;78.8141;78.8141;78.8141;104;78.8141
29.11.2021;10:03:00-000;78.7972;78.7972;78.7972;78.7972;200;78.7972
29.11.2021;10:04:00-000;78.8;78.8;78.8;78.8;453;78.8001
29.11.2021;10:09:00-000;78.81;78.81;78.81;78.81;3788;78.8095
29.11.2021;10:11:00-000;78.78;78.78;78.78;78.78;251;78.7805
29.11.2021;10:14:00-000;78.78;78.8;78.78;78.8;222;78.789
29.11.2021;10:15:00-000;78.78;78.78;78.78;78.78;300;78.78
29.11.2021;10:18:00-000;78.81;78.81;78.81;78.81;132;78.8027
29.11.2021;10:21:00-000;78.81;78.81;78.81;78.81;100;78.81
29.11.2021;10:22:00-000;78.82;78.82;78.82;78.82;155;78.82
29.11.2021;10:33:00-000;78.7141;78.7141;78.7141;78.7141;1838;78.7141
29.11.2021;10:39:00-000;78.65;78.65;78.65;78.65;100;78.65
29.11.2021;11:17:00-000;78.745;78.745;78.745;78.745;1006;78.745
29.11.2021;11:31:00-000;78.7149;78.7149;78.7149;78.7149;126;78.7149
29.11.2021;11:45:00-000;78.8371;78.8371;78.8371;78.8371;171;78.8371
29.11.2021;11:54:00-000;78.78;78.78;78.77;78.77;1441;78.7735
29.11.2021;12:52:00-000;79.1303;79.1303;79.1303;79.1303;623;79.1307
29.11.2021;12:57:00-000;79.14;79.14;79.14;79.14;100;79.14
29.11.2021;13:05:00-000;79.16;79.16;79.16;79.16;103;79.1599
29.11.2021;13:16:00-000;79.21;79.21;79.21;79.21;121;79.21
29.11.2021;13:31:00-000;79.18;79.18;79.18;79.18;151;79.18
29.11.2021;13:35:00-000;79.19;79.19;79.19;79.19;101;79.19
29.11.2021;13:57:00-000;79.148;79.148;79.148;79.148;137;79.1479
29.11.2021;14:05:00-000;79.1696;79.1696;79.1696;79.1696;240;79.1709
29.11.2021;14:08:00-000;79.1499;79.16;79.132;79.132;1600;79.1502
29.11.2021;14:53:00-000;79.0411;79.0411;79.0411;79.0411;829;79.0411
29.11.2021;14:54:00-000;79.04;79.04;79.04;79.04;101;79.0403
29.11.2021;15:05:00-000;79.0555;79.0555;79.045;79.045;375;79.0492
29.11.2021;15:27:00-000;79.0276;79.0276;79.0276;79.0276;421;79.0276
29.11.2021;15:30:00-000;79;79;79;79;1005;78.9998
29.11.2021;15:31:00-000;78.939;78.939;78.939;78.939;109;78.939
29.11.2021;15:36:00-000;78.928;78.928;78.928;78.928;177;78.9462
29.11.2021;15:43:00-000;78.883;78.883;78.883;78.883;502;78.8831
29.11.2021;15:56:00-000;78.8768;78.89;78.8768;78.89;900;78.8835
29.11.2021;15:59:00-000;78.82;78.82;78.82;78.82;1086;78.8182
29.11.2021;16:00:00-000;78.82;78.82;78.82;78.82;201;78.82
29.11.2021;16:10:00-000;78.82;78.82;78.82;78.82;0;0
29.11.2021;18:30:00-000;78.82;78.82;78.82;78.82;0;0
29.11.2021;20:00:00-000;78.82;78.82;78.82;78.82;0;0
