Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;19.84;19.84;19.84;19.84;261;19.84
29.11.2021;09:34:00-000;19.78;19.78;19.78;19.78;300;19.78
29.11.2021;10:07:00-000;19.715;19.715;19.715;19.715;1000;19.715
29.11.2021;10:28:00-000;19.65;19.65;19.64;19.65;1317;19.643
29.11.2021;10:42:00-000;19.6201;19.6201;19.6201;19.6201;1447;19.6201
29.11.2021;10:57:00-000;19.6683;19.6683;19.6683;19.6683;180;19.6683
29.11.2021;11:07:00-000;19.6763;19.6763;19.6763;19.6763;2596;19.6763
29.11.2021;11:15:00-000;19.6499;19.6499;19.6499;19.6499;560;19.6499
29.11.2021;11:24:00-000;19.6101;19.6334;19.61;19.6334;2319;19.6155
29.11.2021;11:49:00-000;19.59;19.59;19.59;19.59;901;19.59
29.11.2021;11:55:00-000;19.625;19.6599;19.625;19.6599;2927;19.6345
29.11.2021;12:32:00-000;19.64;19.64;19.64;19.64;100;19.64
29.11.2021;13:06:00-000;19.6986;19.6986;19.6986;19.6986;183;19.6986
29.11.2021;13:10:00-000;19.69;19.69;19.69;19.69;271;19.6926
29.11.2021;13:30:00-000;19.7;19.709;19.7;19.7;716;19.7015
29.11.2021;14:36:00-000;19.67;19.67;19.6308;19.6308;3589;19.6319
29.11.2021;14:49:00-000;19.69;19.69;19.69;19.69;155;19.6935
29.11.2021;14:50:00-000;19.65;19.65;19.65;19.65;348;19.65
29.11.2021;14:53:00-000;19.69;19.69;19.69;19.69;148;19.6924
29.11.2021;15:18:00-000;19.7;19.71;19.7;19.7099;1226;19.7075
29.11.2021;15:50:00-000;19.63;19.63;19.63;19.63;120;19.63
29.11.2021;15:56:00-000;19.6485;19.6485;19.6485;19.6485;600;19.6485
29.11.2021;15:58:00-000;19.6279;19.6279;19.6279;19.6279;877;19.6279
29.11.2021;16:00:00-000;19.67;19.67;19.67;19.67;112;19.67
29.11.2021;16:10:00-000;19.67;19.67;19.67;19.67;0;0
29.11.2021;18:30:00-000;19.67;19.67;19.67;19.67;0;0
29.11.2021;20:00:00-000;19.67;19.67;19.67;19.67;0;0
