Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;106.45;113.2;106.45;106.7;4484;106.795
29.11.2021;09:31:00-000;106.84;106.84;106.83;106.83;783;106.777
29.11.2021;09:32:00-000;106.495;106.495;106.495;106.495;213;106.355
29.11.2021;09:33:00-000;106.19;106.19;106.19;106.19;156;106.225
29.11.2021;09:34:00-000;106.455;106.455;106.455;106.455;115;106.454
29.11.2021;09:35:00-000;106.32;106.445;106.32;106.445;654;106.336
29.11.2021;09:36:00-000;106.37;106.49;106.37;106.49;2024;106.478
29.11.2021;09:38:00-000;106.45;107.04;106.45;107.04;1424;106.93
29.11.2021;09:39:00-000;106.905;106.905;106.905;106.905;153;106.845
29.11.2021;09:40:00-000;107.115;107.115;106.63;106.63;293;106.856
29.11.2021;09:41:00-000;107.04;107.05;106.82;106.82;331;106.985
29.11.2021;09:43:00-000;106.97;106.97;106.97;106.97;112;106.958
29.11.2021;09:45:00-000;106.76;106.785;106.45;106.45;1075;106.65
29.11.2021;09:46:00-000;106.25;106.25;106.225;106.225;349;106.236
29.11.2021;09:47:00-000;106.4;106.43;106.4;106.43;212;106.414
29.11.2021;09:50:00-000;106.06;106.06;106.06;106.06;124;106.129
29.11.2021;09:53:00-000;106.03;106.1;105.65;106;6890;105.965
29.11.2021;09:54:00-000;106.06;106.2;106.06;106.2;585;106.141
29.11.2021;09:55:00-000;106.77;106.77;106.77;106.77;632;106.764
29.11.2021;09:58:00-000;106.59;106.59;106.59;106.59;198;106.587
29.11.2021;10:00:00-000;106.395;106.395;106.13;106.13;374;106.217
29.11.2021;10:04:00-000;106.05;106.11;106;106.02;1202;106.041
29.11.2021;10:06:00-000;106.28;106.28;106.28;106.28;120;106.253
29.11.2021;10:07:00-000;106.03;106.03;105.86;105.86;1131;106
29.11.2021;10:10:00-000;105.571;105.94;105.571;105.94;421;105.771
29.11.2021;10:12:00-000;105.93;105.93;105.93;105.93;142;105.904
29.11.2021;10:15:00-000;105.69;106.03;105.69;106.03;987;105.914
29.11.2021;10:19:00-000;106.345;106.345;106.345;106.345;170;106.259
29.11.2021;10:20:00-000;106.37;106.37;106.37;106.37;638;106.316
29.11.2021;10:21:00-000;106.34;106.37;106.34;106.37;677;106.363
