Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;14.27;14.27;14.24;14.24;2011;14.2624
29.11.2021;09:33:00-000;14.2;14.224;14.2;14.2093;1259;14.208
29.11.2021;09:36:00-000;14.23;14.23;14.23;14.23;450;14.23
29.11.2021;09:37:00-000;14.21;14.21;14.21;14.21;159;14.21
29.11.2021;09:46:00-000;14.21;14.21;14.21;14.21;450;14.21
29.11.2021;10:01:00-000;14.21;14.21;14.21;14.21;113;14.21
29.11.2021;10:03:00-000;14.2;14.2;14.2;14.2;300;14.2
29.11.2021;10:08:00-000;14.21;14.21;14.21;14.21;656;14.21
29.11.2021;10:09:00-000;14.22;14.22;14.22;14.22;200;14.22
29.11.2021;10:17:00-000;14.23;14.23;14.23;14.23;100;14.23
29.11.2021;10:22:00-000;14.22;14.22;14.22;14.22;101;14.2199
29.11.2021;10:24:00-000;14.22;14.23;14.22;14.23;692;14.2258
29.11.2021;10:47:00-000;14.23;14.24;14.23;14.24;3000;14.2365
29.11.2021;10:51:00-000;14.23;14.26;14.23;14.26;2000;14.238
29.11.2021;10:54:00-000;14.25;14.25;14.25;14.25;100;14.25
29.11.2021;10:55:00-000;14.25;14.25;14.25;14.25;100;14.25
29.11.2021;11:22:00-000;14.24;14.24;14.24;14.24;411;14.24
29.11.2021;11:29:00-000;14.24;14.24;14.24;14.24;110;14.24
29.11.2021;11:41:00-000;14.2326;14.2326;14.2326;14.2326;100;14.2326
29.11.2021;11:43:00-000;14.24;14.25;14.24;14.25;1013;14.2453
29.11.2021;11:48:00-000;14.25;14.25;14.25;14.25;100;14.25
29.11.2021;11:54:00-000;14.26;14.27;14.26;14.27;3752;14.269
29.11.2021;12:02:00-000;14.27;14.27;14.27;14.27;100;14.27
29.11.2021;12:06:00-000;14.28;14.28;14.28;14.28;100;14.28
29.11.2021;12:07:00-000;14.28;14.29;14.28;14.29;1100;14.289
29.11.2021;12:17:00-000;14.29;14.29;14.29;14.29;1000;14.29
29.11.2021;12:27:00-000;14.28;14.28;14.28;14.28;100;14.28
29.11.2021;12:28:00-000;14.3;14.3;14.3;14.3;906;14.3
29.11.2021;12:35:00-000;14.3;14.3;14.3;14.3;100;14.3
29.11.2021;12:59:00-000;14.29;14.3;14.29;14.3;2484;14.2988
29.11.2021;13:00:00-000;14.3;14.3001;14.3;14.3001;2000;14.3001
29.11.2021;13:10:00-000;14.3014;14.3014;14.3014;14.3014;200;14.3014
29.11.2021;13:20:00-000;14.31;14.31;14.3;14.3;292;14.3043
29.11.2021;13:22:00-000;14.3016;14.3016;14.3016;14.3016;177;14.3011
29.11.2021;13:32:00-000;14.3;14.3;14.3;14.3;835;14.3
29.11.2021;13:33:00-000;14.31;14.31;14.31;14.31;100;14.31
29.11.2021;13:43:00-000;14.31;14.31;14.31;14.31;1274;14.31
29.11.2021;13:44:00-000;14.32;14.3205;14.31;14.31;600;14.3168
29.11.2021;13:46:00-000;14.32;14.32;14.32;14.32;200;14.32
29.11.2021;14:00:00-000;14.32;14.32;14.32;14.32;698;14.32
29.11.2021;14:02:00-000;14.32;14.32;14.32;14.32;1200;14.32
29.11.2021;14:05:00-000;14.325;14.33;14.325;14.33;1600;14.3294
29.11.2021;14:07:00-000;14.34;14.34;14.34;14.34;100;14.34
29.11.2021;14:11:00-000;14.32;14.32;14.32;14.32;178;14.32
29.11.2021;14:13:00-000;14.32;14.32;14.32;14.32;500;14.32
29.11.2021;14:17:00-000;14.34;14.34;14.34;14.34;196;14.34
29.11.2021;14:22:00-000;14.325;14.325;14.32;14.32;1684;14.3203
29.11.2021;15:01:00-000;14.32;14.32;14.32;14.32;175;14.32
29.11.2021;15:06:00-000;14.32;14.32;14.305;14.305;1076;14.3172
29.11.2021;15:20:00-000;14.305;14.305;14.3;14.3;1990;14.2996
29.11.2021;15:21:00-000;14.27;14.27;14.2686;14.2686;5287;14.269
29.11.2021;15:27:00-000;14.27;14.27;14.265;14.27;900;14.2694
29.11.2021;15:28:00-000;14.265;14.27;14.265;14.27;500;14.268
29.11.2021;15:31:00-000;14.2603;14.2603;14.2603;14.2603;980;14.2603
29.11.2021;15:35:00-000;14.2601;14.2601;14.26;14.26;2000;14.2601
29.11.2021;15:59:00-000;14.26;14.3;14.26;14.3;827;14.2711
29.11.2021;16:00:00-000;14.28;14.28;14.28;14.28;521;14.2834
29.11.2021;16:10:00-000;14.28;14.28;14.28;14.28;0;0
29.11.2021;18:30:00-000;14.28;14.28;14.28;14.28;0;0
29.11.2021;19:00:00-000;14.28;14.28;14.28;14.28;0;0
