Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;81.24;81.24;81.24;81.24;533;81.2897
29.11.2021;09:35:00-000;80.945;80.945;80.945;80.945;100;80.945
29.11.2021;09:36:00-000;80.51;80.51;80.51;80.51;302;80.5099
29.11.2021;09:37:00-000;80.5;80.5;80.47;80.47;521;80.4779
29.11.2021;09:38:00-000;80.4;80.4;80.4;80.4;100;80.4
29.11.2021;09:40:00-000;80.32;80.32;80.32;80.32;332;80.2849
29.11.2021;09:41:00-000;80.395;80.395;80.395;80.395;100;80.395
29.11.2021;09:44:00-000;80.455;80.455;80.455;80.455;242;80.4167
29.11.2021;09:45:00-000;80.51;80.51;80.45;80.5;1037;80.4759
29.11.2021;09:46:00-000;80.7;80.7;80.6597;80.7;1100;80.6817
29.11.2021;09:47:00-000;80.75;80.93;80.75;80.93;754;80.8386
29.11.2021;09:49:00-000;80.88;80.88;80.48;80.48;927;80.7342
29.11.2021;09:50:00-000;80.555;80.555;80.42;80.475;699;80.4473
29.11.2021;09:51:00-000;80.48;80.5;80.39;80.39;801;80.4778
29.11.2021;09:54:00-000;80.41;80.41;80.41;80.41;100;80.41
29.11.2021;09:55:00-000;80.35;80.35;80.35;80.35;101;80.3497
29.11.2021;09:57:00-000;80.41;80.41;80.41;80.41;110;80.4131
29.11.2021;09:59:00-000;80.26;80.26;80.26;80.26;200;80.26
29.11.2021;10:02:00-000;80.24;80.24;80.23;80.23;400;80.2375
29.11.2021;10:03:00-000;80.16;80.16;80.16;80.16;200;80.125
29.11.2021;10:04:00-000;80.14;80.14;80.025;80.08;509;80.0612
29.11.2021;10:05:00-000;80.2;80.2;80.2;80.2;225;80.1802
29.11.2021;10:06:00-000;80.185;80.185;80.185;80.185;103;80.1874
29.11.2021;10:07:00-000;80.18;80.18;80.18;80.18;300;80.0668
29.11.2021;10:08:00-000;79.95;79.96;79.8;79.8;798;79.9018
29.11.2021;10:09:00-000;80.03;80.03;80.03;80.03;201;80.03
29.11.2021;10:10:00-000;79.94;79.94;79.93;79.93;541;79.9398
29.11.2021;10:13:00-000;79.81;79.81;79.79;79.79;912;79.8038
29.11.2021;10:14:00-000;79.7933;79.7933;79.7933;79.7933;332;79.7933
29.11.2021;10:15:00-000;79.83;80.12;79.83;80.12;1131;79.969
29.11.2021;10:16:00-000;80.07;80.07;79.89;79.89;713;80.0084
29.11.2021;10:17:00-000;79.9599;79.9599;79.9599;79.9599;3400;79.9599
29.11.2021;10:19:00-000;79.98;80.03;79.98;80.03;701;80.0071
29.11.2021;10:22:00-000;79.84;79.84;79.84;79.84;300;79.8433
29.11.2021;10:26:00-000;79.71;79.71;79.53;79.53;540;79.6481
29.11.2021;10:31:00-000;79.3;79.3;79.17;79.17;593;79.2613
29.11.2021;10:32:00-000;79.35;79.35;79.34;79.35;964;79.3444
29.11.2021;10:33:00-000;79.27;79.27;79.25;79.25;343;79.2551
29.11.2021;10:34:00-000;79.52;79.52;79.52;79.52;144;79.51
29.11.2021;10:36:00-000;79.68;79.68;79.64;79.66;886;79.6605
29.11.2021;10:37:00-000;79.59;79.59;79.58;79.58;200;79.585
29.11.2021;10:38:00-000;79.48;79.49;79.405;79.49;400;79.4663
29.11.2021;10:41:00-000;79.28;79.28;79.25;79.25;250;79.28
29.11.2021;10:44:00-000;79.35;79.35;79.35;79.35;112;79.3394
29.11.2021;10:45:00-000;79.35;79.41;79.35;79.41;452;79.3673
29.11.2021;10:46:00-000;79.44;79.48;79.43;79.48;701;79.4329
29.11.2021;10:48:00-000;79.32;79.34;79.32;79.34;306;79.33
29.11.2021;10:51:00-000;79.27;79.27;79.27;79.27;100;79.27
29.11.2021;10:53:00-000;79.37;79.37;79.33;79.33;317;79.3579
