Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;10.35;10.42;10.35;10.42;4252;10.3553
29.11.2021;09:34:00-000;10.32;10.32;10.32;10.32;127;10.2809
29.11.2021;09:36:00-000;10.1;10.1;9.98;9.98;2406;10.0549
29.11.2021;09:40:00-000;9.98;9.98;9.98;9.98;143;9.9965
29.11.2021;09:42:00-000;10.03;10.04;10.03;10.04;225;10.0333
29.11.2021;09:45:00-000;10.05;10.05;9.99;9.99;1396;10.0022
29.11.2021;09:46:00-000;9.9225;9.9225;9.8602;9.8602;2610;9.8714
29.11.2021;09:47:00-000;9.8835;9.9;9.82;9.9;2395;9.8569
29.11.2021;09:48:00-000;9.86;9.86;9.86;9.86;101;9.86
29.11.2021;09:49:00-000;9.86;9.86;9.8;9.8;518;9.8354
29.11.2021;09:50:00-000;9.865;9.865;9.865;9.865;228;9.8648
29.11.2021;09:55:00-000;9.91;9.91;9.91;9.91;100;9.91
29.11.2021;09:56:00-000;9.92;9.92;9.92;9.92;378;9.9203
29.11.2021;09:57:00-000;9.97;9.99;9.97;9.97;451;9.9811
29.11.2021;09:58:00-000;9.98;9.98;9.98;9.98;1041;9.9798
29.11.2021;10:03:00-000;9.965;9.965;9.965;9.965;101;9.965
29.11.2021;10:05:00-000;9.93;9.93;9.92;9.92;557;9.9273
29.11.2021;10:06:00-000;9.92;9.92;9.92;9.92;520;9.9181
29.11.2021;10:10:00-000;9.89;9.89;9.89;9.89;100;9.89
29.11.2021;10:11:00-000;9.89;9.89;9.85;9.88;490;9.8691
29.11.2021;10:13:00-000;9.8;9.835;9.8;9.8243;2471;9.8007
29.11.2021;10:19:00-000;9.77;9.77;9.7378;9.765;727;9.7549
29.11.2021;10:20:00-000;9.81;9.81;9.7942;9.81;1507;9.8043
29.11.2021;10:21:00-000;9.78;9.78;9.78;9.78;100;9.78
29.11.2021;10:23:00-000;9.7806;9.8;9.7806;9.8;461;9.7949
29.11.2021;10:24:00-000;9.8636;9.8636;9.8636;9.8636;405;9.8636
29.11.2021;10:25:00-000;9.87;9.9;9.85;9.87;1250;9.8847
29.11.2021;10:26:00-000;9.85;9.85;9.73;9.784;4036;9.8142
29.11.2021;10:30:00-000;9.71;9.71;9.69;9.69;6106;9.6995
29.11.2021;10:31:00-000;9.7799;9.7799;9.67;9.67;5174;9.7765
29.11.2021;10:32:00-000;9.67;9.67;9.67;9.67;150;9.6703
29.11.2021;10:33:00-000;9.725;9.725;9.725;9.725;253;9.7236
29.11.2021;10:36:00-000;9.73;9.73;9.72;9.72;625;9.7246
29.11.2021;10:37:00-000;9.72;9.72;9.72;9.72;416;9.7221
29.11.2021;10:39:00-000;9.77;9.77;9.77;9.77;315;9.7684
29.11.2021;10:46:00-000;9.73;9.76;9.73;9.76;665;9.7531
29.11.2021;10:50:00-000;9.7994;9.7994;9.7994;9.7994;200;9.7994
29.11.2021;10:55:00-000;9.84;9.84;9.84;9.84;335;9.8409
29.11.2021;10:56:00-000;9.832;9.85;9.81;9.82;4980;9.8201
29.11.2021;11:02:00-000;9.81;9.81;9.81;9.81;141;9.8246
29.11.2021;11:04:00-000;9.8101;9.86;9.8101;9.86;2028;9.8133
29.11.2021;11:06:00-000;9.875;9.875;9.875;9.875;5000;9.875
29.11.2021;11:09:00-000;9.8948;9.91;9.8948;9.91;523;9.9274
29.11.2021;11:10:00-000;9.89;9.89;9.89;9.89;110;9.8964
29.11.2021;11:11:00-000;9.9999;9.9999;9.9999;9.9999;5101;9.9977
29.11.2021;11:12:00-000;9.99;10.06;9.98;9.98;3271;10.0097
29.11.2021;11:24:00-000;9.95;9.97;9.9004;9.97;3978;9.9444
29.11.2021;11:29:00-000;9.87;9.9135;9.82;9.9135;1354;9.8817
29.11.2021;11:31:00-000;9.82;9.82;9.82;9.82;100;9.82
29.11.2021;11:32:00-000;9.83;9.83;9.83;9.83;208;9.8284
29.11.2021;11:33:00-000;9.82;9.82;9.81;9.81;1375;9.8137
29.11.2021;11:34:00-000;9.81;9.81;9.78;9.78;1793;9.8028
29.11.2021;11:36:00-000;9.7;9.7;9.7;9.7;2958;9.7012
29.11.2021;11:37:00-000;9.7164;9.7164;9.7164;9.7164;280;9.7158
29.11.2021;11:39:00-000;9.7191;9.7191;9.7191;9.7191;204;9.7199
29.11.2021;11:40:00-000;9.68;9.68;9.68;9.68;120;9.6912
29.11.2021;11:42:00-000;9.76;9.76;9.76;9.76;101;9.7594
29.11.2021;11:43:00-000;9.75;9.785;9.75;9.785;827;9.7718
29.11.2021;11:44:00-000;9.79;9.79;9.79;9.79;200;9.784
29.11.2021;11:46:00-000;9.7483;9.77;9.7483;9.77;5848;9.7598
29.11.2021;11:47:00-000;9.81;9.81;9.795;9.795;300;9.805
29.11.2021;11:48:00-000;9.86;9.86;9.86;9.86;710;9.8597
29.11.2021;11:49:00-000;9.89;9.89;9.89;9.89;640;9.8788
29.11.2021;11:50:00-000;9.875;9.875;9.875;9.875;304;9.8801
29.11.2021;11:52:00-000;9.895;9.9399;9.85;9.9;15704;9.8809
29.11.2021;11:53:00-000;9.94;9.94;9.94;9.94;400;9.94
29.11.2021;11:54:00-000;9.905;9.94;9.905;9.94;200;9.9225
29.11.2021;11:56:00-000;9.905;9.97;9.905;9.95;1092;9.9556
29.11.2021;11:58:00-000;9.94;9.94;9.93;9.94;712;9.9374
29.11.2021;12:08:00-000;9.96;9.96;9.96;9.96;115;9.9626
29.11.2021;12:11:00-000;9.94;9.94;9.9116;9.9116;598;9.922
29.11.2021;12:13:00-000;9.96;9.96;9.96;9.96;200;9.96
29.11.2021;12:19:00-000;9.96;9.99;9.96;9.99;201;9.9752
29.11.2021;12:23:00-000;9.985;9.99;9.985;9.99;573;9.9861
29.11.2021;12:25:00-000;9.96;9.96;9.96;9.96;2291;9.96
29.11.2021;12:27:00-000;9.96;9.96;9.96;9.96;101;9.96
29.11.2021;12:32:00-000;9.998;9.998;9.96;9.965;875;9.9831
29.11.2021;12:34:00-000;9.97;9.97;9.97;9.97;142;9.9738
29.11.2021;12:38:00-000;9.9587;9.9587;9.9587;9.9587;102;9.959
29.11.2021;12:40:00-000;9.94;9.94;9.94;9.94;100;9.94
29.11.2021;12:46:00-000;10.01;10.02;10.01;10.02;700;10.0105
29.11.2021;12:47:00-000;10;10.0387;10;10.0387;406;10.0191
29.11.2021;12:48:00-000;9.99;9.99;9.99;9.99;127;9.9974
29.11.2021;12:56:00-000;9.99;9.99;9.99;9.99;692;9.9874
29.11.2021;12:58:00-000;9.98;10;9.97;10;1015;9.9802
29.11.2021;13:02:00-000;10;10;9.98;10;730;9.9926
29.11.2021;13:04:00-000;10;10;9.99;9.99;717;9.9945
29.11.2021;13:05:00-000;9.97;9.97;9.95;9.95;3014;9.964
29.11.2021;13:07:00-000;9.98;9.98;9.98;9.98;100;9.98
29.11.2021;13:11:00-000;9.94;9.94;9.94;9.94;230;9.957
29.11.2021;13:13:00-000;9.94;9.94;9.93;9.93;834;9.9364
29.11.2021;13:15:00-000;9.93;9.93;9.93;9.93;350;9.93
29.11.2021;13:23:00-000;9.92;9.92;9.92;9.92;100;9.92
29.11.2021;13:27:00-000;9.895;9.895;9.895;9.895;150;9.9
29.11.2021;13:30:00-000;9.905;9.905;9.905;9.905;104;9.906
29.11.2021;13:33:00-000;9.87;9.87;9.87;9.87;101;9.8703
29.11.2021;13:40:00-000;9.87;9.87;9.87;9.87;704;9.8742
29.11.2021;13:48:00-000;9.87;9.87;9.87;9.87;110;9.87
29.11.2021;13:51:00-000;9.84;9.85;9.84;9.85;559;9.8461
29.11.2021;13:52:00-000;9.85;9.85;9.85;9.85;343;9.8476
29.11.2021;13:53:00-000;9.88;9.88;9.8775;9.88;498;9.8807
29.11.2021;13:59:00-000;9.88;9.88;9.88;9.88;101;9.88
29.11.2021;14:00:00-000;9.87;9.87;9.87;9.87;103;9.8696
29.11.2021;14:02:00-000;9.85;9.85;9.85;9.85;255;9.85
29.11.2021;14:06:00-000;9.855;9.855;9.855;9.855;416;9.8551
29.11.2021;14:08:00-000;9.83;9.83;9.83;9.83;160;9.8394
29.11.2021;14:13:00-000;9.83;9.83;9.83;9.83;100;9.83
29.11.2021;14:16:00-000;9.83;9.83;9.83;9.83;1070;9.8301
29.11.2021;14:18:00-000;9.82;9.82;9.82;9.82;200;9.8103
29.11.2021;14:23:00-000;9.815;9.93;9.815;9.93;2141;9.8419
29.11.2021;14:24:00-000;9.895;9.895;9.895;9.895;220;9.895
29.11.2021;14:25:00-000;9.895;9.895;9.895;9.895;110;9.895
29.11.2021;14:28:00-000;9.895;9.895;9.895;9.895;250;9.895
29.11.2021;14:29:00-000;9.895;9.895;9.895;9.895;808;9.9061
29.11.2021;14:30:00-000;9.87;9.91;9.87;9.91;1291;9.8808
29.11.2021;14:32:00-000;9.86;9.86;9.85;9.85;566;9.8527
29.11.2021;14:33:00-000;9.84;9.85;9.81;9.81;875;9.8363
29.11.2021;14:39:00-000;9.85;9.86;9.85;9.855;507;9.8539
29.11.2021;14:40:00-000;9.875;9.875;9.86;9.86;595;9.8737
29.11.2021;14:42:00-000;9.85;9.879;9.85;9.87;359;9.8641
29.11.2021;14:43:00-000;9.855;9.88;9.855;9.855;1154;9.8753
29.11.2021;14:45:00-000;9.895;9.895;9.895;9.895;296;9.9007
29.11.2021;14:50:00-000;9.925;9.925;9.925;9.925;186;9.9215
29.11.2021;14:51:00-000;9.93;9.93;9.93;9.93;114;9.9306
29.11.2021;14:52:00-000;9.94;9.94;9.94;9.94;251;9.9392
29.11.2021;14:53:00-000;9.94;9.94;9.94;9.94;111;9.9405
29.11.2021;14:54:00-000;9.94;9.94;9.92;9.92;848;9.9224
29.11.2021;14:55:00-000;9.915;9.915;9.915;9.915;480;9.9176
29.11.2021;14:59:00-000;9.905;9.905;9.905;9.905;110;9.905
29.11.2021;15:00:00-000;9.905;9.905;9.89;9.89;1200;9.8925
29.11.2021;15:01:00-000;9.89;9.89;9.87;9.87;1634;9.8819
29.11.2021;15:03:00-000;9.87;9.87;9.87;9.87;112;9.8698
29.11.2021;15:06:00-000;9.86;9.86;9.81;9.81;1128;9.8441
29.11.2021;15:07:00-000;9.82;9.86;9.82;9.86;2079;9.8446
29.11.2021;15:08:00-000;9.855;9.855;9.855;9.855;345;9.8588
29.11.2021;15:09:00-000;9.855;9.87;9.855;9.87;519;9.862
29.11.2021;15:12:00-000;9.865;9.865;9.865;9.865;260;9.8652
29.11.2021;15:13:00-000;9.865;9.865;9.84;9.86;814;9.8564
29.11.2021;15:15:00-000;9.86;9.88;9.86;9.865;1104;9.8643
29.11.2021;15:16:00-000;9.865;9.865;9.865;9.865;898;9.8649
29.11.2021;15:17:00-000;9.85;9.851;9.84;9.84;697;9.8503
29.11.2021;15:18:00-000;9.85;9.85;9.85;9.85;105;9.8501
29.11.2021;15:20:00-000;9.83;9.84;9.83;9.84;447;9.8326
29.11.2021;15:23:00-000;9.835;9.835;9.82;9.835;814;9.8312
29.11.2021;15:24:00-000;9.82;9.82;9.82;9.82;241;9.8217
29.11.2021;15:25:00-000;9.85;9.85;9.807;9.825;760;9.8275
29.11.2021;15:26:00-000;9.8;9.835;9.8;9.82;874;9.8268
29.11.2021;15:27:00-000;9.84;9.84;9.83;9.84;2227;9.8382
29.11.2021;15:28:00-000;9.84;9.84;9.83;9.83;750;9.8353
29.11.2021;15:29:00-000;9.84;9.84;9.83;9.84;3096;9.8365
29.11.2021;15:30:00-000;9.84;9.86;9.84;9.86;3670;9.8527
29.11.2021;15:31:00-000;9.86;9.87;9.85;9.86;2443;9.8642
29.11.2021;15:32:00-000;9.855;9.855;9.84;9.855;1350;9.8533
29.11.2021;15:33:00-000;9.855;9.855;9.855;9.855;703;9.8543
29.11.2021;15:34:00-000;9.855;9.88;9.855;9.875;1950;9.8715
29.11.2021;15:35:00-000;9.875;9.875;9.875;9.875;570;9.872
29.11.2021;15:36:00-000;9.87;9.87;9.84;9.84;869;9.8548
29.11.2021;15:37:00-000;9.83;9.83;9.83;9.83;345;9.8336
29.11.2021;15:38:00-000;9.84;9.84;9.84;9.84;603;9.8392
29.11.2021;15:39:00-000;9.82;9.825;9.82;9.825;617;9.8247
29.11.2021;15:40:00-000;9.83;9.83;9.81;9.82;1296;9.8138
29.11.2021;15:41:00-000;9.82;9.82;9.82;9.82;281;9.8183
29.11.2021;15:42:00-000;9.82;9.82;9.82;9.82;603;9.82
29.11.2021;15:43:00-000;9.81;9.81;9.81;9.81;565;9.8085
29.11.2021;15:44:00-000;9.82;9.84;9.82;9.84;1569;9.8225
