Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;25.46;25.46;25.46;25.46;154;25.46
29.11.2021;09:52:00-000;25.4756;25.4756;25.4756;25.4756;3936;25.4756
29.11.2021;09:56:00-000;25.445;25.445;25.445;25.445;300;25.445
29.11.2021;10:21:00-000;25.45;25.45;25.41;25.45;5094;25.4224
29.11.2021;10:25:00-000;25.4;25.4;25.4;25.4;2325;25.4
29.11.2021;10:26:00-000;25.431;25.431;25.431;25.431;600;25.431
29.11.2021;10:27:00-000;25.4786;25.4786;25.4786;25.4786;2000;25.4749
29.11.2021;10:30:00-000;25.4799;25.4799;25.4799;25.4799;1000;25.4799
29.11.2021;10:38:00-000;25.35;25.35;25.25;25.345;3100;25.3367
29.11.2021;10:47:00-000;25.35;25.35;25.3;25.35;5700;25.3226
29.11.2021;10:48:00-000;25.31;25.4185;25.289;25.4185;3284;25.3351
29.11.2021;11:34:00-000;25.365;25.365;25.365;25.365;250;25.365
29.11.2021;11:47:00-000;25.33;25.33;25.32;25.32;606;25.3238
29.11.2021;11:57:00-000;25.41;25.41;25.41;25.41;200;25.41
29.11.2021;12:17:00-000;25.385;25.385;25.385;25.385;119;25.385
29.11.2021;12:40:00-000;25.35;25.35;25.35;25.35;1128;25.35
29.11.2021;12:56:00-000;25.4;25.4;25.4;25.4;600;25.4
29.11.2021;13:21:00-000;25.4;25.4;25.4;25.4;1000;25.3999
29.11.2021;13:41:00-000;25.3942;25.3942;25.3942;25.3942;250;25.3942
29.11.2021;14:20:00-000;25.35;25.35;25.35;25.35;137;25.3534
29.11.2021;14:47:00-000;25.3893;25.3893;25.3893;25.3893;1000;25.3893
29.11.2021;15:01:00-000;25.38;25.38;25.38;25.38;642;25.38
29.11.2021;15:14:00-000;25.3634;25.3634;25.3634;25.3634;167;25.363
29.11.2021;15:23:00-000;25.35;25.35;25.35;25.35;2628;25.35
29.11.2021;15:26:00-000;25.33;25.35;25.33;25.342;1512;25.3407
29.11.2021;15:56:00-000;25.32;25.4;25.31;25.3553;6718;25.3542
29.11.2021;15:58:00-000;25.34;25.34;25.34;25.34;100;25.34
29.11.2021;15:59:00-000;25.4;25.4;25.4;25.4;102;25.3999
29.11.2021;16:00:00-000;25.4;25.4;25.4;25.4;146;25.4
29.11.2021;16:10:00-000;25.4;25.4;25.4;25.4;0;0
29.11.2021;18:30:00-000;25.4;25.4;25.4;25.4;0;0
29.11.2021;19:00:00-000;25.4;25.4;25.4;25.4;0;0
