Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:29:00-000;24.88;24.9;24.88;24.9;600;24.8833
29.11.2021;09:32:00-000;24.88;24.9;24.88;24.9;1700;24.8941
29.11.2021;09:33:00-000;24.9;24.9;24.9;24.9;700;24.9
29.11.2021;09:40:00-000;24.9;24.9;24.88;24.88;7000;24.8971
29.11.2021;09:41:00-000;24.88;24.88;24.88;24.88;2100;24.88
29.11.2021;09:43:00-000;24.88;24.88;24.88;24.88;100;24.88
29.11.2021;09:47:00-000;24.85;24.85;24.85;24.85;2700;24.85
29.11.2021;09:49:00-000;24.85;24.85;24.85;24.85;2500;24.85
29.11.2021;09:50:00-000;24.85;24.85;24.85;24.85;5000;24.85
29.11.2021;09:51:00-000;24.86;24.86;24.86;24.86;4000;24.86
29.11.2021;09:55:00-000;24.865;24.87;24.85;24.85;2400;24.8573
29.11.2021;09:57:00-000;24.82;24.82;24.82;24.82;400;24.82
29.11.2021;09:58:00-000;24.82;24.82;24.82;24.82;2000;24.82
29.11.2021;09:59:00-000;24.83;24.83;24.83;24.83;300;24.83
29.11.2021;10:00:00-000;24.83;24.83;24.83;24.83;3300;24.83
29.11.2021;10:05:00-000;24.8;24.8083;24.8;24.8083;402;24.8041
29.11.2021;10:06:00-000;24.82;24.82;24.78;24.78;1700;24.7918
29.11.2021;10:16:00-000;24.7999;24.7999;24.77;24.78;993;24.7826
29.11.2021;10:17:00-000;24.78;24.78;24.78;24.78;2200;24.78
29.11.2021;10:20:00-000;24.8;24.8;24.8;24.8;770;24.8
29.11.2021;10:21:00-000;24.7999;24.8;24.7999;24.8;3200;24.8
29.11.2021;10:22:00-000;24.8;24.8;24.8;24.8;300;24.8
29.11.2021;10:23:00-000;24.8;24.8;24.8;24.8;2200;24.8
29.11.2021;10:24:00-000;24.8;24.8;24.8;24.8;297;24.8
29.11.2021;10:34:00-000;24.803;24.803;24.803;24.803;115;24.803
29.11.2021;10:37:00-000;24.8;24.8;24.8;24.8;100;24.8
29.11.2021;10:40:00-000;24.78;24.78;24.78;24.78;1000;24.78
29.11.2021;10:47:00-000;24.8;24.8;24.8;24.8;200;24.8
29.11.2021;10:48:00-000;24.8;24.83;24.7999;24.83;7491;24.8001
29.11.2021;10:49:00-000;24.83;24.83;24.83;24.83;450;24.8247
29.11.2021;10:57:00-000;24.7964;24.7964;24.7964;24.7964;398;24.7964
29.11.2021;11:05:00-000;24.82;24.82;24.82;24.82;300;24.82
