Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;26.66;26.66;26.66;26.66;233;26.6735
29.11.2021;09:44:00-000;26.65;26.65;26.65;26.65;160;26.683
29.11.2021;09:59:00-000;26.67;26.67;26.67;26.67;200;26.67
29.11.2021;10:03:00-000;26.67;26.67;26.67;26.67;101;26.6698
29.11.2021;10:06:00-000;26.65;26.65;26.65;26.65;101;26.6512
29.11.2021;10:08:00-000;26.6917;26.6917;26.6917;26.6917;700;26.6917
29.11.2021;10:09:00-000;26.66;26.66;26.66;26.66;100;26.66
29.11.2021;10:11:00-000;26.65;26.65;26.65;26.65;200;26.65
29.11.2021;10:12:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:14:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:15:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:16:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:17:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:18:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:19:00-000;26.65;26.65;26.65;26.65;107;26.6549
29.11.2021;10:21:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:22:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:23:00-000;26.65;26.725;26.65;26.725;480;26.7241
29.11.2021;10:24:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:26:00-000;26.725;26.725;26.66;26.66;300;26.7017
29.11.2021;10:28:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:29:00-000;26.65;26.65;26.65;26.65;102;26.651
29.11.2021;10:30:00-000;26.65;26.72;26.65;26.72;400;26.685
29.11.2021;10:31:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:32:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:33:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:34:00-000;26.68;26.68;26.68;26.68;400;26.68
29.11.2021;10:35:00-000;26.68;26.68;26.68;26.68;108;26.6844
29.11.2021;10:36:00-000;26.68;26.68;26.68;26.68;100;26.68
29.11.2021;10:37:00-000;26.68;26.68;26.68;26.68;246;26.691
29.11.2021;10:38:00-000;26.704;26.704;26.68;26.68;825;26.7011
29.11.2021;10:40:00-000;26.68;26.68;26.68;26.68;100;26.68
29.11.2021;10:41:00-000;26.68;26.68;26.68;26.68;100;26.68
29.11.2021;10:42:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:44:00-000;26.65;26.65;26.65;26.65;200;26.65
29.11.2021;10:46:00-000;26.65;26.752;26.65;26.752;840;26.7399
29.11.2021;10:48:00-000;26.65;26.65;26.65;26.65;115;26.6532
29.11.2021;10:50:00-000;26.65;26.65;26.65;26.65;200;26.65
29.11.2021;10:52:00-000;26.65;26.65;26.65;26.65;214;26.65
29.11.2021;10:54:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;10:56:00-000;26.65;26.65;26.65;26.65;200;26.65
29.11.2021;10:57:00-000;26.7445;26.7445;26.7445;26.7445;440;26.7445
29.11.2021;10:58:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;11:00:00-000;26.65;26.65;26.65;26.65;200;26.65
29.11.2021;11:01:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;11:02:00-000;26.65;26.65;26.65;26.65;100;26.65
29.11.2021;11:05:00-000;26.6;26.6;26.6;26.6;100;26.6
29.11.2021;11:06:00-000;26.65;26.65;26.65;26.65;100;26.65
