Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;19.88;19.89;19.88;19.89;1055;19.8909
29.11.2021;07:12:00-000;19.67;19.67;19.65;19.66;2300;19.6604
29.11.2021;07:32:00-000;19.77;19.77;19.77;19.77;900;19.77
29.11.2021;07:49:00-000;19.8;19.8;19.8;19.8;300;19.8
29.11.2021;08:11:00-000;19.72;19.72;19.72;19.72;351;19.72
29.11.2021;08:37:00-000;19.74;19.75;19.74;19.75;700;19.7471
29.11.2021;08:38:00-000;19.77;19.77;19.77;19.77;100;19.77
29.11.2021;08:41:00-000;19.8;19.8;19.8;19.8;200;19.8
29.11.2021;08:44:00-000;19.8;19.8;19.8;19.8;500;19.8
29.11.2021;08:54:00-000;19.83;19.83;19.83;19.83;100;19.83
29.11.2021;09:05:00-000;19.88;19.88;19.86;19.86;3100;19.8665
29.11.2021;09:06:00-000;19.8899;19.8899;19.85;19.85;700;19.8785
29.11.2021;09:19:00-000;19.9;19.9;19.9;19.9;600;19.9
29.11.2021;09:22:00-000;19.95;19.9599;19.94;19.9599;2275;19.9509
29.11.2021;09:23:00-000;19.96;19.96;19.95;19.96;2096;19.9581
29.11.2021;09:24:00-000;19.96;19.96;19.95;19.95;1300;19.9554
29.11.2021;09:25:00-000;19.9899;19.9899;19.9899;19.9899;500;19.9899
29.11.2021;09:27:00-000;19.9999;19.9999;19.9999;19.9999;300;19.9999
29.11.2021;09:29:00-000;19.98;20;19.95;19.95;1602;19.9816
29.11.2021;09:30:00-000;19.94;20.0893;19.94;20.06;56262;19.9755
29.11.2021;09:31:00-000;20.11;20.18;20.11;20.16;20162;20.1528
29.11.2021;09:32:00-000;20.19;20.22;20.13;20.18;18721;20.1667
29.11.2021;09:33:00-000;20.15;20.17;20.02;20.04;36289;20.085
29.11.2021;09:34:00-000;20.06;20.11;20.02;20.11;27098;20.0727
29.11.2021;09:35:00-000;20.11;20.11;20.06;20.09;8626;20.0936
29.11.2021;09:36:00-000;20.1;20.13;20.05;20.1201;11688;20.111
29.11.2021;09:37:00-000;20.11;20.11;20.06;20.06;14455;20.0853
29.11.2021;09:38:00-000;20.05;20.0992;19.97;20.0992;58314;20.0243
29.11.2021;09:39:00-000;20.06;20.13;20.06;20.12;18224;20.1096
29.11.2021;09:40:00-000;20.13;20.16;20.105;20.12;5762;20.1341
29.11.2021;09:41:00-000;20.15;20.21;20.13;20.16;8721;20.1815
29.11.2021;09:42:00-000;20.14;20.27;20.14;20.27;6415;20.2194
29.11.2021;09:43:00-000;20.25;20.31;20.2201;20.2201;14292;20.2559
29.11.2021;09:44:00-000;20.24;20.24;20.18;20.18;9032;20.2156
29.11.2021;09:45:00-000;20.1714;20.28;20.1599;20.25;8393;20.2174
29.11.2021;09:46:00-000;20.19;20.19;20.17;20.18;3421;20.1748
29.11.2021;09:47:00-000;20.19;20.2;20.15;20.17;1683;20.1713
29.11.2021;09:48:00-000;20.18;20.25;20.18;20.2099;8300;20.2137
29.11.2021;09:49:00-000;20.2;20.23;20.2;20.23;1082;20.2152
29.11.2021;09:50:00-000;20.23;20.28;20.2;20.2501;4071;20.254
29.11.2021;09:51:00-000;20.2711;20.325;20.25;20.325;4172;20.2813
29.11.2021;09:52:00-000;20.33;20.33;20.3;20.33;8858;20.3252
29.11.2021;09:53:00-000;20.34;20.3793;20.32;20.3793;2863;20.334
29.11.2021;09:54:00-000;20.36;20.36;20.31;20.35;11639;20.3453
29.11.2021;09:55:00-000;20.34;20.36;20.3;20.3017;7093;20.3422
29.11.2021;09:56:00-000;20.29;20.29;20.27;20.27;3264;20.2856
29.11.2021;09:57:00-000;20.3;20.3;20.29;20.295;1550;20.2977
29.11.2021;09:58:00-000;20.3;20.3;20.28;20.3;984;20.2856
29.11.2021;09:59:00-000;20.25;20.27;20.25;20.27;2986;20.2568
29.11.2021;10:00:00-000;20.28;20.33;20.27;20.33;4338;20.3018
29.11.2021;10:01:00-000;20.35;20.35;20.34;20.34;1378;20.3453
29.11.2021;10:02:00-000;20.33;20.33;20.26;20.295;6849;20.294
29.11.2021;10:03:00-000;20.31;20.31;20.29;20.3;1055;20.2979
29.11.2021;10:04:00-000;20.25;20.25;20.2;20.2129;5744;20.2192
29.11.2021;10:05:00-000;20.2;20.2;20.16;20.17;2892;20.1845
29.11.2021;10:06:00-000;20.2;20.27;20.2;20.25;1902;20.2407
29.11.2021;10:07:00-000;20.21;20.23;20.21;20.23;4167;20.2135
29.11.2021;10:08:00-000;20.21;20.23;20.2;20.23;2765;20.2081
29.11.2021;10:09:00-000;20.23;20.23;20.18;20.2;10732;20.1934
29.11.2021;10:10:00-000;20.19;20.2403;20.19;20.24;3128;20.2049
29.11.2021;10:11:00-000;20.23;20.25;20.23;20.23;2581;20.2355
29.11.2021;10:12:00-000;20.2488;20.27;20.24;20.27;2001;20.2604
29.11.2021;10:13:00-000;20.27;20.27;20.25;20.25;970;20.2607
29.11.2021;10:14:00-000;20.24;20.26;20.24;20.245;3190;20.2481
29.11.2021;10:15:00-000;20.25;20.25;20.18;20.18;10986;20.2105
29.11.2021;10:16:00-000;20.17;20.21;20.17;20.17;6693;20.1847
29.11.2021;10:17:00-000;20.16;20.19;20.16;20.19;4611;20.1745
29.11.2021;10:18:00-000;20.18;20.2;20.17;20.2;3255;20.1841
29.11.2021;10:19:00-000;20.2;20.23;20.18;20.23;12044;20.1869
29.11.2021;10:20:00-000;20.24;20.245;20.215;20.215;2348;20.2337
29.11.2021;10:21:00-000;20.21;20.21;20.19;20.2;4677;20.1957
29.11.2021;10:22:00-000;20.2;20.25;20.2;20.25;3902;20.2303
29.11.2021;10:23:00-000;20.25;20.25;20.23;20.25;4789;20.2414
29.11.2021;10:24:00-000;20.25;20.26;20.23;20.25;7069;20.2389
