Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;9.13;9.13;9.13;9.13;115;9.13
29.11.2021;09:25:00-000;9.03;9.03;9.03;9.03;100;9.03
29.11.2021;09:30:00-000;8.83;8.83;8.83;8.83;8157;8.83
29.11.2021;09:31:00-000;8.8491;8.8491;8.8491;8.8491;5637;8.8491
29.11.2021;09:33:00-000;8.86;8.86;8.8527;8.8527;307;8.855
29.11.2021;09:35:00-000;8.8498;8.8498;8.8498;8.8498;1694;8.8498
29.11.2021;09:37:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;09:38:00-000;8.835;8.84;8.835;8.84;660;8.8358
29.11.2021;09:44:00-000;8.86;8.86;8.86;8.86;130;8.8554
29.11.2021;09:46:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;09:47:00-000;8.84;8.84;8.84;8.84;100;8.84
29.11.2021;09:49:00-000;8.85;8.85;8.835;8.835;200;8.8425
29.11.2021;09:55:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;09:56:00-000;8.85;8.85;8.845;8.845;1420;8.8489
29.11.2021;09:57:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;10:00:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;10:02:00-000;8.86;8.86;8.86;8.86;650;8.86
29.11.2021;10:05:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;10:06:00-000;8.84;8.84;8.84;8.84;110;8.84
29.11.2021;10:07:00-000;8.85;8.85;8.835;8.835;1266;8.8363
29.11.2021;10:10:00-000;8.8302;8.8302;8.8302;8.8302;1554;8.8313
29.11.2021;10:11:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:13:00-000;8.85;8.85;8.85;8.85;101;8.85
29.11.2021;10:15:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:17:00-000;8.8301;8.8301;8.8301;8.8301;100;8.8301
29.11.2021;10:18:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:20:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:22:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:23:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;10:25:00-000;8.85;8.85;8.83;8.83;3870;8.8344
29.11.2021;10:26:00-000;8.85;8.85;8.85;8.85;300;8.85
29.11.2021;10:29:00-000;8.83;8.84;8.83;8.84;335;8.837
29.11.2021;10:33:00-000;8.8468;8.8468;8.8468;8.8468;300;8.8468
29.11.2021;10:37:00-000;8.85;8.85;8.85;8.85;104;8.8492
29.11.2021;10:39:00-000;8.85;8.85;8.83;8.83;1600;8.8331
29.11.2021;10:41:00-000;8.83;8.83;8.83;8.83;486;8.83
29.11.2021;10:42:00-000;8.83;8.83;8.83;8.83;100;8.83
29.11.2021;10:45:00-000;8.84;8.84;8.83;8.83;2100;8.8381
29.11.2021;10:55:00-000;8.84;8.84;8.84;8.84;200;8.84
29.11.2021;10:59:00-000;8.84;8.84;8.84;8.84;100;8.84
29.11.2021;11:00:00-000;8.83;8.83;8.81;8.81;10909;8.8202
29.11.2021;11:03:00-000;8.82;8.82;8.82;8.82;200;8.8186
29.11.2021;11:10:00-000;8.815;8.815;8.815;8.815;200;8.815
29.11.2021;11:11:00-000;8.8101;8.8101;8.8101;8.8101;300;8.8101
29.11.2021;11:12:00-000;8.82;8.82;8.82;8.82;1999;8.82
29.11.2021;11:13:00-000;8.82;8.82;8.82;8.82;1190;8.82
29.11.2021;11:19:00-000;8.825;8.825;8.825;8.825;100;8.825
29.11.2021;11:27:00-000;8.84;8.84;8.84;8.84;104;8.8389
29.11.2021;11:30:00-000;8.84;8.84;8.84;8.84;1101;8.84
29.11.2021;11:31:00-000;8.84;8.84;8.83;8.83;1200;8.8383
29.11.2021;11:34:00-000;8.84;8.84;8.84;8.84;200;8.84
29.11.2021;11:39:00-000;8.8408;8.8408;8.84;8.84;1057;8.8402
29.11.2021;11:41:00-000;8.8399;8.8399;8.8399;8.8399;1000;8.8399
29.11.2021;11:48:00-000;8.83;8.83;8.83;8.83;1200;8.83
29.11.2021;11:50:00-000;8.8315;8.8315;8.8315;8.8315;100;8.8315
29.11.2021;11:53:00-000;8.84;8.84;8.8258;8.83;1400;8.8274
29.11.2021;12:00:00-000;8.84;8.84;8.84;8.84;100;8.84
29.11.2021;12:02:00-000;8.8325;8.8325;8.8325;8.8325;100;8.8325
29.11.2021;12:03:00-000;8.84;8.84;8.84;8.84;100;8.84
29.11.2021;12:04:00-000;8.8201;8.8201;8.8201;8.8201;100;8.8201
29.11.2021;12:05:00-000;8.84;8.84;8.84;8.84;100;8.84
29.11.2021;12:10:00-000;8.84;8.84;8.84;8.84;600;8.84
29.11.2021;12:11:00-000;8.84;8.85;8.84;8.84;2992;8.8403
29.11.2021;12:13:00-000;8.84;8.84;8.84;8.84;200;8.84
29.11.2021;12:15:00-000;8.85;8.85;8.85;8.85;1100;8.85
29.11.2021;12:25:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;12:27:00-000;8.85;8.85;8.85;8.85;110;8.8491
29.11.2021;12:28:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:31:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:34:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:37:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:38:00-000;8.8595;8.8595;8.8595;8.8595;100;8.8595
29.11.2021;12:39:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:42:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;12:44:00-000;8.86;8.86;8.86;8.86;663;8.86
29.11.2021;12:45:00-000;8.8501;8.86;8.8501;8.86;300;8.8567
29.11.2021;12:47:00-000;8.855;8.855;8.85;8.85;1286;8.8512
29.11.2021;12:58:00-000;8.845;8.845;8.845;8.845;200;8.845
29.11.2021;13:00:00-000;8.85;8.85;8.84;8.845;1400;8.8479
29.11.2021;13:04:00-000;8.8401;8.8401;8.8401;8.8401;100;8.8401
29.11.2021;13:06:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;13:09:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;13:11:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;13:14:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;13:16:00-000;8.85;8.85;8.85;8.85;100;8.85
29.11.2021;13:18:00-000;8.85;8.85;8.8498;8.8498;1000;8.85
29.11.2021;13:19:00-000;8.86;8.86;8.85;8.85;252;8.854
29.11.2021;13:20:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;13:21:00-000;8.8532;8.8597;8.85;8.85;1800;8.8565
29.11.2021;13:26:00-000;8.8565;8.8565;8.8565;8.8565;100;8.8565
29.11.2021;13:27:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;13:33:00-000;8.86;8.86;8.86;8.86;200;8.86
29.11.2021;13:35:00-000;8.86;8.86;8.86;8.86;1048;8.86
29.11.2021;13:38:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;13:39:00-000;8.86;8.86;8.86;8.86;200;8.86
29.11.2021;13:41:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;13:43:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;13:45:00-000;8.86;8.86;8.86;8.86;103;8.8599
29.11.2021;13:46:00-000;8.86;8.86;8.86;8.86;121;8.86
29.11.2021;13:50:00-000;8.8644;8.8658;8.8644;8.8658;740;8.8646
29.11.2021;13:51:00-000;8.87;8.87;8.87;8.87;100;8.87
29.11.2021;13:53:00-000;8.87;8.87;8.87;8.87;100;8.87
29.11.2021;13:54:00-000;8.8736;8.8736;8.8736;8.8736;100;8.8736
29.11.2021;13:55:00-000;8.88;8.88;8.88;8.88;200;8.8773
29.11.2021;13:56:00-000;8.8667;8.88;8.8667;8.88;250;8.872
29.11.2021;13:57:00-000;8.87;8.87;8.87;8.87;2507;8.87
29.11.2021;14:00:00-000;8.87;8.87;8.87;8.87;1300;8.87
29.11.2021;14:04:00-000;8.875;8.875;8.875;8.875;100;8.875
29.11.2021;14:05:00-000;8.87;8.87;8.87;8.87;647;8.87
29.11.2021;14:06:00-000;8.8674;8.8674;8.85;8.85;1538;8.8611
29.11.2021;14:09:00-000;8.855;8.86;8.855;8.86;300;8.8567
29.11.2021;14:11:00-000;8.8599;8.8599;8.85;8.85;5800;8.8595
29.11.2021;14:14:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;14:17:00-000;8.855;8.855;8.855;8.855;200;8.855
29.11.2021;14:23:00-000;8.86;8.86;8.86;8.86;100;8.86
29.11.2021;14:25:00-000;8.86;8.86;8.86;8.86;100;8.86
