Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;30.79;30.79;30.79;30.79;1922;30.7899
29.11.2021;09:31:00-000;30.7658;30.7658;30.7658;30.7658;315;30.7602
29.11.2021;10:04:00-000;30.54;30.54;30.54;30.54;241;30.54
29.11.2021;10:07:00-000;30.52;30.52;30.52;30.52;1508;30.52
29.11.2021;10:17:00-000;30.55;30.55;30.55;30.55;1360;30.55
29.11.2021;10:46:00-000;30.47;30.47;30.47;30.47;100;30.47
29.11.2021;11:02:00-000;30.5;30.5;30.5;30.5;138;30.4997
29.11.2021;11:13:00-000;30.54;30.54;30.54;30.54;100;30.54
29.11.2021;11:24:00-000;30.535;30.535;30.535;30.535;702;30.535
29.11.2021;11:30:00-000;30.53;30.53;30.53;30.53;100;30.53
29.11.2021;11:31:00-000;30.55;30.55;30.55;30.55;100;30.55
29.11.2021;11:35:00-000;30.53;30.53;30.53;30.53;200;30.53
29.11.2021;11:38:00-000;30.56;30.56;30.55;30.55;306;30.5535
29.11.2021;11:39:00-000;30.55;30.56;30.55;30.56;427;30.5551
29.11.2021;11:42:00-000;30.58;30.58;30.58;30.58;227;30.5799
29.11.2021;11:47:00-000;30.6;30.6;30.6;30.6;100;30.6
29.11.2021;11:49:00-000;30.61;30.61;30.6;30.6;400;30.605
29.11.2021;11:51:00-000;30.58;30.58;30.58;30.58;200;30.58
29.11.2021;11:53:00-000;30.6;30.6;30.6;30.6;200;30.6
29.11.2021;11:54:00-000;30.6;30.6;30.6;30.6;200;30.6
29.11.2021;11:59:00-000;30.61;30.61;30.61;30.61;200;30.61
29.11.2021;12:08:00-000;30.66;30.66;30.66;30.66;102;30.66
29.11.2021;12:17:00-000;30.66;30.6673;30.66;30.6673;673;30.6651
29.11.2021;12:21:00-000;30.6992;30.6992;30.6992;30.6992;1000;30.6992
29.11.2021;12:25:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;12:29:00-000;30.71;30.71;30.71;30.71;200;30.71
29.11.2021;12:30:00-000;30.72;30.72;30.72;30.72;144;30.7197
29.11.2021;12:36:00-000;30.74;30.74;30.74;30.74;200;30.74
29.11.2021;12:52:00-000;30.73;30.73;30.73;30.73;200;30.73
29.11.2021;12:53:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;12:54:00-000;30.725;30.725;30.725;30.725;185;30.725
29.11.2021;13:07:00-000;30.73;30.73;30.73;30.73;200;30.73
29.11.2021;13:12:00-000;30.74;30.74;30.74;30.74;200;30.74
29.11.2021;13:16:00-000;30.73;30.73;30.725;30.73;1190;30.7292
29.11.2021;13:18:00-000;30.72;30.72;30.72;30.72;406;30.72
29.11.2021;13:30:00-000;30.71;30.71;30.71;30.71;201;30.71
29.11.2021;13:35:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;13:36:00-000;30.71;30.71;30.71;30.71;201;30.71
29.11.2021;13:40:00-000;30.69;30.69;30.69;30.69;200;30.69
29.11.2021;13:56:00-000;30.7;30.7;30.7;30.7;200;30.7
29.11.2021;14:01:00-000;30.71;30.71;30.71;30.71;200;30.71
29.11.2021;14:04:00-000;30.71;30.71;30.71;30.71;200;30.71
29.11.2021;14:08:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;14:12:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;14:18:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;14:21:00-000;30.72;30.72;30.72;30.72;123;30.7191
29.11.2021;14:30:00-000;30.72;30.72;30.72;30.72;200;30.72
29.11.2021;14:42:00-000;30.7;30.7;30.7;30.7;201;30.7
29.11.2021;14:43:00-000;30.7;30.7;30.7;30.7;200;30.7
29.11.2021;14:44:00-000;30.6991;30.6991;30.6991;30.6991;501;30.6991
29.11.2021;14:48:00-000;30.69;30.69;30.69;30.69;101;30.69
29.11.2021;14:52:00-000;30.7;30.7;30.7;30.7;201;30.7
29.11.2021;14:54:00-000;30.69;30.69;30.69;30.69;202;30.69
29.11.2021;15:00:00-000;30.69;30.69;30.69;30.69;201;30.69
29.11.2021;15:06:00-000;30.69;30.69;30.69;30.69;102;30.69
29.11.2021;15:08:00-000;30.69;30.69;30.69;30.69;201;30.69
29.11.2021;15:12:00-000;30.7;30.7;30.7;30.7;203;30.7001
29.11.2021;15:13:00-000;30.7;30.7;30.7;30.7;201;30.7
29.11.2021;15:16:00-000;30.72;30.72;30.72;30.72;100;30.72
29.11.2021;15:48:00-000;30.665;30.665;30.665;30.665;166;30.6649
29.11.2021;15:59:00-000;30.64;30.64;30.64;30.64;700;30.64
29.11.2021;16:00:00-000;30.61;30.61;30.61;30.61;113;30.61
29.11.2021;16:10:00-000;30.61;30.61;30.61;30.61;0;0
29.11.2021;18:30:00-000;30.61;30.61;30.61;30.61;0;0
29.11.2021;20:00:00-000;30.61;30.61;30.61;30.61;0;0
