Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:50:00-000;49;49;49;49;1200;49
29.11.2021;05:06:00-000;49;49;49;49;2000;49
29.11.2021;07:09:00-000;49.13;49.13;49.13;49.13;400;49.13
29.11.2021;07:15:00-000;49.01;49.01;49.01;49.01;1200;49.01
29.11.2021;07:17:00-000;49.03;49.03;49.03;49.03;500;49.03
29.11.2021;07:18:00-000;49.03;49.03;49;49;4300;49.0109
29.11.2021;07:22:00-000;49.01;49.02;49.01;49.02;500;49.014
29.11.2021;07:28:00-000;48.96;49;48.96;49;1200;48.9933
29.11.2021;07:36:00-000;49.02;49.02;49.02;49.02;1900;49.02
29.11.2021;07:37:00-000;49.04;49.04;49.04;49.04;1215;49.0401
29.11.2021;07:40:00-000;49.04;49.04;49.04;49.04;100;49.04
29.11.2021;07:41:00-000;49.06;49.07;49.06;49.07;300;49.0667
29.11.2021;07:43:00-000;49.06;49.06;49.06;49.06;2500;49.06
29.11.2021;07:46:00-000;49.06;49.06;49.06;49.06;250;49.06
29.11.2021;07:49:00-000;49.06;49.06;49.06;49.06;125;49.06
29.11.2021;07:50:00-000;49.06;49.06;49.06;49.06;900;49.06
29.11.2021;07:56:00-000;49.06;49.06;49.05;49.05;400;49.0575
29.11.2021;07:59:00-000;49.04;49.04;49.04;49.04;101;49.0401
29.11.2021;08:00:00-000;49.03;49.03;49.02;49.02;7451;49.0235
29.11.2021;08:01:00-000;49.01;49.01;49.01;49.01;300;49.01
29.11.2021;08:03:00-000;49;49.01;49;49.01;6804;49.0076
29.11.2021;08:04:00-000;49;49;49;49;820;49
29.11.2021;08:06:00-000;49;49.01;49;49.01;200;49.005
29.11.2021;08:08:00-000;49;49;49;49;3400;49
29.11.2021;08:10:00-000;49.01;49.01;49.01;49.01;110;49.0091
29.11.2021;08:14:00-000;49.01;49.01;49.01;49.01;120;49.0104
29.11.2021;08:15:00-000;49.02;49.03;49.02;49.03;2600;49.0296
29.11.2021;08:17:00-000;49.03;49.03;49.03;49.03;9200;49.03
29.11.2021;08:18:00-000;49.035;49.04;49.03;49.04;35900;49.0389
29.11.2021;08:23:00-000;49.04;49.04;49.04;49.04;1002;49.04
29.11.2021;08:24:00-000;49.04;49.04;49.04;49.04;100;49.04
29.11.2021;08:25:00-000;49.05;49.05;49.05;49.05;100;49.05
29.11.2021;08:26:00-000;49.04;49.04;49.04;49.04;100;49.04
29.11.2021;08:27:00-000;49.03;49.03;49.03;49.03;1302;49.03
29.11.2021;08:31:00-000;49.03;49.04;49.03;49.04;3914;49.0354
29.11.2021;08:32:00-000;49.05;49.06;49.05;49.06;3800;49.0534
29.11.2021;08:35:00-000;49.05;49.05;49.05;49.05;1200;49.05
29.11.2021;08:40:00-000;49.06;49.06;49.06;49.06;100;49.06
29.11.2021;08:41:00-000;49.07;49.07;49.07;49.07;4805;49.0696
29.11.2021;08:42:00-000;49.08;49.08;49.08;49.08;2700;49.08
29.11.2021;08:45:00-000;49.09;49.09;49.09;49.09;2000;49.09
29.11.2021;08:46:00-000;49.1;49.11;49.1;49.11;6200;49.1081
29.11.2021;08:47:00-000;49.13;49.14;49.13;49.14;5301;49.1306
29.11.2021;08:48:00-000;49.14;49.14;49.14;49.14;5158;49.1398
29.11.2021;08:49:00-000;49.14;49.14;49.14;49.14;200;49.14
29.11.2021;08:51:00-000;49.15;49.15;49.15;49.15;199;49.15
29.11.2021;08:52:00-000;49.15;49.16;49.15;49.16;6900;49.1572
29.11.2021;08:53:00-000;49.17;49.17;49.17;49.17;546;49.1676
29.11.2021;08:55:00-000;49.17;49.18;49.17;49.18;800;49.1775
29.11.2021;08:56:00-000;49.17;49.17;49.17;49.17;4400;49.17
29.11.2021;08:58:00-000;49.18;49.18;49.18;49.18;225;49.18
29.11.2021;09:01:00-000;49.22;49.22;49.22;49.22;862;49.22
29.11.2021;09:02:00-000;49.22;49.22;49.22;49.22;3000;49.22
29.11.2021;09:03:00-000;49.21;49.21;49.21;49.21;1105;49.21
29.11.2021;09:06:00-000;49.22;49.22;49.22;49.22;600;49.22
29.11.2021;09:09:00-000;49.22;49.22;49.21;49.21;3875;49.2108
29.11.2021;09:10:00-000;49.21;49.21;49.21;49.21;2101;49.21
29.11.2021;09:13:00-000;49.21;49.21;49.21;49.21;1896;49.21
29.11.2021;09:14:00-000;49.21;49.21;49.21;49.21;500;49.21
29.11.2021;09:15:00-000;49.22;49.22;49.22;49.22;1521;49.2199
29.11.2021;09:18:00-000;49.21;49.21;49.21;49.21;100;49.21
29.11.2021;09:20:00-000;49.22;49.22;49.22;49.22;6610;49.22
29.11.2021;09:21:00-000;49.215;49.215;49.21;49.21;2000;49.2113
29.11.2021;09:22:00-000;49.22;49.22;49.22;49.22;1605;49.22
29.11.2021;09:23:00-000;49.22;49.22;49.22;49.22;13391;49.22
29.11.2021;09:24:00-000;49.22;49.23;49.22;49.23;2277;49.2241
29.11.2021;09:25:00-000;49.23;49.24;49.22;49.24;4599;49.2312
29.11.2021;09:26:00-000;49.24;49.25;49.24;49.25;1401;49.2429
29.11.2021;09:27:00-000;49.24;49.24;49.225;49.225;6500;49.2327
29.11.2021;09:28:00-000;49.23;49.23;49.215;49.215;9100;49.2251
29.11.2021;09:29:00-000;49.21;49.22;49.2;49.22;53806;49.2109
29.11.2021;09:30:00-000;49.21;49.22;49.14;49.15;859384;49.1824
29.11.2021;09:31:00-000;49.15;49.155;49.11;49.115;95639;49.1367
29.11.2021;09:32:00-000;49.11;49.12;49.07;49.07;638318;49.1032
29.11.2021;09:33:00-000;49.06;49.07;49.02;49.02;244860;49.049
29.11.2021;09:34:00-000;49.015;49.045;49;49;345966;49.0158
29.11.2021;09:35:00-000;48.9955;49.03;48.99;49.03;207310;49.0134
