Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;34.93;34.93;34.93;34.93;121;34.9212
29.11.2021;09:54:00-000;34.68;34.68;34.68;34.68;350;34.6799
29.11.2021;10:41:00-000;34.52;34.52;34.52;34.52;1100;34.52
29.11.2021;10:59:00-000;34.6;34.6;34.6;34.6;100;34.6
29.11.2021;11:43:00-000;34.7;34.7;34.7;34.7;100;34.7
29.11.2021;12:08:00-000;34.81;34.81;34.81;34.81;300;34.81
29.11.2021;15:46:00-000;34.84;34.84;34.8317;34.8317;200;34.8359
29.11.2021;15:47:00-000;34.83;34.83;34.83;34.83;100;34.83
29.11.2021;16:10:00-000;34.8284;34.8284;34.8284;34.8284;0;0
29.11.2021;18:30:00-000;34.8284;34.8284;34.8284;34.8284;0;0
29.11.2021;20:00:00-000;34.8284;34.8284;34.8284;34.8284;0;0
