Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;3.48;3.49;3.48;3.49;1000;3.4795
29.11.2021;07:31:00-000;3.35;3.35;3.35;3.35;6000;3.35
29.11.2021;07:34:00-000;3.39;3.39;3.39;3.39;100;3.39
29.11.2021;08:00:00-000;3.4;3.4;3.35;3.35;3500;3.3643
29.11.2021;08:15:00-000;3.4;3.4;3.4;3.4;160;3.3956
29.11.2021;08:20:00-000;3.4;3.4;3.4;3.4;200;3.4
29.11.2021;08:24:00-000;3.41;3.41;3.41;3.41;105;3.41
29.11.2021;08:25:00-000;3.41;3.41;3.41;3.41;2018;3.41
29.11.2021;08:26:00-000;3.41;3.41;3.41;3.41;901;3.41
29.11.2021;08:32:00-000;3.41;3.41;3.41;3.41;640;3.4075
29.11.2021;09:02:00-000;3.39;3.39;3.39;3.39;1000;3.39
29.11.2021;09:14:00-000;3.3899;3.3899;3.3899;3.3899;150;3.3899
29.11.2021;09:30:00-000;3.38;3.38;3.31;3.3717;31801;3.3144
29.11.2021;09:31:00-000;3.38;3.38;3.35;3.35;4468;3.3613
29.11.2021;09:32:00-000;3.36;3.3999;3.3501;3.3899;12491;3.3576
29.11.2021;09:33:00-000;3.35;3.36;3.35;3.36;2256;3.3552
29.11.2021;09:34:00-000;3.35;3.35;3.35;3.35;1580;3.35
29.11.2021;09:35:00-000;3.34;3.35;3.34;3.34;755;3.3417
29.11.2021;09:36:00-000;3.34;3.34;3.34;3.34;1700;3.34
29.11.2021;09:37:00-000;3.34;3.34;3.32;3.3364;2556;3.3329
29.11.2021;09:38:00-000;3.335;3.335;3.32;3.328;989;3.3325
29.11.2021;09:39:00-000;3.32;3.324;3.31;3.32;3309;3.3157
29.11.2021;09:40:00-000;3.33;3.33;3.31;3.31;2524;3.314
29.11.2021;09:41:00-000;3.31;3.311;3.31;3.311;600;3.3108
29.11.2021;09:42:00-000;3.318;3.32;3.31;3.32;3300;3.314
29.11.2021;09:43:00-000;3.31;3.3123;3.31;3.3123;6702;3.3117
29.11.2021;09:45:00-000;3.31;3.3133;3.31;3.31;2737;3.3106
29.11.2021;09:46:00-000;3.31;3.31;3.31;3.31;1500;3.31
29.11.2021;09:47:00-000;3.31;3.31;3.31;3.31;1034;3.31
29.11.2021;09:48:00-000;3.32;3.32;3.31;3.31;1411;3.3134
29.11.2021;09:49:00-000;3.31;3.31;3.31;3.31;1200;3.31
29.11.2021;09:50:00-000;3.31;3.31;3.2873;3.2873;3988;3.2998
29.11.2021;09:51:00-000;3.27;3.28;3.27;3.28;1735;3.273
29.11.2021;09:52:00-000;3.29;3.29;3.29;3.29;218;3.2867
29.11.2021;09:55:00-000;3.28;3.29;3.28;3.29;747;3.2897
29.11.2021;09:56:00-000;3.32;3.32;3.3195;3.3195;2186;3.3192
29.11.2021;09:57:00-000;3.3199;3.3199;3.3199;3.3199;2400;3.3199
29.11.2021;09:58:00-000;3.31;3.31;3.31;3.31;1104;3.31
29.11.2021;09:59:00-000;3.3194;3.3194;3.319;3.319;16301;3.3193
29.11.2021;10:00:00-000;3.32;3.32;3.32;3.32;1879;3.32
29.11.2021;10:01:00-000;3.3116;3.316;3.3116;3.316;1447;3.3119
29.11.2021;10:02:00-000;3.33;3.33;3.33;3.33;2316;3.33
29.11.2021;10:03:00-000;3.32;3.33;3.32;3.33;7950;3.3209
29.11.2021;10:04:00-000;3.3284;3.33;3.3284;3.3293;617;3.3288
29.11.2021;10:05:00-000;3.3299;3.34;3.3299;3.34;1900;3.3321
29.11.2021;10:06:00-000;3.34;3.34;3.34;3.34;277;3.3401
29.11.2021;10:07:00-000;3.346;3.35;3.346;3.35;1668;3.3487
29.11.2021;10:08:00-000;3.33;3.33;3.33;3.33;781;3.3305
29.11.2021;10:09:00-000;3.35;3.35;3.35;3.35;1500;3.35
29.11.2021;10:10:00-000;3.35;3.35;3.35;3.35;206;3.35
29.11.2021;10:12:00-000;3.32;3.32;3.32;3.32;1906;3.3201
29.11.2021;10:13:00-000;3.31;3.31;3.25;3.2629;18212;3.2709
29.11.2021;10:14:00-000;3.275;3.275;3.275;3.275;101;3.2749
29.11.2021;10:15:00-000;3.29;3.29;3.29;3.29;5100;3.2896
29.11.2021;10:16:00-000;3.27;3.2799;3.27;3.2799;1234;3.2708
29.11.2021;10:17:00-000;3.27;3.27;3.27;3.27;100;3.27
29.11.2021;10:18:00-000;3.28;3.28;3.28;3.28;1112;3.2807
29.11.2021;10:20:00-000;3.2966;3.3;3.2966;3.3;341;3.2983
29.11.2021;10:21:00-000;3.31;3.33;3.31;3.3262;4450;3.325
29.11.2021;10:22:00-000;3.32;3.32;3.32;3.32;490;3.3201
29.11.2021;10:24:00-000;3.32;3.32;3.31;3.31;1571;3.3157
29.11.2021;10:26:00-000;3.31;3.31;3.3;3.3;2029;3.3094
29.11.2021;10:28:00-000;3.2801;3.2801;3.2801;3.2801;704;3.2802
29.11.2021;10:29:00-000;3.27;3.27;3.27;3.27;228;3.2799
29.11.2021;10:30:00-000;3.27;3.27;3.27;3.27;331;3.27
29.11.2021;10:32:00-000;3.26;3.27;3.26;3.27;200;3.265
29.11.2021;10:33:00-000;3.26;3.26;3.26;3.26;100;3.26
29.11.2021;10:34:00-000;3.28;3.28;3.28;3.28;643;3.2798
29.11.2021;10:35:00-000;3.27;3.27;3.27;3.27;100;3.27
29.11.2021;10:36:00-000;3.27;3.27;3.27;3.27;381;3.2701
29.11.2021;10:37:00-000;3.27;3.27;3.27;3.27;101;3.2701
29.11.2021;10:38:00-000;3.27;3.27;3.26;3.26;2683;3.2654
29.11.2021;10:39:00-000;3.26;3.27;3.26;3.27;789;3.2687
29.11.2021;10:40:00-000;3.26;3.26;3.25;3.25;200;3.255
29.11.2021;10:41:00-000;3.26;3.2636;3.25;3.25;1128;3.2578
29.11.2021;10:42:00-000;3.25;3.25;3.25;3.25;100;3.25
29.11.2021;10:43:00-000;3.26;3.2601;3.25;3.25;4239;3.2599
29.11.2021;10:44:00-000;3.25;3.25;3.25;3.25;100;3.25
29.11.2021;10:45:00-000;3.27;3.27;3.27;3.27;1659;3.27
29.11.2021;10:48:00-000;3.26;3.26;3.26;3.26;807;3.26
29.11.2021;10:51:00-000;3.26;3.26;3.26;3.26;4673;3.26
29.11.2021;10:52:00-000;3.26;3.27;3.26;3.27;1403;3.265
29.11.2021;10:57:00-000;3.28;3.28;3.28;3.28;675;3.28
29.11.2021;10:58:00-000;3.29;3.3;3.29;3.3;654;3.2955
29.11.2021;10:59:00-000;3.31;3.31;3.31;3.31;1717;3.31
29.11.2021;11:00:00-000;3.317;3.32;3.317;3.32;601;3.3181
29.11.2021;11:03:00-000;3.32;3.32;3.3;3.3;1452;3.3133
29.11.2021;11:06:00-000;3.3;3.3;3.3;3.3;123;3.3
29.11.2021;11:07:00-000;3.29;3.29;3.29;3.29;200;3.29
29.11.2021;11:08:00-000;3.3;3.3;3.3;3.3;103;3.3
29.11.2021;11:09:00-000;3.29;3.3;3.29;3.3;481;3.2921
29.11.2021;11:10:00-000;3.29;3.29;3.29;3.29;100;3.29
29.11.2021;11:13:00-000;3.28;3.285;3.28;3.285;801;3.2812
29.11.2021;11:14:00-000;3.2807;3.2807;3.2807;3.2807;1081;3.2807
29.11.2021;11:15:00-000;3.28;3.28;3.28;3.28;114;3.28
29.11.2021;11:17:00-000;3.28;3.28;3.28;3.28;128;3.2801
29.11.2021;11:19:00-000;3.28;3.28;3.28;3.28;211;3.2797
29.11.2021;11:20:00-000;3.28;3.28;3.28;3.28;241;3.2742
29.11.2021;11:21:00-000;3.27;3.27;3.27;3.27;108;3.27
29.11.2021;11:22:00-000;3.28;3.2817;3.27;3.2817;1107;3.2788
29.11.2021;11:24:00-000;3.27;3.27;3.27;3.27;146;3.2701
29.11.2021;11:25:00-000;3.27;3.27;3.27;3.27;377;3.2642
29.11.2021;11:30:00-000;3.267;3.267;3.26;3.26;763;3.2646
29.11.2021;11:32:00-000;3.25;3.25;3.24;3.24;6248;3.2495
29.11.2021;11:33:00-000;3.22;3.22;3.22;3.22;100;3.22
29.11.2021;11:34:00-000;3.22;3.22;3.22;3.22;325;3.2241
29.11.2021;11:35:00-000;3.24;3.24;3.23;3.24;1701;3.2373
