Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:55:00-000;25.222;25.222;25.222;25.222;800;25.222
29.11.2021;10:26:00-000;25.21;25.21;25.21;25.21;101;25.21
29.11.2021;10:47:00-000;25.19;25.19;25.19;25.19;200;25.19
29.11.2021;11:06:00-000;25.18;25.18;25.18;25.18;100;25.18
29.11.2021;11:10:00-000;25.18;25.18;25.18;25.18;100;25.18
29.11.2021;11:35:00-000;25.16;25.16;25.16;25.16;899;25.16
29.11.2021;12:02:00-000;25.22;25.22;25.22;25.22;400;25.22
29.11.2021;12:04:00-000;25.22;25.22;25.22;25.22;300;25.22
29.11.2021;13:00:00-000;25.22;25.22;25.22;25.22;100;25.22
29.11.2021;13:26:00-000;25.22;25.22;25.22;25.22;200;25.22
29.11.2021;14:14:00-000;25.23;25.23;25.23;25.23;300;25.23
29.11.2021;15:28:00-000;25.2436;25.2436;25.2436;25.2436;100;25.2436
29.11.2021;15:31:00-000;25.22;25.2498;25.22;25.22;700;25.2328
29.11.2021;16:10:00-000;25.22;25.22;25.22;25.22;0;0
29.11.2021;18:30:00-000;25.22;25.22;25.22;25.22;0;0
29.11.2021;19:00:00-000;25.22;25.22;25.22;25.22;0;0
