Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;21.64;21.65;21.64;21.65;225;21.6178
29.11.2021;09:30:00-000;21.7;21.7;21.7;21.7;1011;21.7
29.11.2021;09:31:00-000;21.625;21.625;21.625;21.625;105;21.6195
29.11.2021;09:35:00-000;21.49;21.49;21.49;21.49;104;21.4917
29.11.2021;09:36:00-000;21.57;21.57;21.57;21.57;227;21.5756
29.11.2021;09:40:00-000;21.58;21.58;21.58;21.58;577;21.5788
29.11.2021;09:43:00-000;21.58;21.59;21.58;21.58;601;21.5777
29.11.2021;09:45:00-000;21.565;21.565;21.565;21.565;155;21.564
29.11.2021;09:46:00-000;21.5375;21.5375;21.5375;21.5375;201;21.5379
29.11.2021;09:47:00-000;21.6199;21.6199;21.6199;21.6199;257;21.6168
29.11.2021;09:49:00-000;21.64;21.64;21.64;21.64;323;21.6398
29.11.2021;09:50:00-000;21.58;21.58;21.58;21.58;253;21.58
29.11.2021;09:51:00-000;21.5212;21.5212;21.5212;21.5212;159;21.5212
29.11.2021;09:58:00-000;21.455;21.455;21.455;21.455;100;21.455
29.11.2021;09:59:00-000;21.48;21.48;21.48;21.48;101;21.4807
29.11.2021;10:00:00-000;21.47;21.47;21.47;21.47;225;21.4701
29.11.2021;10:02:00-000;21.51;21.51;21.51;21.51;646;21.5132
29.11.2021;10:04:00-000;21.515;21.515;21.48;21.48;404;21.4975
29.11.2021;10:05:00-000;21.44;21.4625;21.44;21.4625;200;21.4513
29.11.2021;10:07:00-000;21.47;21.47;21.47;21.47;301;21.4703
29.11.2021;10:08:00-000;21.4775;21.495;21.46;21.495;667;21.4679
29.11.2021;10:09:00-000;21.465;21.465;21.465;21.465;100;21.465
29.11.2021;10:12:00-000;21.475;21.53;21.475;21.53;933;21.5168
29.11.2021;10:13:00-000;21.51;21.53;21.51;21.53;219;21.5191
29.11.2021;10:15:00-000;21.57;21.57;21.57;21.57;311;21.5629
29.11.2021;10:16:00-000;21.53;21.53;21.53;21.53;101;21.53
29.11.2021;10:20:00-000;21.55;21.55;21.55;21.55;109;21.5463
29.11.2021;10:21:00-000;21.55;21.57;21.55;21.57;745;21.5535
29.11.2021;10:22:00-000;21.54;21.555;21.53;21.555;1039;21.5423
29.11.2021;10:25:00-000;21.52;21.52;21.5;21.5;501;21.516
29.11.2021;10:26:00-000;21.4601;21.4601;21.4601;21.4601;365;21.4866
29.11.2021;10:27:00-000;21.46;21.46;21.46;21.46;208;21.46
29.11.2021;10:28:00-000;21.4275;21.4275;21.4275;21.4275;209;21.4292
29.11.2021;10:29:00-000;21.48;21.49;21.48;21.49;428;21.4873
29.11.2021;10:31:00-000;21.49;21.505;21.48;21.505;602;21.4875
29.11.2021;10:33:00-000;21.44;21.44;21.44;21.44;255;21.4482
29.11.2021;10:34:00-000;21.4375;21.4375;21.42;21.43;528;21.428
29.11.2021;10:36:00-000;21.54;21.54;21.4375;21.4375;411;21.4837
29.11.2021;10:37:00-000;21.41;21.45;21.41;21.45;3406;21.446
29.11.2021;10:38:00-000;21.41;21.45;21.38;21.4;2306;21.4328
29.11.2021;10:39:00-000;21.43;21.43;21.43;21.43;766;21.428
29.11.2021;10:40:00-000;21.435;21.45;21.41;21.45;998;21.434
29.11.2021;10:41:00-000;21.39;21.39;21.39;21.39;100;21.39
29.11.2021;10:45:00-000;21.34;21.34;21.34;21.34;101;21.3405
29.11.2021;10:47:00-000;21.33;21.33;21.33;21.33;201;21.3301
29.11.2021;10:49:00-000;21.3357;21.3357;21.3357;21.3357;305;21.3366
29.11.2021;10:50:00-000;21.33;21.33;21.305;21.305;493;21.3252
29.11.2021;10:52:00-000;21.31;21.31;21.31;21.31;104;21.3108
29.11.2021;10:55:00-000;21.3;21.3;21.3;21.3;199;21.3152
29.11.2021;10:58:00-000;21.34;21.35;21.31;21.31;1514;21.3384
29.11.2021;10:59:00-000;21.31;21.31;21.31;21.31;347;21.3157
29.11.2021;11:00:00-000;21.36;21.41;21.36;21.41;1040;21.3983
29.11.2021;11:06:00-000;21.45;21.45;21.45;21.45;123;21.4508
29.11.2021;11:08:00-000;21.49;21.49;21.49;21.49;418;21.4901
29.11.2021;11:09:00-000;21.54;21.54;21.54;21.54;105;21.54
29.11.2021;11:11:00-000;21.49;21.49;21.47;21.47;384;21.4915
29.11.2021;11:13:00-000;21.485;21.485;21.485;21.485;302;21.485
29.11.2021;11:18:00-000;21.46;21.46;21.45;21.45;564;21.4541
29.11.2021;11:19:00-000;21.43;21.43;21.43;21.43;451;21.4273
29.11.2021;11:20:00-000;21.44;21.44;21.44;21.44;152;21.4389
29.11.2021;11:21:00-000;21.4;21.4;21.4;21.4;200;21.4
29.11.2021;11:22:00-000;21.4;21.42;21.4;21.42;332;21.4058
29.11.2021;11:24:00-000;21.37;21.37;21.37;21.37;107;21.3704
29.11.2021;11:25:00-000;21.37;21.37;21.355;21.355;723;21.3637
29.11.2021;11:26:00-000;21.33;21.4;21.33;21.4;1432;21.3768
29.11.2021;11:27:00-000;21.39;21.39;21.37;21.37;780;21.3843
29.11.2021;11:28:00-000;21.3838;21.3838;21.36;21.36;269;21.3746
29.11.2021;11:29:00-000;21.35;21.35;21.35;21.35;106;21.3515
29.11.2021;11:31:00-000;21.39;21.39;21.385;21.385;593;21.3853
29.11.2021;11:33:00-000;21.38;21.38;21.38;21.38;105;21.38
29.11.2021;11:37:00-000;21.4;21.41;21.4;21.41;924;21.3972
29.11.2021;11:40:00-000;21.44;21.45;21.44;21.44;824;21.4423
29.11.2021;11:43:00-000;21.45;21.45;21.45;21.45;403;21.45
29.11.2021;11:47:00-000;21.5;21.5;21.5;21.5;405;21.4979
29.11.2021;11:52:00-000;21.46;21.46;21.46;21.46;118;21.4614
29.11.2021;11:53:00-000;21.49;21.49;21.49;21.49;102;21.4901
29.11.2021;11:54:00-000;21.5;21.5;21.5;21.5;318;21.4999
29.11.2021;12:06:00-000;21.54;21.56;21.54;21.56;551;21.5566
29.11.2021;12:11:00-000;21.575;21.575;21.575;21.575;470;21.5807
29.11.2021;12:13:00-000;21.58;21.58;21.55;21.55;234;21.5676
29.11.2021;12:17:00-000;21.55;21.55;21.55;21.55;699;21.5511
29.11.2021;12:19:00-000;21.59;21.6;21.59;21.6;430;21.592
29.11.2021;12:25:00-000;21.66;21.66;21.66;21.66;204;21.6593
29.11.2021;12:28:00-000;21.66;21.66;21.66;21.66;200;21.66
29.11.2021;12:35:00-000;21.69;21.69;21.69;21.69;218;21.6902
29.11.2021;12:41:00-000;21.73;21.73;21.73;21.73;104;21.7288
29.11.2021;12:47:00-000;21.74;21.74;21.74;21.74;104;21.7381
29.11.2021;12:59:00-000;21.725;21.725;21.7;21.7;391;21.7191
29.11.2021;13:05:00-000;21.7;21.705;21.67;21.67;1881;21.6965
29.11.2021;13:07:00-000;21.72;21.73;21.72;21.72;982;21.7229
29.11.2021;13:13:00-000;21.72;21.72;21.69;21.69;533;21.716
29.11.2021;13:16:00-000;21.68;21.68;21.61;21.68;819;21.6599
29.11.2021;13:21:00-000;21.62;21.62;21.62;21.62;107;21.6217
29.11.2021;13:26:00-000;21.62;21.62;21.59;21.62;1263;21.6173
29.11.2021;13:30:00-000;21.62;21.62;21.62;21.62;185;21.6322
29.11.2021;13:33:00-000;21.65;21.65;21.65;21.65;183;21.6505
29.11.2021;13:36:00-000;21.65;21.65;21.63;21.63;407;21.647
29.11.2021;13:38:00-000;21.63;21.63;21.6;21.6;925;21.6132
29.11.2021;13:44:00-000;21.58;21.6;21.57;21.585;1109;21.5857
29.11.2021;13:46:00-000;21.62;21.62;21.62;21.62;590;21.6201
29.11.2021;13:49:00-000;21.61;21.61;21.6;21.6;505;21.6078
29.11.2021;13:53:00-000;21.58;21.59;21.58;21.59;524;21.58
29.11.2021;13:54:00-000;21.57;21.57;21.57;21.57;101;21.5701
29.11.2021;13:56:00-000;21.58;21.595;21.58;21.59;1478;21.5865
29.11.2021;14:00:00-000;21.57;21.59;21.57;21.5701;1088;21.577
29.11.2021;14:03:00-000;21.57;21.59;21.57;21.59;819;21.5798
29.11.2021;14:04:00-000;21.61;21.62;21.61;21.62;1288;21.6148
29.11.2021;14:11:00-000;21.63;21.63;21.63;21.63;206;21.6294
29.11.2021;14:12:00-000;21.64;21.64;21.64;21.64;586;21.6395
29.11.2021;14:13:00-000;21.62;21.62;21.62;21.62;101;21.62
29.11.2021;14:16:00-000;21.61;21.63;21.61;21.61;774;21.6112
29.11.2021;14:17:00-000;21.58;21.58;21.55;21.55;311;21.5699
29.11.2021;14:19:00-000;21.52;21.56;21.52;21.56;1132;21.5405
29.11.2021;14:20:00-000;21.58;21.58;21.58;21.58;457;21.5756
29.11.2021;14:22:00-000;21.56;21.56;21.56;21.56;103;21.5612
29.11.2021;14:23:00-000;21.56;21.56;21.56;21.56;287;21.5659
29.11.2021;14:24:00-000;21.56;21.57;21.56;21.56;773;21.5549
29.11.2021;14:29:00-000;21.5535;21.5535;21.5535;21.5535;183;21.5533
29.11.2021;14:32:00-000;21.51;21.535;21.51;21.535;1003;21.5279
29.11.2021;14:33:00-000;21.55;21.59;21.55;21.59;1295;21.5628
29.11.2021;14:34:00-000;21.6;21.6;21.6;21.6;488;21.6002
29.11.2021;14:35:00-000;21.6;21.6;21.6;21.6;1005;21.5999
29.11.2021;14:36:00-000;21.57;21.6;21.57;21.585;2069;21.5801
29.11.2021;14:37:00-000;21.56;21.6;21.56;21.6;450;21.5785
29.11.2021;14:41:00-000;21.6;21.61;21.6;21.61;698;21.6089
29.11.2021;14:42:00-000;21.605;21.605;21.605;21.605;267;21.605
29.11.2021;14:43:00-000;21.59;21.62;21.59;21.62;1180;21.5953
29.11.2021;14:44:00-000;21.62;21.62;21.62;21.62;217;21.62
29.11.2021;14:47:00-000;21.6;21.61;21.6;21.61;890;21.6023
29.11.2021;14:49:00-000;21.58;21.58;21.58;21.58;106;21.5802
29.11.2021;14:50:00-000;21.57;21.57;21.57;21.57;103;21.5704
29.11.2021;14:53:00-000;21.59;21.59;21.59;21.59;404;21.59
29.11.2021;14:54:00-000;21.57;21.59;21.57;21.59;1091;21.5763
29.11.2021;14:57:00-000;21.57;21.57;21.57;21.57;155;21.5699
29.11.2021;15:00:00-000;21.5901;21.5901;21.58;21.58;593;21.5802
29.11.2021;15:01:00-000;21.6;21.6;21.6;21.6;106;21.5981
29.11.2021;15:05:00-000;21.56;21.56;21.56;21.56;107;21.5604
29.11.2021;15:07:00-000;21.58;21.58;21.5601;21.5601;350;21.5726
29.11.2021;15:08:00-000;21.58;21.58;21.58;21.58;174;21.5731
29.11.2021;15:11:00-000;21.6;21.6;21.56;21.57;1588;21.5664
29.11.2021;15:12:00-000;21.57;21.57;21.57;21.57;101;21.5698
29.11.2021;15:15:00-000;21.58;21.58;21.58;21.58;631;21.5797
29.11.2021;15:17:00-000;21.585;21.585;21.585;21.585;296;21.5872
29.11.2021;15:20:00-000;21.57;21.57;21.55;21.55;1044;21.567
29.11.2021;15:21:00-000;21.54;21.58;21.54;21.58;447;21.5497
29.11.2021;15:23:00-000;21.58;21.68;21.5747;21.67;33646;21.6307
29.11.2021;15:24:00-000;21.655;21.655;21.5989;21.5989;10215;21.6286
29.11.2021;15:25:00-000;21.575;21.575;21.55;21.55;203;21.5623
29.11.2021;15:26:00-000;21.551;21.551;21.5;21.5;1970;21.5281
29.11.2021;15:28:00-000;21.47;21.47;21.47;21.47;913;21.4691
29.11.2021;15:29:00-000;21.5;21.51;21.46;21.51;930;21.4937
29.11.2021;15:30:00-000;21.46;21.46;21.46;21.46;203;21.46
29.11.2021;15:31:00-000;21.46;21.5;21.46;21.46;3689;21.4914
29.11.2021;15:32:00-000;21.48;21.51;21.46;21.5;5000;21.4914
29.11.2021;15:33:00-000;21.495;21.55;21.495;21.55;2172;21.5125
29.11.2021;15:35:00-000;21.59;21.6;21.59;21.6;644;21.5915
29.11.2021;15:36:00-000;21.58;21.58;21.55;21.55;1587;21.5656
29.11.2021;15:37:00-000;21.53;21.56;21.53;21.56;1301;21.5479
29.11.2021;15:38:00-000;21.59;21.59;21.59;21.59;132;21.5888
29.11.2021;15:39:00-000;21.56;21.58;21.56;21.58;1151;21.5627
29.11.2021;15:40:00-000;21.57;21.58;21.57;21.58;593;21.5755
29.11.2021;15:41:00-000;21.58;21.62;21.58;21.62;1066;21.5972
29.11.2021;15:42:00-000;21.6;21.6;21.58;21.59;1308;21.5962
29.11.2021;15:43:00-000;21.57;21.58;21.56;21.57;1493;21.5718
29.11.2021;15:44:00-000;21.57;21.57;21.54;21.54;401;21.5513
29.11.2021;15:45:00-000;21.54;21.57;21.54;21.54;1499;21.5447
29.11.2021;15:46:00-000;21.52;21.53;21.52;21.53;862;21.5244
29.11.2021;15:47:00-000;21.51;21.55;21.51;21.55;2647;21.5332
29.11.2021;15:48:00-000;21.56;21.58;21.56;21.58;1585;21.5648
29.11.2021;15:49:00-000;21.59;21.599;21.57;21.58;2308;21.5842
29.11.2021;15:50:00-000;21.57;21.57;21.51;21.53;2368;21.5322
29.11.2021;15:51:00-000;21.53;21.585;21.53;21.585;2315;21.5571
29.11.2021;15:52:00-000;21.585;21.6;21.585;21.6;211;21.5929
29.11.2021;15:53:00-000;21.6;21.6;21.57;21.59;949;21.5889
29.11.2021;15:54:00-000;21.585;21.6;21.585;21.6;354;21.589
29.11.2021;15:55:00-000;21.57;21.61;21.57;21.61;5440;21.5868
29.11.2021;15:56:00-000;21.62;21.65;21.62;21.63;1052;21.6333
29.11.2021;15:57:00-000;21.61;21.64;21.61;21.611;3553;21.6276
29.11.2021;15:58:00-000;21.64;21.64;21.61;21.63;4986;21.6241
29.11.2021;15:59:00-000;21.61;21.63;21.58;21.6;6756;21.609
29.11.2021;16:00:00-000;21.6;21.6;21.6;21.6;39442;21.6
29.11.2021;16:01:00-000;21.6;21.6;21.6;21.6;1889;21.6
29.11.2021;16:10:00-000;21.6;21.6;21.6;21.6;0;0
29.11.2021;18:30:00-000;21.6;21.6;21.6;21.6;0;0
29.11.2021;19:00:00-000;21.6;21.6;21.6;21.6;0;0
