Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;06:43:00-000;14.22;14.22;14.22;14.22;600;14.22
29.11.2021;08:08:00-000;14.23;14.26;14.23;14.25;19460;14.2329
29.11.2021;08:09:00-000;14.23;14.3;14.23;14.3;3402;14.2468
29.11.2021;08:10:00-000;14.23;14.28;14.21;14.28;21431;14.229
29.11.2021;08:11:00-000;14.23;14.3;14.23;14.28;6060;14.2422
29.11.2021;08:12:00-000;14.3;14.34;14.3;14.32;1075;14.3174
29.11.2021;08:15:00-000;14.23;14.28;14.23;14.28;5470;14.2506
29.11.2021;08:17:00-000;14.34;14.34;14.34;14.34;242;14.3283
29.11.2021;08:18:00-000;14.36;14.36;14.36;14.36;230;14.36
29.11.2021;08:19:00-000;14.36;14.36;14.35;14.35;3800;14.3532
29.11.2021;08:20:00-000;14.34;14.34;14.34;14.34;778;14.34
29.11.2021;08:24:00-000;14.32;14.32;14.32;14.32;825;14.3209
29.11.2021;08:25:00-000;14.35;14.35;14.33;14.33;1703;14.3308
29.11.2021;08:28:00-000;14.3;14.36;14.3;14.36;4052;14.3242
29.11.2021;08:37:00-000;14.23;14.23;14.23;14.23;2460;14.23
29.11.2021;08:38:00-000;14.23;14.24;14.23;14.24;413;14.2364
29.11.2021;08:39:00-000;14.26;14.26;14.26;14.26;960;14.26
29.11.2021;08:42:00-000;14.26;14.27;14.26;14.27;1980;14.2655
29.11.2021;08:43:00-000;14.32;14.32;14.32;14.32;200;14.32
29.11.2021;08:47:00-000;14.3;14.3;14.3;14.3;155;14.2966
29.11.2021;08:48:00-000;14.29;14.29;14.29;14.29;102;14.29
29.11.2021;08:51:00-000;14.27;14.27;14.27;14.27;100;14.27
29.11.2021;08:53:00-000;14.24;14.24;14.24;14.24;100;14.24
29.11.2021;08:56:00-000;14.23;14.23;14.23;14.23;497;14.2303
29.11.2021;08:58:00-000;14.23;14.23;14.23;14.23;2470;14.23
29.11.2021;08:59:00-000;14.24;14.24;14.24;14.24;993;14.24
29.11.2021;09:00:00-000;14.29;14.29;14.29;14.29;337;14.2874
29.11.2021;09:02:00-000;14.3;14.31;14.3;14.31;1400;14.3085
29.11.2021;09:03:00-000;14.28;14.28;14.28;14.28;241;14.28
29.11.2021;09:04:00-000;14.29;14.29;14.29;14.29;454;14.2859
29.11.2021;09:06:00-000;14.23;14.23;14.23;14.23;1658;14.23
29.11.2021;09:07:00-000;14.23;14.23;14.23;14.23;1128;14.2306
29.11.2021;09:08:00-000;14.23;14.24;14.23;14.23;1688;14.2307
29.11.2021;09:09:00-000;14.22;14.22;14.22;14.22;303;14.2171
29.11.2021;09:10:00-000;14.21;14.21;14.21;14.21;316;14.21
29.11.2021;09:11:00-000;14.2;14.23;14.2;14.21;7891;14.2174
29.11.2021;09:17:00-000;14.24;14.24;14.24;14.24;234;14.24
29.11.2021;09:18:00-000;14.23;14.25;14.21;14.21;900;14.2334
29.11.2021;09:19:00-000;14.2;14.2;14.2;14.2;180;14.2
29.11.2021;09:20:00-000;14.21;14.21;14.21;14.21;100;14.21
29.11.2021;09:23:00-000;14.18;14.18;14.18;14.18;202;14.18
29.11.2021;09:25:00-000;14.18;14.23;14.18;14.23;3359;14.2172
29.11.2021;09:26:00-000;14.22;14.26;14.22;14.24;6886;14.2378
29.11.2021;09:28:00-000;14.19;14.19;14.19;14.19;709;14.19
29.11.2021;09:29:00-000;14.17;14.19;14.16;14.19;4692;14.1723
29.11.2021;09:30:00-000;14.19;14.29;14.18;14.28;50017;14.2159
