Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;11.16;11.29;11.16;11.29;700;11.1971
29.11.2021;07:05:00-000;11;11;11;11;1000;11
29.11.2021;07:11:00-000;11.28;11.29;11.28;11.29;249;11.286
29.11.2021;07:23:00-000;11.23;11.23;11.23;11.23;560;11.23
29.11.2021;08:00:00-000;11.33;11.33;11.14;11.14;579;11.2216
29.11.2021;08:02:00-000;11.12;11.12;11.12;11.12;200;11.12
29.11.2021;08:04:00-000;11.1;11.1;11.1;11.1;100;11.1
29.11.2021;08:05:00-000;11.11;11.11;11.11;11.11;200;11.11
29.11.2021;08:09:00-000;11.11;11.12;11.11;11.12;500;11.112
29.11.2021;08:10:00-000;11.1;11.1;11.1;11.1;100;11.1
29.11.2021;08:11:00-000;11.11;11.11;11.11;11.11;200;11.11
29.11.2021;08:16:00-000;11.09;11.09;11.09;11.09;3020;11.0902
29.11.2021;08:20:00-000;11.09;11.09;11.09;11.09;200;11.09
29.11.2021;08:21:00-000;11.08;11.08;11.08;11.08;500;11.08
29.11.2021;08:24:00-000;11.09;11.09;11.09;11.09;500;11.09
29.11.2021;08:25:00-000;11.0501;11.07;11.05;11.05;2550;11.0524
29.11.2021;08:26:00-000;11.06;11.06;11.06;11.06;200;11.06
29.11.2021;08:33:00-000;11.07;11.09;11.07;11.09;2808;11.0758
29.11.2021;08:36:00-000;11.06;11.06;11.01;11.01;1353;11.0382
29.11.2021;08:39:00-000;11.01;11.01;11.01;11.01;150;11.01
29.11.2021;08:40:00-000;10.99;11;10.97;10.97;1100;10.9864
29.11.2021;08:41:00-000;10.97;10.97;10.97;10.97;200;10.97
29.11.2021;08:46:00-000;10.94;10.94;10.93;10.93;701;10.9371
29.11.2021;08:47:00-000;10.92;10.92;10.89;10.9199;1310;10.912
29.11.2021;08:48:00-000;10.9199;10.92;10.91;10.92;500;10.918
29.11.2021;08:49:00-000;10.92;10.92;10.92;10.92;100;10.92
29.11.2021;08:51:00-000;10.9;10.9;10.9;10.9;480;10.9
29.11.2021;08:58:00-000;10.95;10.95;10.94;10.94;1102;10.9491
29.11.2021;09:00:00-000;10.93;10.94;10.93;10.94;299;10.9367
29.11.2021;09:01:00-000;10.94;10.94;10.94;10.94;450;10.9411
29.11.2021;09:07:00-000;10.95;10.95;10.95;10.95;300;10.95
29.11.2021;09:13:00-000;10.96;11.05;10.92;10.93;2730;10.993
