Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;24.4;24.57;24.4;24.57;12367;24.4034
29.11.2021;09:31:00-000;24.4;24.425;24.32;24.425;1848;24.3614
29.11.2021;09:32:00-000;24.43;24.43;24.32;24.41;481;24.3823
29.11.2021;09:34:00-000;24.3301;24.3301;24.3301;24.3301;188;24.3488
29.11.2021;09:35:00-000;24.36;24.39;24.28;24.28;2714;24.3199
29.11.2021;09:36:00-000;24.32;24.32;24.3;24.3;624;24.3123
29.11.2021;09:37:00-000;24.33;24.33;24.25;24.275;4855;24.295
29.11.2021;09:38:00-000;24.22;24.22;24.22;24.22;780;24.2341
29.11.2021;09:39:00-000;24.22;24.22;24.21;24.21;546;24.2167
29.11.2021;09:40:00-000;24.24;24.25;24.17;24.17;3571;24.2029
29.11.2021;09:41:00-000;24.15;24.16;24.12;24.13;5785;24.1415
29.11.2021;09:42:00-000;24.15;24.18;24.1;24.12;2392;24.1599
29.11.2021;09:43:00-000;24.09;24.09;24.09;24.09;144;24.0974
29.11.2021;09:44:00-000;24.08;24.08;24.04;24.04;3057;24.0641
29.11.2021;09:45:00-000;24.05;24.085;24.05;24.07;1894;24.069
29.11.2021;09:46:00-000;24.04;24.07;24.04;24.07;1105;24.0622
29.11.2021;09:47:00-000;24.08;24.09;24.07;24.09;3402;24.082
29.11.2021;09:48:00-000;24.0701;24.09;24.07;24.09;1215;24.0803
29.11.2021;09:49:00-000;24.12;24.12;24.03;24.03;7225;24.0616
29.11.2021;09:50:00-000;24.03;24.04;24.03;24.04;858;24.0328
29.11.2021;09:52:00-000;24.03;24.03;24.03;24.03;1231;24.03
29.11.2021;09:53:00-000;24.03;24.03;23.98;23.98;815;24.0065
29.11.2021;09:54:00-000;24.01;24.0103;23.98;23.98;910;24.0067
29.11.2021;09:55:00-000;23.98;23.99;23.98;23.98;576;23.9843
29.11.2021;09:56:00-000;23.99;23.99;23.99;23.99;337;23.9902
29.11.2021;09:57:00-000;23.99;23.99;23.965;23.965;3293;23.9817
29.11.2021;09:58:00-000;23.94;23.95;23.93;23.95;1928;23.9418
29.11.2021;09:59:00-000;23.95;23.97;23.94;23.94;3186;23.9528
29.11.2021;10:00:00-000;23.92;23.92;23.9;23.9;851;23.9089
29.11.2021;10:01:00-000;23.94;23.95;23.93;23.94;2714;23.9394
29.11.2021;10:02:00-000;23.94;23.9401;23.93;23.9401;1776;23.9385
29.11.2021;10:03:00-000;23.93;23.93;23.92;23.92;426;23.9196
29.11.2021;10:04:00-000;23.8939;23.8939;23.835;23.835;1126;23.8507
29.11.2021;10:05:00-000;23.83;23.89;23.83;23.875;3515;23.8514
29.11.2021;10:06:00-000;23.85;23.855;23.84;23.84;500;23.8469
29.11.2021;10:07:00-000;23.82;23.82;23.81;23.81;693;23.8117
29.11.2021;10:08:00-000;23.78;23.8;23.765;23.765;9367;23.7877
29.11.2021;10:09:00-000;23.765;23.79;23.75;23.78;25746;23.7778
29.11.2021;10:10:00-000;23.78;23.84;23.78;23.825;4013;23.8181
29.11.2021;10:11:00-000;23.81;23.81;23.79;23.795;2092;23.8026
29.11.2021;10:12:00-000;23.79;23.79;23.77;23.77;410;23.7826
29.11.2021;10:13:00-000;23.76;23.77;23.72;23.75;19343;23.7456
29.11.2021;10:14:00-000;23.76;23.77;23.744;23.744;6386;23.7589
