Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;19.54;19.61;19.54;19.56;4285;19.5489
29.11.2021;09:31:00-000;19.59;19.59;19.54;19.54;950;19.5795
29.11.2021;09:32:00-000;19.59;19.59;19.54;19.54;756;19.5605
29.11.2021;09:33:00-000;19.55;19.55;19.55;19.55;226;19.5516
29.11.2021;09:34:00-000;19.54;19.54;19.52;19.54;717;19.5344
29.11.2021;09:35:00-000;19.54;19.55;19.54;19.55;5327;19.5438
29.11.2021;09:36:00-000;19.57;19.57;19.56;19.56;1437;19.5636
29.11.2021;09:37:00-000;19.57;19.57;19.57;19.57;713;19.5688
29.11.2021;09:38:00-000;19.555;19.56;19.55;19.55;861;19.5522
29.11.2021;09:40:00-000;19.545;19.545;19.53;19.53;2325;19.5421
29.11.2021;09:41:00-000;19.53;19.53;19.53;19.53;166;19.5314
29.11.2021;09:42:00-000;19.53;19.535;19.53;19.535;4527;19.5329
29.11.2021;09:43:00-000;19.53;19.53;19.52;19.52;1767;19.5289
29.11.2021;09:44:00-000;19.52;19.525;19.52;19.525;265;19.5242
29.11.2021;09:45:00-000;19.525;19.525;19.515;19.515;428;19.5177
29.11.2021;09:46:00-000;19.5;19.5;19.5;19.5;432;19.5001
29.11.2021;09:47:00-000;19.5;19.5;19.5;19.5;501;19.5
29.11.2021;09:48:00-000;19.49;19.49;19.47;19.47;2617;19.4722
29.11.2021;09:49:00-000;19.4704;19.4704;19.47;19.47;435;19.4699
29.11.2021;09:50:00-000;19.455;19.46;19.455;19.46;513;19.4588
29.11.2021;09:51:00-000;19.46;19.46;19.46;19.46;203;19.4549
29.11.2021;09:52:00-000;19.45;19.455;19.45;19.45;1702;19.4503
29.11.2021;09:53:00-000;19.45;19.46;19.45;19.46;384;19.4548
29.11.2021;09:54:00-000;19.475;19.475;19.47;19.47;929;19.4739
29.11.2021;09:55:00-000;19.46;19.47;19.46;19.47;632;19.4665
29.11.2021;09:56:00-000;19.48;19.48;19.48;19.48;230;19.48
29.11.2021;09:57:00-000;19.46;19.47;19.46;19.47;1314;19.4608
29.11.2021;09:59:00-000;19.47;19.49;19.47;19.48;992;19.4798
29.11.2021;10:00:00-000;19.47;19.475;19.47;19.475;409;19.4724
29.11.2021;10:01:00-000;19.48;19.49;19.48;19.48;1362;19.4798
29.11.2021;10:02:00-000;19.47;19.47;19.461;19.461;2911;19.4666
29.11.2021;10:03:00-000;19.46;19.46;19.45;19.45;484;19.4555
29.11.2021;10:04:00-000;19.4474;19.4474;19.445;19.445;3278;19.447
29.11.2021;10:05:00-000;19.45;19.46;19.45;19.46;1993;19.4525
29.11.2021;10:06:00-000;19.46;19.46;19.455;19.455;753;19.4587
29.11.2021;10:08:00-000;19.44;19.44;19.44;19.44;1372;19.44
29.11.2021;10:09:00-000;19.44;19.45;19.44;19.45;597;19.4461
29.11.2021;10:10:00-000;19.46;19.46;19.46;19.46;306;19.4602
29.11.2021;10:11:00-000;19.47;19.48;19.47;19.48;1101;19.4736
29.11.2021;10:12:00-000;19.48;19.48;19.47;19.47;2019;19.4786
29.11.2021;10:13:00-000;19.46;19.46;19.46;19.46;230;19.46
29.11.2021;10:14:00-000;19.455;19.46;19.455;19.46;909;19.4594
29.11.2021;10:15:00-000;19.46;19.47;19.46;19.47;2082;19.4685
29.11.2021;10:16:00-000;19.46;19.46;19.46;19.46;297;19.4606
29.11.2021;10:17:00-000;19.46;19.46;19.46;19.46;2178;19.46
29.11.2021;10:18:00-000;19.45;19.455;19.45;19.455;204;19.4526
