Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:52:00-000;0.7579;0.7579;0.7579;0.7579;492;0.7579
29.11.2021;08:00:00-000;0.76;0.76;0.76;0.76;500;0.76
29.11.2021;08:36:00-000;0.76;0.76;0.76;0.76;14237;0.76
29.11.2021;08:41:00-000;0.76;0.76;0.76;0.76;100;0.76
29.11.2021;08:58:00-000;0.76;0.76;0.76;0.76;500;0.76
29.11.2021;09:24:00-000;0.76;0.76;0.76;0.76;1000;0.76
29.11.2021;09:30:00-000;0.76;0.7678;0.758;0.7678;9581;0.7607
29.11.2021;09:31:00-000;0.759;0.7678;0.7579;0.7678;6204;0.7597
29.11.2021;09:32:00-000;0.7678;0.7678;0.7678;0.7678;1000;0.7678
29.11.2021;09:33:00-000;0.7678;0.7678;0.7678;0.7678;500;0.7678
29.11.2021;09:36:00-000;0.7602;0.7602;0.7602;0.7602;100;0.7602
29.11.2021;09:38:00-000;0.7601;0.7603;0.7601;0.7601;1285;0.7603
29.11.2021;09:40:00-000;0.768;0.768;0.768;0.768;500;0.768
29.11.2021;09:41:00-000;0.768;0.77;0.768;0.77;3221;0.7697
29.11.2021;09:42:00-000;0.7787;0.7787;0.7787;0.7787;3580;0.7787
29.11.2021;09:43:00-000;0.7703;0.7703;0.7703;0.7703;1000;0.7703
29.11.2021;09:44:00-000;0.7738;0.7787;0.7738;0.7787;4050;0.7786
29.11.2021;09:45:00-000;0.7786;0.7786;0.7704;0.7704;1000;0.7745
29.11.2021;09:46:00-000;0.7787;0.7787;0.7787;0.7787;200;0.7787
29.11.2021;09:47:00-000;0.7741;0.7763;0.7741;0.7763;750;0.7749
29.11.2021;09:49:00-000;0.774;0.774;0.774;0.774;501;0.774
29.11.2021;09:55:00-000;0.7787;0.7787;0.7787;0.7787;2235;0.7787
29.11.2021;09:58:00-000;0.7742;0.7742;0.77;0.77;26750;0.7719
29.11.2021;10:00:00-000;0.785;0.785;0.785;0.785;505;0.7849
29.11.2021;10:02:00-000;0.774;0.774;0.774;0.774;500;0.774
29.11.2021;10:06:00-000;0.7848;0.7848;0.7848;0.7848;500;0.7849
29.11.2021;10:07:00-000;0.774;0.7848;0.774;0.7848;1100;0.775
29.11.2021;10:08:00-000;0.774;0.774;0.774;0.774;1000;0.774
29.11.2021;10:09:00-000;0.7848;0.7848;0.7848;0.7848;100;0.7848
29.11.2021;10:12:00-000;0.7741;0.7848;0.7741;0.7848;299;0.7777
29.11.2021;10:18:00-000;0.78;0.78;0.78;0.78;500;0.78
29.11.2021;10:21:00-000;0.785;0.785;0.785;0.785;500;0.785
29.11.2021;10:26:00-000;0.78;0.78;0.78;0.78;4382;0.78
29.11.2021;10:27:00-000;0.7769;0.7769;0.7769;0.7769;256;0.777
29.11.2021;10:28:00-000;0.78;0.78;0.78;0.78;100;0.78
29.11.2021;10:33:00-000;0.78;0.78;0.78;0.78;100;0.78
29.11.2021;10:39:00-000;0.7741;0.7741;0.7699;0.7699;7257;0.7712
29.11.2021;10:40:00-000;0.78;0.78;0.78;0.78;300;0.78
29.11.2021;10:43:00-000;0.77;0.77;0.77;0.77;425;0.77
29.11.2021;10:46:00-000;0.7699;0.78;0.7699;0.78;280;0.7764
29.11.2021;10:54:00-000;0.7798;0.7798;0.7798;0.7798;165;0.7737
29.11.2021;10:59:00-000;0.76;0.76;0.76;0.76;1344;0.7601
29.11.2021;11:02:00-000;0.78;0.78;0.78;0.78;100;0.78
29.11.2021;11:04:00-000;0.7798;0.7798;0.7798;0.7798;150;0.7799
29.11.2021;11:08:00-000;0.7799;0.7799;0.7799;0.7799;599;0.78
29.11.2021;11:09:00-000;0.7689;0.7689;0.7689;0.7689;961;0.7689
29.11.2021;11:11:00-000;0.758;0.7582;0.755;0.7582;7645;0.7578
29.11.2021;11:14:00-000;0.76;0.76;0.76;0.76;100;0.76
29.11.2021;11:27:00-000;0.7551;0.7551;0.7551;0.7551;300;0.7551
29.11.2021;11:36:00-000;0.7594;0.7594;0.7594;0.7594;100;0.7594
29.11.2021;11:37:00-000;0.7599;0.7599;0.7599;0.7599;1000;0.7599
29.11.2021;11:55:00-000;0.7599;0.7599;0.7599;0.7599;260;0.7599
29.11.2021;11:59:00-000;0.76;0.76;0.76;0.76;100;0.76
29.11.2021;12:01:00-000;0.76;0.76;0.7552;0.7552;2500;0.7581
29.11.2021;12:02:00-000;0.7553;0.7553;0.7553;0.7553;1001;0.7553
29.11.2021;12:16:00-000;0.76;0.76;0.76;0.76;1800;0.76
29.11.2021;12:19:00-000;0.7553;0.76;0.7553;0.76;210;0.7577
29.11.2021;12:27:00-000;0.7507;0.7507;0.7507;0.7507;137;0.7507
29.11.2021;12:32:00-000;0.7653;0.7653;0.7653;0.7653;1000;0.7653
29.11.2021;12:49:00-000;0.76;0.765;0.76;0.765;4207;0.7626
29.11.2021;12:50:00-000;0.765;0.765;0.765;0.765;250;0.765
29.11.2021;12:57:00-000;0.7508;0.7508;0.7508;0.7508;1000;0.7508
29.11.2021;13:02:00-000;0.7579;0.7579;0.7579;0.7579;194;0.7579
29.11.2021;13:27:00-000;0.7515;0.7515;0.7515;0.7515;112;0.7516
29.11.2021;13:40:00-000;0.7579;0.7579;0.7579;0.7579;2000;0.7579
29.11.2021;13:41:00-000;0.7579;0.765;0.7579;0.765;1280;0.7628
29.11.2021;13:42:00-000;0.7636;0.7636;0.7622;0.7622;2569;0.7627
29.11.2021;13:58:00-000;0.765;0.765;0.765;0.765;150;0.765
29.11.2021;14:12:00-000;0.765;0.765;0.765;0.765;150;0.765
29.11.2021;14:38:00-000;0.7626;0.7626;0.7626;0.7626;200;0.7626
29.11.2021;14:44:00-000;0.765;0.765;0.765;0.765;180;0.765
29.11.2021;15:02:00-000;0.761;0.7627;0.761;0.7627;279;0.7617
29.11.2021;15:03:00-000;0.7627;0.7627;0.7627;0.7627;107;0.7629
29.11.2021;15:09:00-000;0.765;0.765;0.765;0.765;144;0.765
29.11.2021;15:26:00-000;0.7649;0.7649;0.7627;0.7627;291;0.7641
29.11.2021;15:27:00-000;0.765;0.78;0.765;0.78;984;0.7724
