Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;28.33;28.33;28.33;28.33;6785;28.33
29.11.2021;09:31:00-000;28.2827;28.2827;28.2827;28.2827;3031;28.2873
29.11.2021;09:34:00-000;28.29;28.29;28.29;28.29;100;28.29
29.11.2021;09:35:00-000;28.28;28.28;28.25;28.2508;1916;28.2535
29.11.2021;09:39:00-000;28.2895;28.2895;28.2895;28.2895;100;28.2895
29.11.2021;09:46:00-000;28.2959;28.2959;28.2959;28.2959;200;28.2955
29.11.2021;09:49:00-000;28.29;28.29;28.29;28.29;807;28.29
29.11.2021;09:51:00-000;28.28;28.28;28.28;28.28;107;28.2812
29.11.2021;09:53:00-000;28.2581;28.2581;28.2581;28.2581;100;28.2581
29.11.2021;09:57:00-000;28.285;28.285;28.285;28.285;213;28.285
29.11.2021;09:59:00-000;28.25;28.25;28.25;28.25;296;28.25
29.11.2021;10:11:00-000;28.2545;28.2545;28.2545;28.2545;200;28.2545
29.11.2021;10:14:00-000;28.2966;28.2966;28.2966;28.2966;475;28.2967
29.11.2021;10:17:00-000;28.3;28.3;28.3;28.3;500;28.3
29.11.2021;10:18:00-000;28.2;28.21;28.2;28.202;2060;28.2051
29.11.2021;10:20:00-000;28.25;28.25;28.25;28.25;250;28.25
29.11.2021;10:21:00-000;28.2495;28.2495;28.2495;28.2495;500;28.2495
29.11.2021;10:27:00-000;28.2;28.2;28.2;28.2;210;28.2004
29.11.2021;10:34:00-000;28.16;28.16;28.11;28.11;1713;28.1233
29.11.2021;10:35:00-000;28.11;28.11;28.1;28.1;647;28.1091
29.11.2021;10:39:00-000;28.1126;28.1126;28.1126;28.1126;102;28.1126
29.11.2021;10:40:00-000;28.1081;28.1081;28.1081;28.1081;535;28.1081
29.11.2021;10:43:00-000;28.103;28.103;28.1;28.1;1600;28.1028
29.11.2021;10:46:00-000;28.135;28.16;28.135;28.1504;1855;28.1524
29.11.2021;10:49:00-000;28.1095;28.1095;28.1095;28.1095;360;28.1092
29.11.2021;10:57:00-000;28.135;28.135;28.135;28.135;1100;28.135
29.11.2021;11:01:00-000;28.1504;28.1504;28.1504;28.1504;1775;28.1504
29.11.2021;11:05:00-000;28.135;28.17;28.135;28.17;1268;28.1518
29.11.2021;11:07:00-000;28.18;28.18;28.18;28.18;616;28.1735
29.11.2021;11:12:00-000;28.195;28.2391;28.195;28.2391;2000;28.2354
29.11.2021;11:13:00-000;28.19;28.19;28.19;28.19;326;28.1932
29.11.2021;11:38:00-000;28.2751;28.2751;28.2751;28.2751;180;28.2751
29.11.2021;11:46:00-000;28.16;28.16;28.16;28.16;100;28.16
