Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;79.09;79.98;79.09;79.275;8329;79.3006
29.11.2021;09:31:00-000;79.08;79.13;78.72;78.72;2534;78.8872
29.11.2021;09:32:00-000;78.72;78.76;78.4;78.4;3215;78.5707
29.11.2021;09:33:00-000;78.495;78.83;78.27;78.27;15037;78.5727
29.11.2021;09:34:00-000;78.11;78.25;78.11;78.25;2144;78.1914
29.11.2021;09:35:00-000;78.08;78.09;77.9;78.05;6186;78.04
29.11.2021;09:36:00-000;78.11;78.11;78.11;78.11;929;78.1183
29.11.2021;09:37:00-000;77.8;77.8;77.8;77.8;367;77.7981
29.11.2021;09:38:00-000;77.95;77.97;77.915;77.97;1957;77.9698
29.11.2021;09:40:00-000;77.75;77.75;77.75;77.75;527;77.7679
29.11.2021;09:42:00-000;78.14;78.2;77.99;77.99;791;78.1251
29.11.2021;09:43:00-000;78.01;78.01;77.99;77.99;1653;77.9995
29.11.2021;09:44:00-000;77.7931;78.16;77.7931;78.16;1252;78.0253
29.11.2021;09:45:00-000;78.23;78.23;78.16;78.16;311;78.1844
29.11.2021;09:46:00-000;78.08;78.1;77.82;77.82;1503;78.0597
29.11.2021;09:48:00-000;77.85;77.86;77.8;77.86;521;77.8428
29.11.2021;09:49:00-000;77.92;77.93;77.835;77.835;5018;77.9194
29.11.2021;09:50:00-000;77.75;77.76;77.75;77.75;973;77.7541
29.11.2021;09:51:00-000;77.8;77.9527;77.8;77.9527;1734;77.8635
29.11.2021;09:52:00-000;77.77;77.77;77.665;77.665;1174;77.697
29.11.2021;09:53:00-000;77.73;77.81;77.73;77.81;668;77.7471
29.11.2021;09:54:00-000;77.785;77.785;77.785;77.785;229;77.7798
29.11.2021;09:55:00-000;77.66;77.83;77.63;77.78;2775;77.7172
29.11.2021;09:56:00-000;77.79;77.85;77.79;77.82;517;77.8099
29.11.2021;09:57:00-000;77.66;77.69;77.66;77.69;985;77.6704
29.11.2021;09:59:00-000;77.76;77.88;77.76;77.8;1870;77.8095
29.11.2021;10:00:00-000;77.7;77.7;77.7;77.7;356;77.7164
29.11.2021;10:01:00-000;77.96;78.07;77.96;78.07;1238;77.924
29.11.2021;10:03:00-000;77.95;78;77.94;77.94;2842;77.9839
29.11.2021;10:04:00-000;77.8936;77.8936;77.8936;77.8936;140;77.8936
29.11.2021;10:05:00-000;78.03;78.08;78.03;78.08;869;78.0279
29.11.2021;10:06:00-000;78.08;78.18;78.07;78.18;3241;78.1232
29.11.2021;10:07:00-000;78.09;78.18;78.075;78.075;2562;78.1162
29.11.2021;10:08:00-000;77.87;77.87;77.87;77.87;832;77.9244
29.11.2021;10:09:00-000;77.92;77.92;77.92;77.92;501;77.9253
29.11.2021;10:11:00-000;78.03;78.15;77.99;78.11;5826;78.0722
29.11.2021;10:12:00-000;78.04;78.04;78.04;78.04;438;78.0371
29.11.2021;10:13:00-000;78.03;78.03;78.03;78.03;134;78.0316
29.11.2021;10:14:00-000;78.04;78.04;78.04;78.04;233;78.0144
29.11.2021;10:15:00-000;77.89;77.92;77.8;77.92;3392;77.9087
29.11.2021;10:16:00-000;77.91;77.94;77.87;77.9;3967;77.9184
29.11.2021;10:17:00-000;77.8827;77.94;77.8827;77.89;4435;77.9185
29.11.2021;10:18:00-000;77.895;78.05;77.895;78.05;1325;77.9751
29.11.2021;10:19:00-000;78.09;78.2;78.09;78.198;784;78.1239
29.11.2021;10:20:00-000;78.07;78.07;78;78;709;78.0498
29.11.2021;10:21:00-000;78.03;78.13;78.03;78.08;1249;78.0803
29.11.2021;10:22:00-000;78.075;78.075;78.07;78.07;517;78.0721
29.11.2021;10:23:00-000;78.13;78.14;78.13;78.14;206;78.1343
29.11.2021;10:24:00-000;78.075;78.1255;78.075;78.1255;709;78.1164
29.11.2021;10:25:00-000;78.14;78.14;78;78;864;78.0241
29.11.2021;10:26:00-000;77.92;77.92;77.83;77.83;1829;77.8863
29.11.2021;10:27:00-000;77.82;77.825;77.74;77.74;414;77.7686
29.11.2021;10:29:00-000;77.6;77.6;77.6;77.6;204;77.6309
29.11.2021;10:30:00-000;77.61;77.7;77.61;77.62;2924;77.6909
29.11.2021;10:31:00-000;77.59;77.59;77.45;77.45;1297;77.538
29.11.2021;10:32:00-000;77.615;77.62;77.58;77.58;2029;77.59
29.11.2021;10:33:00-000;77.575;77.66;77.47;77.63;3535;77.5576
29.11.2021;10:34:00-000;77.66;77.67;77.55;77.67;2062;77.6254
29.11.2021;10:35:00-000;77.72;77.84;77.72;77.8;3488;77.7757
29.11.2021;10:36:00-000;77.8;77.8;77.72;77.72;2054;77.7478
29.11.2021;10:37:00-000;77.675;77.71;77.64;77.64;5345;77.671
29.11.2021;10:38:00-000;77.54;77.62;77.515;77.515;3233;77.581
29.11.2021;10:39:00-000;77.5;77.58;77.5;77.58;1775;77.5495
29.11.2021;10:40:00-000;77.559;77.559;77.47;77.47;954;77.5377
29.11.2021;10:41:00-000;77.46;77.46;77.315;77.315;1213;77.38
29.11.2021;10:42:00-000;77.35;77.43;77.29;77.375;2323;77.3691
29.11.2021;10:43:00-000;77.29;77.29;77.28;77.28;569;77.2942
29.11.2021;10:44:00-000;77.33;77.33;77.31;77.33;947;77.3318
29.11.2021;10:45:00-000;77.38;77.59;77.38;77.59;1581;77.454
29.11.2021;10:46:00-000;77.63;77.71;77.63;77.71;268;77.6602
29.11.2021;10:47:00-000;77.68;77.68;77.58;77.64;940;77.6104
29.11.2021;10:48:00-000;77.61;77.61;77.48;77.5314;3449;77.5473
29.11.2021;10:49:00-000;77.56;77.59;77.52;77.52;1779;77.5531
29.11.2021;10:50:00-000;77.48;77.53;77.43;77.53;1760;77.4821
29.11.2021;10:51:00-000;77.56;77.56;77.56;77.56;881;77.5602
29.11.2021;10:52:00-000;77.57;77.61;77.57;77.61;257;77.6107
29.11.2021;10:53:00-000;77.62;77.62;77.56;77.56;1167;77.592
29.11.2021;10:54:00-000;77.59;77.6;77.59;77.6;559;77.5856
29.11.2021;10:55:00-000;77.61;77.61;77.61;77.61;473;77.6139
29.11.2021;10:56:00-000;77.69;77.73;77.62;77.6625;2671;77.6577
29.11.2021;10:57:00-000;77.63;77.63;77.6072;77.6072;376;77.6148
29.11.2021;10:58:00-000;77.69;77.69;77.69;77.69;150;77.6857
29.11.2021;10:59:00-000;77.68;77.74;77.68;77.7;2836;77.693
29.11.2021;11:00:00-000;77.76;77.885;77.76;77.8825;1254;77.7953
29.11.2021;11:01:00-000;77.82;77.89;77.81;77.89;3000;77.8295
29.11.2021;11:02:00-000;77.9372;77.99;77.83;77.99;862;77.913
29.11.2021;11:03:00-000;77.9;77.97;77.89;77.92;2538;77.9343
29.11.2021;11:05:00-000;77.94;77.975;77.92;77.92;1346;77.9411
29.11.2021;11:06:00-000;77.95;78.02;77.95;78.02;532;78.006
29.11.2021;11:07:00-000;78.01;78.01;78.01;78.01;258;78.032
29.11.2021;11:08:00-000;78.05;78.15;78.05;78.15;725;78.0668
29.11.2021;11:09:00-000;78.04;78.08;77.99;78.035;6637;78.0308
29.11.2021;11:10:00-000;78.09;78.09;78.065;78.065;417;78.0846
29.11.2021;11:11:00-000;78.14;78.14;78.1;78.105;986;78.1174
29.11.2021;11:12:00-000;78.08;78.17;78.08;78.17;5349;78.1315
29.11.2021;11:13:00-000;78.18;78.19;78.13;78.16;3573;78.1694
29.11.2021;11:14:00-000;78.19;78.21;78.18;78.18;1847;78.1934
29.11.2021;11:15:00-000;78.2;78.3;78.2;78.3;590;78.2377
29.11.2021;11:16:00-000;78.26;78.295;78.22;78.22;2707;78.2484
