Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;120.49;120.49;120.49;120.49;157;120.526
29.11.2021;09:45:00-000;120.277;120.277;120.277;120.277;500;120.277
29.11.2021;09:58:00-000;120;120;120;120;468;120
29.11.2021;10:01:00-000;120.277;120.277;120.277;120.277;1003;120.276
29.11.2021;10:08:00-000;120;120;120;120;200;120
29.11.2021;10:14:00-000;119.89;119.89;119.89;119.89;275;119.931
29.11.2021;12:35:00-000;120.468;120.49;120.468;120.49;986;120.475
29.11.2021;12:37:00-000;120.39;120.39;120.39;120.39;200;120.39
29.11.2021;12:39:00-000;120.32;120.32;120.32;120.32;300;120.32
29.11.2021;13:52:00-000;120.29;120.29;120.29;120.29;100;120.29
29.11.2021;14:17:00-000;120.14;120.14;120.14;120.14;332;120.148
29.11.2021;14:20:00-000;120.11;120.11;120.11;120.11;176;120.11
29.11.2021;14:33:00-000;120.07;120.07;120.07;120.07;281;120.07
29.11.2021;15:59:00-000;119.85;119.85;119.79;119.79;582;119.828
29.11.2021;16:00:00-000;119.95;119.95;119.95;119.95;220;119.95
29.11.2021;16:10:00-000;119.95;119.95;119.95;119.95;0;0
29.11.2021;18:30:00-000;119.95;119.95;119.95;119.95;0;0
29.11.2021;20:00:00-000;119.95;119.95;119.95;119.95;0;0
