Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;4.84;4.85;4.84;4.85;294;4.8446
29.11.2021;07:24:00-000;4.85;4.85;4.85;4.85;100;4.85
29.11.2021;07:47:00-000;4.85;4.85;4.85;4.85;400;4.85
29.11.2021;07:49:00-000;4.86;4.86;4.86;4.86;550;4.86
29.11.2021;08:00:00-000;4.83;4.87;4.83;4.87;400;4.84
29.11.2021;08:20:00-000;4.86;4.86;4.86;4.86;1500;4.86
29.11.2021;08:29:00-000;4.84;4.84;4.83;4.83;200;4.835
29.11.2021;08:31:00-000;4.83;4.83;4.83;4.83;881;4.83
29.11.2021;08:51:00-000;4.83;4.83;4.83;4.83;100;4.83
29.11.2021;09:02:00-000;4.82;4.82;4.82;4.82;1000;4.82
29.11.2021;09:04:00-000;4.8;4.8;4.8;4.8;400;4.8
29.11.2021;09:24:00-000;4.8;4.8;4.8;4.8;290;4.8
29.11.2021;09:30:00-000;4.8;4.8;4.77;4.77;78048;4.7887
29.11.2021;09:31:00-000;4.76;4.76;4.72;4.73;91369;4.7386
29.11.2021;09:32:00-000;4.73;4.73;4.67;4.67;103836;4.7032
29.11.2021;09:33:00-000;4.675;4.705;4.675;4.69;42942;4.6846
29.11.2021;09:34:00-000;4.695;4.6999;4.67;4.6769;15397;4.6891
29.11.2021;09:35:00-000;4.67;4.69;4.67;4.6765;19184;4.6804
29.11.2021;09:36:00-000;4.679;4.7;4.675;4.6999;19369;4.6901
29.11.2021;09:37:00-000;4.7;4.7;4.68;4.69;5649;4.6898
29.11.2021;09:38:00-000;4.7;4.73;4.7;4.71;33242;4.7144
29.11.2021;09:39:00-000;4.72;4.7299;4.7113;4.719;13256;4.7176
29.11.2021;09:40:00-000;4.72;4.72;4.71;4.72;6417;4.7149
29.11.2021;09:41:00-000;4.72;4.72;4.705;4.705;13663;4.7145
29.11.2021;09:42:00-000;4.72;4.72;4.69;4.69;28006;4.7053
29.11.2021;09:43:00-000;4.69;4.69;4.68;4.69;12024;4.6848
29.11.2021;09:44:00-000;4.69;4.7;4.6845;4.69;5113;4.6921
29.11.2021;09:45:00-000;4.69;4.695;4.675;4.68;25567;4.6886
29.11.2021;09:46:00-000;4.68;4.71;4.68;4.7;21495;4.6972
29.11.2021;09:47:00-000;4.695;4.695;4.695;4.695;844;4.6939
29.11.2021;09:48:00-000;4.69;4.69;4.68;4.685;3760;4.6819
29.11.2021;09:49:00-000;4.68;4.69;4.68;4.685;12430;4.6888
29.11.2021;09:50:00-000;4.68;4.7;4.675;4.68;23630;4.6881
29.11.2021;09:51:00-000;4.68;4.68;4.68;4.68;5058;4.68
29.11.2021;09:52:00-000;4.675;4.6762;4.675;4.6762;489;4.6754
29.11.2021;09:53:00-000;4.6711;4.685;4.6711;4.685;52440;4.6799
29.11.2021;09:54:00-000;4.685;4.695;4.685;4.69;11477;4.6898
29.11.2021;09:55:00-000;4.69;4.71;4.69;4.7;10043;4.7031
29.11.2021;09:56:00-000;4.705;4.71;4.7;4.7;22042;4.7089
29.11.2021;09:57:00-000;4.7;4.715;4.6985;4.715;23246;4.7019
29.11.2021;09:58:00-000;4.71;4.71;4.7046;4.7085;4845;4.7064
29.11.2021;09:59:00-000;4.71;4.725;4.71;4.72;38513;4.7186
29.11.2021;10:00:00-000;4.72;4.72;4.7;4.7;15812;4.7107
29.11.2021;10:01:00-000;4.705;4.705;4.68;4.685;46398;4.6965
29.11.2021;10:02:00-000;4.685;4.7;4.685;4.69;12895;4.6904
29.11.2021;10:03:00-000;4.69;4.69;4.6897;4.69;5882;4.6901
29.11.2021;10:04:00-000;4.69;4.7063;4.69;4.7063;3984;4.696
29.11.2021;10:05:00-000;4.71;4.7137;4.71;4.7137;2404;4.7119
29.11.2021;10:06:00-000;4.715;4.715;4.695;4.7;16861;4.7075
29.11.2021;10:07:00-000;4.695;4.7;4.69;4.7;5143;4.6947
29.11.2021;10:08:00-000;4.69;4.695;4.685;4.69;10400;4.6898
29.11.2021;10:09:00-000;4.69;4.695;4.6815;4.695;9984;4.6909
29.11.2021;10:10:00-000;4.695;4.695;4.68;4.68;3991;4.6859
29.11.2021;10:11:00-000;4.685;4.69;4.684;4.69;3270;4.6883
29.11.2021;10:12:00-000;4.6831;4.685;4.6831;4.685;658;4.6841
29.11.2021;10:13:00-000;4.68;4.68;4.675;4.675;4985;4.6789
29.11.2021;10:14:00-000;4.68;4.68;4.67;4.68;3174;4.6754
29.11.2021;10:15:00-000;4.68;4.7;4.68;4.7;3737;4.6879
29.11.2021;10:16:00-000;4.7;4.7;4.69;4.69;4889;4.6916
29.11.2021;10:17:00-000;4.7;4.705;4.7;4.705;9837;4.7001
29.11.2021;10:18:00-000;4.7;4.705;4.6945;4.6945;2491;4.6999
29.11.2021;10:19:00-000;4.7;4.705;4.6917;4.6917;4073;4.6992
29.11.2021;10:20:00-000;4.69;4.69;4.69;4.69;590;4.69
29.11.2021;10:21:00-000;4.6901;4.7;4.6901;4.7;2254;4.6962
29.11.2021;10:22:00-000;4.69;4.69;4.685;4.685;735;4.6893
29.11.2021;10:23:00-000;4.69;4.69;4.6872;4.6872;423;4.6893
29.11.2021;10:24:00-000;4.685;4.685;4.68;4.68;200;4.6825
29.11.2021;10:25:00-000;4.68;4.686;4.68;4.686;2177;4.6816
29.11.2021;10:26:00-000;4.68;4.68;4.67;4.675;3020;4.6793
29.11.2021;10:27:00-000;4.67;4.6712;4.67;4.67;7120;4.6701
29.11.2021;10:28:00-000;4.6636;4.6636;4.64;4.64;37624;4.6527
29.11.2021;10:29:00-000;4.65;4.65;4.635;4.6399;14842;4.6399
29.11.2021;10:30:00-000;4.635;4.635;4.63;4.635;1723;4.6331
29.11.2021;10:31:00-000;4.63;4.6334;4.62;4.62;19246;4.6214
29.11.2021;10:32:00-000;4.625;4.63;4.62;4.62;2360;4.6234
29.11.2021;10:33:00-000;4.615;4.625;4.6118;4.625;14018;4.6193
29.11.2021;10:34:00-000;4.63;4.63;4.625;4.63;370;4.6286
29.11.2021;10:35:00-000;4.625;4.625;4.615;4.625;19116;4.62
29.11.2021;10:36:00-000;4.62;4.62;4.62;4.62;800;4.62
29.11.2021;10:37:00-000;4.62;4.6207;4.6142;4.6142;9161;4.62
29.11.2021;10:38:00-000;4.6127;4.62;4.61;4.615;39002;4.613
29.11.2021;10:39:00-000;4.612;4.618;4.612;4.615;500;4.6144
29.11.2021;10:40:00-000;4.6143;4.62;4.6141;4.62;6572;4.6156
29.11.2021;10:41:00-000;4.6132;4.6194;4.61;4.6194;7213;4.6148
29.11.2021;10:42:00-000;4.61;4.62;4.61;4.6101;4343;4.6119
29.11.2021;10:43:00-000;4.61;4.6267;4.61;4.6267;11686;4.6193
29.11.2021;10:44:00-000;4.625;4.6299;4.621;4.625;797;4.6257
29.11.2021;10:45:00-000;4.6299;4.645;4.625;4.645;18207;4.6359
29.11.2021;10:46:00-000;4.6471;4.65;4.6441;4.65;1239;4.6474
29.11.2021;10:47:00-000;4.65;4.66;4.65;4.66;11961;4.6503
29.11.2021;10:48:00-000;4.66;4.665;4.655;4.665;3140;4.6594
29.11.2021;10:49:00-000;4.669;4.6699;4.66;4.6699;10692;4.6687
29.11.2021;10:50:00-000;4.665;4.6769;4.665;4.6769;2710;4.6704
29.11.2021;10:51:00-000;4.67;4.678;4.67;4.6732;2246;4.6729
29.11.2021;10:52:00-000;4.68;4.68;4.67;4.67;2143;4.6738
29.11.2021;10:53:00-000;4.675;4.685;4.675;4.685;7863;4.6803
29.11.2021;10:54:00-000;4.68;4.685;4.68;4.68;3358;4.6821
29.11.2021;10:55:00-000;4.675;4.68;4.675;4.68;8924;4.6764
29.11.2021;10:56:00-000;4.6754;4.6754;4.67;4.6715;2143;4.6719
29.11.2021;10:57:00-000;4.67;4.674;4.665;4.67;15599;4.6702
29.11.2021;10:58:00-000;4.6692;4.67;4.665;4.67;1716;4.6691
29.11.2021;10:59:00-000;4.67;4.675;4.6677;4.675;2966;4.6701
29.11.2021;11:00:00-000;4.67;4.68;4.67;4.68;3610;4.6785
29.11.2021;11:01:00-000;4.69;4.7;4.69;4.7;2652;4.6909
29.11.2021;11:02:00-000;4.69;4.69;4.69;4.69;1515;4.69
29.11.2021;11:03:00-000;4.69;4.69;4.68;4.68;3857;4.6896
29.11.2021;11:04:00-000;4.69;4.69;4.685;4.685;426;4.6875
29.11.2021;11:05:00-000;4.69;4.709;4.69;4.709;15230;4.6978
29.11.2021;11:06:00-000;4.71;4.71;4.7;4.7;3838;4.7091
29.11.2021;11:07:00-000;4.7;4.705;4.7;4.7;1235;4.7027
29.11.2021;11:08:00-000;4.7;4.703;4.695;4.7;4855;4.6997
29.11.2021;11:09:00-000;4.695;4.7;4.6942;4.6968;7059;4.6995
29.11.2021;11:10:00-000;4.695;4.695;4.695;4.695;200;4.6973
29.11.2021;11:11:00-000;4.7;4.7;4.69;4.69;2612;4.6979
29.11.2021;11:12:00-000;4.7;4.71;4.7;4.71;3334;4.7003
29.11.2021;11:13:00-000;4.705;4.705;4.705;4.705;131;4.7052
29.11.2021;11:14:00-000;4.705;4.71;4.705;4.71;310;4.7049
29.11.2021;11:15:00-000;4.71;4.71;4.71;4.71;281;4.7098
29.11.2021;11:16:00-000;4.71;4.71;4.7;4.7;350;4.7043
29.11.2021;11:17:00-000;4.7;4.71;4.69;4.7039;30363;4.7
29.11.2021;11:18:00-000;4.7038;4.7042;4.7;4.7;850;4.7031
29.11.2021;11:19:00-000;4.7;4.7;4.69;4.695;20941;4.6997
29.11.2021;11:20:00-000;4.69;4.7;4.69;4.7;6497;4.6992
29.11.2021;11:21:00-000;4.695;4.7;4.69;4.69;467;4.6943
29.11.2021;11:22:00-000;4.69;4.69;4.682;4.682;11781;4.6863
29.11.2021;11:23:00-000;4.68;4.68;4.675;4.68;2444;4.6791
29.11.2021;11:24:00-000;4.68;4.685;4.68;4.685;8128;4.6808
29.11.2021;11:25:00-000;4.685;4.685;4.685;4.685;478;4.685
29.11.2021;11:26:00-000;4.6899;4.69;4.68;4.685;10569;4.6825
29.11.2021;11:27:00-000;4.69;4.69;4.685;4.69;600;4.6892
29.11.2021;11:28:00-000;4.69;4.69;4.685;4.685;3572;4.6894
29.11.2021;11:29:00-000;4.685;4.685;4.6801;4.6801;1100;4.6805
29.11.2021;11:30:00-000;4.69;4.69;4.685;4.69;7888;4.6897
29.11.2021;11:31:00-000;4.69;4.7;4.69;4.7;4552;4.6985
29.11.2021;11:32:00-000;4.69;4.69;4.6873;4.6873;6566;4.6899
29.11.2021;11:33:00-000;4.6899;4.6899;4.68;4.68;534;4.6882
