Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:58:00-000;60.5;60.5;60.5;60.5;203;60.5
29.11.2021;09:30:00-000;60.54;60.69;60.43;60.5;37876;60.594
29.11.2021;09:31:00-000;60.487;60.59;60.44;60.52;5620;60.4841
29.11.2021;09:32:00-000;60.465;60.465;60.21;60.32;3239;60.3177
29.11.2021;09:33:00-000;60.32;60.4;60.23;60.23;5058;60.3305
29.11.2021;09:34:00-000;60.235;60.235;60.16;60.16;484;60.2189
29.11.2021;09:35:00-000;60.22;60.25;60.16;60.22;2830;60.2011
29.11.2021;09:37:00-000;60.24;60.31;60.23;60.31;1479;60.2507
29.11.2021;09:38:00-000;60.31;60.4;60.31;60.33;1288;60.3516
29.11.2021;09:39:00-000;60.3899;60.4;60.38;60.4;1297;60.3825
29.11.2021;09:40:00-000;60.44;60.57;60.35;60.57;3714;60.4061
29.11.2021;09:41:00-000;60.6;60.62;60.5451;60.575;1748;60.5789
29.11.2021;09:42:00-000;60.575;60.62;60.5;60.555;6593;60.5438
29.11.2021;09:43:00-000;60.555;60.58;60.42;60.425;4915;60.4821
29.11.2021;09:44:00-000;60.415;60.53;60.415;60.5;3038;60.4804
29.11.2021;09:45:00-000;60.49;60.53;60.45;60.52;5930;60.4933
29.11.2021;09:46:00-000;60.55;60.55;60.45;60.49;3313;60.49
29.11.2021;09:47:00-000;60.51;60.56;60.5;60.56;4037;60.5355
29.11.2021;09:48:00-000;60.57;60.62;60.5223;60.58;4919;60.5749
29.11.2021;09:49:00-000;60.62;60.64;60.51;60.535;8439;60.5859
29.11.2021;09:50:00-000;60.51;60.59;60.51;60.59;3059;60.549
29.11.2021;09:51:00-000;60.59;60.59;60.545;60.59;734;60.5769
29.11.2021;09:52:00-000;60.59;60.63;60.56;60.58;13286;60.5993
29.11.2021;09:53:00-000;60.605;60.66;60.605;60.66;2528;60.628
29.11.2021;09:54:00-000;60.68;60.69;60.61;60.66;12669;60.6463
29.11.2021;09:55:00-000;60.64;60.655;60.51;60.51;11518;60.5633
29.11.2021;09:56:00-000;60.53;60.545;60.47;60.47;14198;60.5154
29.11.2021;09:57:00-000;60.48;60.48;60.42;60.43;4183;60.461
29.11.2021;09:58:00-000;60.43;60.52;60.43;60.45;10179;60.4724
29.11.2021;09:59:00-000;60.45;60.5;60.39;60.44;6870;60.4458
29.11.2021;10:00:00-000;60.47;60.48;60.37;60.42;8880;60.427
29.11.2021;10:01:00-000;60.44;60.48;60.44;60.46;13587;60.4627
29.11.2021;10:02:00-000;60.4697;60.52;60.4697;60.52;2953;60.4924
29.11.2021;10:03:00-000;60.52;60.52;60.47;60.5;4326;60.509
29.11.2021;10:04:00-000;60.58;60.58;60.47;60.48;2963;60.5201
29.11.2021;10:05:00-000;60.46;60.47;60.43;60.44;5386;60.4549
29.11.2021;10:06:00-000;60.478;60.478;60.42;60.42;1946;60.4528
29.11.2021;10:07:00-000;60.43;60.46;60.38;60.435;6797;60.4138
29.11.2021;10:08:00-000;60.46;60.46;60.34;60.36;4635;60.3847
29.11.2021;10:09:00-000;60.37;60.445;60.35;60.42;3384;60.3944
29.11.2021;10:10:00-000;60.42;60.47;60.42;60.47;1312;60.4382
29.11.2021;10:11:00-000;60.46;60.46;60.42;60.425;3080;60.4447
29.11.2021;10:12:00-000;60.43;60.465;60.43;60.45;2160;60.4421
29.11.2021;10:13:00-000;60.43;60.45;60.43;60.43;2977;60.4385
29.11.2021;10:14:00-000;60.445;60.445;60.415;60.43;2138;60.4295
29.11.2021;10:15:00-000;60.44;60.515;60.44;60.49;2673;60.4769
29.11.2021;10:16:00-000;60.48;60.5;60.45;60.48;15147;60.4785
29.11.2021;10:17:00-000;60.47;60.48;60.43;60.48;12027;60.4546
29.11.2021;10:18:00-000;60.48;60.53;60.48;60.53;1438;60.5039
29.11.2021;10:19:00-000;60.535;60.54;60.51;60.515;2806;60.5176
29.11.2021;10:20:00-000;60.52;60.52;60.45;60.47;5364;60.4802
29.11.2021;10:21:00-000;60.485;60.5;60.485;60.5;2046;60.4903
29.11.2021;10:22:00-000;60.51;60.54;60.48;60.54;5090;60.5136
29.11.2021;10:23:00-000;60.56;60.58;60.55;60.565;1960;60.5656
29.11.2021;10:24:00-000;60.58;60.61;60.55;60.55;3934;60.5934
29.11.2021;10:25:00-000;60.57;60.605;60.54;60.545;2626;60.5659
29.11.2021;10:26:00-000;60.53;60.55;60.49;60.52;4568;60.526
29.11.2021;10:27:00-000;60.53;60.53;60.43;60.46;3952;60.4678
29.11.2021;10:28:00-000;60.45;60.49;60.45;60.49;1462;60.4658
