Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;103.87;103.87;103.61;103.61;6643;103.828
29.11.2021;09:33:00-000;103.555;103.555;103.38;103.39;1219;103.432
29.11.2021;09:34:00-000;103.29;103.3;103.27;103.28;669;103.272
29.11.2021;09:35:00-000;103.14;103.14;103.04;103.04;278;103.088
29.11.2021;09:36:00-000;103.2;103.2;103.05;103.05;376;103.153
29.11.2021;09:38:00-000;103.15;103.15;103.15;103.15;300;103.143
29.11.2021;09:41:00-000;102.95;103.04;102.9;103.03;857;103.002
29.11.2021;09:42:00-000;103.01;103.04;103.01;103.04;330;103.024
29.11.2021;09:43:00-000;103;103.18;102.92;102.965;1565;103.014
29.11.2021;09:44:00-000;102.965;102.965;102.965;102.965;183;103.003
29.11.2021;09:45:00-000;102.88;102.88;102.88;102.88;839;102.956
29.11.2021;09:46:00-000;102.95;102.95;102.95;102.95;400;102.95
29.11.2021;09:47:00-000;103.03;103.14;102.92;102.92;3375;103.015
29.11.2021;09:48:00-000;102.966;103.28;102.88;103.13;896;103.043
29.11.2021;09:49:00-000;103.13;103.145;103.05;103.145;1163;103.114
29.11.2021;09:50:00-000;103.045;103.2;103.045;103.2;859;103.126
29.11.2021;09:51:00-000;103.1;103.39;103.1;103.19;1542;103.213
29.11.2021;09:52:00-000;103.185;103.24;103.185;103.24;598;103.196
29.11.2021;09:53:00-000;103.24;103.24;102.89;102.92;3029;103.106
29.11.2021;09:54:00-000;103.025;103.22;103.025;103.22;1310;103.109
29.11.2021;09:55:00-000;102.88;102.885;102.75;102.82;1183;102.853
29.11.2021;09:56:00-000;103.02;103.02;102.89;103.02;932;102.984
29.11.2021;09:57:00-000;102.975;102.975;102.96;102.96;476;102.971
29.11.2021;09:58:00-000;102.935;102.935;102.935;102.935;274;102.97
29.11.2021;09:59:00-000;103.05;103.05;102.98;102.98;505;103.039
29.11.2021;10:00:00-000;102.865;102.865;102.865;102.865;215;102.894
29.11.2021;10:01:00-000;103.06;103.06;103.06;103.06;391;103.033
29.11.2021;10:02:00-000;102.96;103.04;102.87;102.87;759;102.982
29.11.2021;10:03:00-000;102.83;102.83;102.825;102.825;371;102.841
29.11.2021;10:04:00-000;102.71;102.88;102.71;102.88;518;102.796
29.11.2021;10:05:00-000;102.7;102.83;102.69;102.83;591;102.724
29.11.2021;10:06:00-000;102.84;102.85;102.84;102.85;768;102.873
29.11.2021;10:07:00-000;102.83;102.895;102.78;102.89;2619;102.836
29.11.2021;10:08:00-000;102.7;102.7;102.7;102.7;121;102.737
29.11.2021;10:09:00-000;102.72;102.72;102.72;102.72;253;102.751
29.11.2021;10:10:00-000;102.87;102.95;102.87;102.95;1193;102.914
29.11.2021;10:11:00-000;102.84;102.84;102.84;102.84;266;102.868
29.11.2021;10:12:00-000;102.8;102.94;102.8;102.9;652;102.881
29.11.2021;10:13:00-000;102.86;102.86;102.85;102.85;310;102.852
29.11.2021;10:16:00-000;102.676;102.676;102.676;102.676;436;102.665
29.11.2021;10:17:00-000;102.69;102.69;102.625;102.625;553;102.678
29.11.2021;10:21:00-000;102.8;102.8;102.8;102.8;417;102.742
29.11.2021;10:23:00-000;102.82;102.89;102.82;102.89;870;102.829
29.11.2021;10:24:00-000;102.88;102.99;102.88;102.99;286;102.937
29.11.2021;10:25:00-000;102.89;102.9;102.89;102.9;323;102.876
29.11.2021;10:26:00-000;102.74;102.75;102.565;102.565;2014;102.719
29.11.2021;10:27:00-000;102.46;102.46;102.46;102.46;115;102.456
29.11.2021;10:28:00-000;102.36;102.36;102.36;102.36;166;102.388
29.11.2021;10:29:00-000;102.5;102.55;102.49;102.49;827;102.517
29.11.2021;10:30:00-000;102.57;102.64;102.54;102.64;571;102.588
29.11.2021;10:31:00-000;102.64;102.64;102.55;102.55;429;102.597
29.11.2021;10:32:00-000;102.53;102.53;102.53;102.53;220;102.546
29.11.2021;10:33:00-000;102.51;102.6;102.51;102.6;1026;102.522
29.11.2021;10:34:00-000;102.5;102.5;102.5;102.5;131;102.507
29.11.2021;10:35:00-000;102.6;102.6;102.6;102.6;289;102.589
29.11.2021;10:36:00-000;102.645;102.645;102.55;102.55;481;102.593
29.11.2021;10:37:00-000;102.61;102.63;102.38;102.38;832;102.502
29.11.2021;10:38:00-000;102.31;102.41;102.27;102.27;932;102.354
29.11.2021;10:39:00-000;102.27;102.44;102.27;102.44;1403;102.374
29.11.2021;10:41:00-000;102.41;102.43;102.21;102.27;2327;102.354
29.11.2021;10:42:00-000;102.31;102.31;102.31;102.31;115;102.306
29.11.2021;10:43:00-000;102.26;102.26;102.17;102.18;497;102.202
29.11.2021;10:44:00-000;102.3;102.3;102.3;102.3;443;102.282
29.11.2021;10:45:00-000;102.295;102.39;102.295;102.39;294;102.351
29.11.2021;10:47:00-000;102.455;102.455;102.455;102.455;442;102.444
29.11.2021;10:48:00-000;102.51;102.51;102.4;102.4;540;102.478
29.11.2021;10:49:00-000;102.37;102.37;102.21;102.21;1017;102.342
29.11.2021;10:50:00-000;102.38;102.38;102.23;102.24;547;102.285
29.11.2021;10:52:00-000;102.405;102.49;102.33;102.36;618;102.378
29.11.2021;10:54:00-000;102.37;102.41;102.37;102.41;348;102.375
29.11.2021;10:55:00-000;102.42;102.46;102.38;102.46;1048;102.402
29.11.2021;10:56:00-000;102.32;102.35;102.32;102.35;517;102.326
29.11.2021;10:57:00-000;102.28;102.38;102.28;102.38;585;102.311
29.11.2021;10:58:00-000;102.411;102.44;102.3;102.42;1144;102.368
29.11.2021;10:59:00-000;102.29;102.39;102.29;102.39;2090;102.318
29.11.2021;11:00:00-000;102.495;102.55;102.45;102.45;891;102.49
29.11.2021;11:01:00-000;102.52;102.61;102.465;102.555;937;102.533
29.11.2021;11:02:00-000;102.6;102.6;102.6;102.6;621;102.57
29.11.2021;11:03:00-000;102.64;102.665;102.59;102.665;1193;102.634
29.11.2021;11:04:00-000;102.61;102.61;102.61;102.61;204;102.625
29.11.2021;11:05:00-000;102.71;102.82;102.68;102.82;924;102.738
29.11.2021;11:06:00-000;102.83;102.85;102.77;102.84;3250;102.789
29.11.2021;11:07:00-000;102.88;102.96;102.81;102.81;572;102.882
29.11.2021;11:08:00-000;102.875;102.92;102.875;102.92;374;102.898
29.11.2021;11:09:00-000;102.91;102.93;102.83;102.83;1439;102.898
29.11.2021;11:10:00-000;102.98;102.98;102.91;102.91;520;102.926
29.11.2021;11:11:00-000;102.97;103;102.925;103;544;102.941
29.11.2021;11:12:00-000;102.86;102.86;102.85;102.85;308;102.856
29.11.2021;11:13:00-000;102.85;102.86;102.85;102.86;453;102.859
29.11.2021;11:14:00-000;102.87;102.93;102.84;102.88;1800;102.865
29.11.2021;11:15:00-000;102.83;102.83;102.83;102.83;858;102.835
29.11.2021;11:17:00-000;102.77;102.8;102.7;102.745;1294;102.766
29.11.2021;11:18:00-000;102.69;102.705;102.69;102.705;453;102.698
29.11.2021;11:19:00-000;102.73;102.73;102.73;102.73;286;102.687
29.11.2021;11:20:00-000;102.78;102.865;102.78;102.865;599;102.8
29.11.2021;11:21:00-000;102.91;102.98;102.85;102.98;562;102.902
29.11.2021;11:22:00-000;102.85;102.85;102.85;102.85;302;102.854
29.11.2021;11:23:00-000;102.945;102.945;102.84;102.86;1509;102.858
29.11.2021;11:24:00-000;102.81;102.835;102.81;102.835;312;102.819
