Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:27:00-000;45.74;45.74;45.74;45.74;1000;45.7375
29.11.2021;09:30:00-000;44.53;44.53;44.53;44.53;456;44.53
29.11.2021;09:34:00-000;44.74;44.74;44.74;44.74;100;44.74
29.11.2021;09:35:00-000;44.54;44.54;44.54;44.54;158;44.5377
29.11.2021;09:38:00-000;44.5;44.5;44.5;44.5;115;44.5
29.11.2021;09:39:00-000;44.36;44.36;44.35;44.35;202;44.3556
29.11.2021;09:54:00-000;44.05;44.05;44.05;44.05;155;44.0489
29.11.2021;09:59:00-000;43.98;43.98;43.98;43.98;139;43.9777
29.11.2021;10:01:00-000;43.96;44.11;43.95;44.11;917;43.9931
29.11.2021;10:02:00-000;44.15;44.15;43.99;43.99;301;44.0293
29.11.2021;10:04:00-000;44.02;44.02;44;44;303;44.014
29.11.2021;10:05:00-000;44.07;44.07;44.07;44.07;147;44.07
29.11.2021;10:06:00-000;44.15;44.18;44.06;44.06;309;44.1287
29.11.2021;10:08:00-000;44.01;44.01;43.89;43.89;789;43.9722
29.11.2021;10:10:00-000;43.96;43.96;43.96;43.96;110;43.953
29.11.2021;10:14:00-000;43.98;43.98;43.98;43.98;204;43.9718
29.11.2021;10:16:00-000;43.975;43.975;43.975;43.975;136;43.9736
29.11.2021;10:19:00-000;44.04;44.04;44.04;44.04;349;44.047
29.11.2021;10:22:00-000;44.06;44.06;43.92;43.92;794;43.9713
29.11.2021;10:25:00-000;43.93;43.93;43.93;43.93;118;43.9346
29.11.2021;10:26:00-000;43.87;43.87;43.87;43.87;222;43.8882
29.11.2021;10:27:00-000;43.82;43.82;43.82;43.82;204;43.8141
29.11.2021;10:31:00-000;43.67;43.67;43.67;43.67;233;43.6661
29.11.2021;10:35:00-000;43.73;43.73;43.68;43.68;589;43.7194
29.11.2021;10:37:00-000;43.54;43.54;43.54;43.54;1398;43.5245
29.11.2021;10:47:00-000;43.53;43.53;43.525;43.525;677;43.5257
