Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;35.75;35.75;35.75;35.75;10471;35.75
29.11.2021;09:31:00-000;35.83;35.83;35.795;35.81;844;35.8151
29.11.2021;09:32:00-000;35.7;35.7;35.7;35.7;237;35.7043
29.11.2021;09:35:00-000;35.67;35.67;35.63;35.63;1200;35.6517
29.11.2021;09:41:00-000;35.7;35.7;35.7;35.7;160;35.6925
29.11.2021;09:42:00-000;35.7;35.7;35.7;35.7;336;35.7
29.11.2021;09:45:00-000;35.66;35.66;35.66;35.66;500;35.66
29.11.2021;09:49:00-000;35.6366;35.6366;35.6366;35.6366;150;35.6366
29.11.2021;09:51:00-000;35.616;35.616;35.616;35.616;557;35.616
29.11.2021;09:54:00-000;35.69;35.69;35.69;35.69;1664;35.69
29.11.2021;10:03:00-000;35.765;35.765;35.765;35.765;577;35.765
29.11.2021;10:04:00-000;35.8099;35.8099;35.8099;35.8099;1117;35.8099
29.11.2021;10:07:00-000;35.7699;35.7699;35.7699;35.7699;550;35.7699
29.11.2021;10:08:00-000;35.69;35.69;35.69;35.69;100;35.69
29.11.2021;10:19:00-000;35.69;35.69;35.69;35.69;112;35.69
29.11.2021;10:20:00-000;35.69;35.71;35.69;35.71;126044;35.7099
29.11.2021;10:21:00-000;35.6696;35.6696;35.6696;35.6696;358;35.6696
29.11.2021;10:27:00-000;35.665;35.665;35.665;35.665;783;35.665
29.11.2021;10:36:00-000;35.7055;35.7055;35.7055;35.7055;988;35.7055
29.11.2021;10:42:00-000;35.58;35.585;35.56;35.585;1513;35.5803
29.11.2021;10:51:00-000;35.64;35.64;35.64;35.64;129;35.64
29.11.2021;10:53:00-000;35.675;35.675;35.675;35.675;333;35.675
29.11.2021;11:14:00-000;35.8;35.8;35.79;35.79;697;35.7986
29.11.2021;11:25:00-000;35.819;35.819;35.819;35.819;681;35.819
29.11.2021;11:26:00-000;35.82;35.82;35.82;35.82;532;35.82
29.11.2021;11:27:00-000;35.8025;35.8025;35.8025;35.8025;280;35.8025
29.11.2021;11:31:00-000;35.83;35.83;35.83;35.83;100;35.83
29.11.2021;11:34:00-000;35.8098;35.8699;35.8098;35.83;635;35.8235
29.11.2021;11:37:00-000;35.8077;35.8077;35.8077;35.8077;272;35.8077
29.11.2021;11:42:00-000;35.8982;35.8982;35.8982;35.8982;230;35.8982
29.11.2021;11:51:00-000;35.827;35.827;35.827;35.827;124;35.827
29.11.2021;11:55:00-000;35.88;35.88;35.88;35.88;4844;35.88
29.11.2021;12:02:00-000;35.8535;35.8535;35.8535;35.8535;1475;35.8535
29.11.2021;12:04:00-000;35.885;35.885;35.885;35.885;858;35.885
29.11.2021;12:08:00-000;35.9;35.9;35.9;35.9;100;35.9
29.11.2021;12:11:00-000;35.8857;35.8857;35.8857;35.8857;548;35.8857
29.11.2021;12:12:00-000;35.895;35.895;35.895;35.895;100;35.895
29.11.2021;12:13:00-000;35.8703;35.8703;35.87;35.87;272;35.8702
29.11.2021;12:19:00-000;35.91;35.91;35.91;35.91;2700;35.91
29.11.2021;12:23:00-000;35.929;35.929;35.929;35.929;1950;35.929
29.11.2021;12:31:00-000;35.94;35.95;35.94;35.945;2159;35.9442
29.11.2021;12:37:00-000;35.97;35.97;35.97;35.97;134;35.97
29.11.2021;12:43:00-000;35.96;35.97;35.96;35.96;2107;35.9661
29.11.2021;12:46:00-000;35.9625;35.965;35.9625;35.965;400;35.9644
29.11.2021;12:55:00-000;35.9469;35.9469;35.9469;35.9469;256;35.9597
29.11.2021;12:59:00-000;35.99;35.99;35.99;35.99;325;35.99
29.11.2021;13:03:00-000;36.005;36.005;36.005;36.005;350;36.005
29.11.2021;13:14:00-000;35.99;35.99;35.99;35.99;901;35.99
29.11.2021;13:15:00-000;36;36;36;36;327;36.0003
29.11.2021;13:16:00-000;35.97;35.97;35.97;35.97;203;35.9699
29.11.2021;13:17:00-000;35.96;35.96;35.96;35.96;100;35.96
29.11.2021;13:26:00-000;35.95;35.95;35.95;35.95;143;35.953
29.11.2021;13:28:00-000;35.96;35.96;35.96;35.96;308;35.96
29.11.2021;13:32:00-000;35.965;35.965;35.965;35.965;200;35.965
29.11.2021;13:52:00-000;35.955;35.955;35.955;35.955;185;35.955
29.11.2021;14:22:00-000;35.9625;35.9625;35.9625;35.9625;154;35.9625
29.11.2021;14:24:00-000;35.9575;36;35.93;35.93;1224;35.9643
29.11.2021;14:26:00-000;35.918;35.918;35.918;35.918;135;35.918
29.11.2021;14:28:00-000;35.9799;35.9799;35.9799;35.9799;443;35.9799
29.11.2021;14:30:00-000;35.9425;35.945;35.9425;35.945;204;35.9434
29.11.2021;14:38:00-000;35.92;35.92;35.92;35.92;100;35.92
29.11.2021;14:42:00-000;35.95;35.95;35.95;35.95;956;35.95
29.11.2021;14:45:00-000;35.96;35.96;35.955;35.9554;760;35.9576
29.11.2021;14:59:00-000;35.9325;35.9325;35.9325;35.9325;144;35.9325
29.11.2021;15:12:00-000;35.97;35.97;35.97;35.97;13910;35.97
29.11.2021;15:26:00-000;35.935;35.935;35.935;35.935;133;35.935
29.11.2021;15:31:00-000;35.9514;35.9514;35.9514;35.9514;100;35.9514
29.11.2021;15:49:00-000;35.9;35.9;35.86;35.86;260;35.8846
29.11.2021;15:59:00-000;35.85;35.87;35.81;35.81;668;35.8347
29.11.2021;16:10:00-000;35.81;35.81;35.81;35.81;0;0
29.11.2021;18:30:00-000;35.81;35.81;35.81;35.81;0;0
29.11.2021;20:00:00-000;35.81;35.81;35.81;35.81;0;0
