Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:22:00-000;22.3;22.3;22.3;22.3;100;22.3
29.11.2021;09:30:00-000;22.79;22.79;22.79;22.79;574;22.7897
29.11.2021;09:55:00-000;22.41;22.41;22.41;22.41;191;22.4894
29.11.2021;10:00:00-000;22.4001;22.4001;22.4001;22.4001;100;22.4001
29.11.2021;11:26:00-000;22.8504;22.8504;22.8504;22.8504;400;22.8504
29.11.2021;11:42:00-000;22.41;22.41;22.4;22.41;622;22.4064
29.11.2021;11:43:00-000;22.35;22.35;22.35;22.35;122;22.359
29.11.2021;12:01:00-000;22.39;22.39;22.35;22.35;440;22.3809
29.11.2021;12:12:00-000;22.35;22.35;22.35;22.35;100;22.35
29.11.2021;12:13:00-000;22.39;22.39;22.39;22.39;379;22.39
29.11.2021;12:33:00-000;22.37;22.37;22.27;22.27;1785;22.3108
29.11.2021;12:34:00-000;22.27;22.27;22.27;22.27;150;22.27
29.11.2021;12:35:00-000;22.2798;22.2798;22.27;22.27;609;22.2731
29.11.2021;12:39:00-000;22.105;22.105;22.105;22.105;200;22.105
29.11.2021;12:41:00-000;22.0101;22.0101;22.0101;22.0101;425;22.0192
29.11.2021;12:42:00-000;22.0183;22.0219;22.0183;22.0219;625;22.02
29.11.2021;13:38:00-000;22.18;22.18;22.18;22.18;150;22.18
29.11.2021;13:55:00-000;22.17;22.18;22.17;22.18;349;22.1771
29.11.2021;15:36:00-000;22.01;22.01;22.01;22.01;100;22.01
29.11.2021;15:50:00-000;22.1;22.1;22;22;2211;22.0148
29.11.2021;15:51:00-000;21.76;21.77;21.76;21.77;545;21.7641
29.11.2021;15:56:00-000;21.87;21.87;21.87;21.87;339;21.9536
29.11.2021;15:57:00-000;22.14;22.14;22.14;22.14;100;22.14
29.11.2021;15:58:00-000;22.15;22.15;21.87;21.87;454;21.9339
29.11.2021;15:59:00-000;21.85;22.09;21.85;22.09;1613;21.8856
29.11.2021;16:00:00-000;21.82;21.82;21.82;21.82;391;21.82
