Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;34.79;34.79;34.79;34.79;3452;34.7856
29.11.2021;09:34:00-000;34.565;34.565;34.565;34.565;176;34.5547
29.11.2021;09:35:00-000;34.365;34.365;34.365;34.365;100;34.365
29.11.2021;09:36:00-000;34.35;34.35;34.35;34.35;143;34.3506
29.11.2021;09:37:00-000;34.28;34.28;34.28;34.28;511;34.2821
29.11.2021;09:38:00-000;34.34;34.63;34.32;34.62;7650;34.5233
29.11.2021;09:40:00-000;34.55;34.635;34.55;34.635;203;34.5931
29.11.2021;09:43:00-000;34.55;34.58;34.55;34.58;1002;34.577
29.11.2021;09:44:00-000;34.58;34.59;34.42;34.42;2038;34.5731
29.11.2021;09:45:00-000;34.44;34.44;34.44;34.44;109;34.4368
29.11.2021;09:46:00-000;34.45;34.45;34.45;34.45;104;34.4493
29.11.2021;09:47:00-000;34.31;34.31;34.31;34.31;100;34.31
29.11.2021;09:48:00-000;34.325;34.325;34.325;34.325;100;34.325
29.11.2021;09:49:00-000;34.32;34.395;34.32;34.36;409;34.3487
29.11.2021;09:51:00-000;34.27;34.27;34.27;34.27;111;34.271
29.11.2021;09:52:00-000;34.26;34.26;34.17;34.17;971;34.2401
29.11.2021;09:53:00-000;34.28;34.335;34.225;34.335;4162;34.2779
29.11.2021;09:55:00-000;34.27;34.325;34.27;34.325;313;34.2875
29.11.2021;09:56:00-000;34.32;34.32;34.32;34.32;202;34.32
29.11.2021;09:57:00-000;34.24;34.25;34.24;34.25;312;34.2549
29.11.2021;09:58:00-000;34.24;34.24;34.23;34.24;921;34.2369
29.11.2021;09:59:00-000;34.12;34.31;34.12;34.205;1405;34.2512
29.11.2021;10:00:00-000;34.16;34.16;34.145;34.145;1362;34.156
29.11.2021;10:01:00-000;34.18;34.24;34.14;34.23;2596;34.1869
29.11.2021;10:02:00-000;34.27;34.27;34.22;34.255;3225;34.2528
29.11.2021;10:03:00-000;34.24;34.24;34.23;34.24;883;34.2322
29.11.2021;10:04:00-000;34.19;34.23;34.18;34.23;2453;34.2102
29.11.2021;10:05:00-000;34.26;34.26;34.23;34.23;1773;34.2546
29.11.2021;10:07:00-000;34.2;34.235;34.19;34.19;656;34.2015
29.11.2021;10:08:00-000;34.15;34.185;34.105;34.105;1159;34.1479
29.11.2021;10:09:00-000;34.09;34.09;34.09;34.09;4502;34.0908
29.11.2021;10:10:00-000;34.19;34.25;34.16;34.235;1481;34.2119
29.11.2021;10:11:00-000;34.22;34.22;34.22;34.22;806;34.22
29.11.2021;10:12:00-000;34.215;34.215;34.215;34.215;322;34.2153
29.11.2021;10:13:00-000;34.1805;34.1805;34.1805;34.1805;2100;34.1805
29.11.2021;10:14:00-000;34.18;34.215;34.17;34.17;2691;34.1917
29.11.2021;10:15:00-000;34.22;34.23;34.165;34.19;1158;34.2072
29.11.2021;10:16:00-000;34.18;34.18;34.18;34.18;805;34.1661
29.11.2021;10:18:00-000;34.14;34.14;34.14;34.14;569;34.1395
29.11.2021;10:19:00-000;34.18;34.23;34.145;34.23;1342;34.1827
29.11.2021;10:20:00-000;34.265;34.265;34.23;34.23;1266;34.2211
29.11.2021;10:21:00-000;34.215;34.215;34.215;34.215;104;34.2162
29.11.2021;10:23:00-000;34.19;34.19;34.18;34.18;201;34.1851
29.11.2021;10:24:00-000;34.18;34.215;34.18;34.215;236;34.2037
29.11.2021;10:26:00-000;34.18;34.18;34.12;34.17;1792;34.1649
29.11.2021;10:27:00-000;34.11;34.11;34.071;34.095;1219;34.1005
