Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;27.21;27.21;27.21;27.21;334;27.2104
29.11.2021;09:33:00-000;27.21;27.21;27.21;27.21;186;27.21
29.11.2021;09:37:00-000;27.2;27.2;27.1951;27.1951;200;27.1976
29.11.2021;09:38:00-000;27.2;27.2;27.2;27.2;423;27.2
29.11.2021;09:39:00-000;27.19;27.19;27.19;27.19;600;27.19
29.11.2021;09:42:00-000;27.19;27.19;27.19;27.19;301;27.1901
29.11.2021;09:54:00-000;27.16;27.16;27.14;27.14;8300;27.1405
29.11.2021;09:55:00-000;27.14;27.14;27.14;27.14;1000;27.14
29.11.2021;10:30:00-000;27.1;27.101;27.1;27.101;500;27.1002
29.11.2021;10:47:00-000;27.095;27.095;27.095;27.095;100;27.095
29.11.2021;11:29:00-000;27.179;27.179;27.179;27.179;903;27.179
29.11.2021;12:03:00-000;27.19;27.19;27.19;27.19;516;27.1909
29.11.2021;12:23:00-000;27.27;27.27;27.2699;27.2699;400;27.27
29.11.2021;13:03:00-000;27.28;27.28;27.28;27.28;254;27.28
29.11.2021;13:36:00-000;27.298;27.298;27.298;27.298;200;27.298
29.11.2021;14:23:00-000;27.33;27.33;27.33;27.33;200;27.3272
29.11.2021;14:44:00-000;27.325;27.325;27.325;27.325;300;27.325
29.11.2021;14:50:00-000;27.3189;27.3189;27.3189;27.3189;200;27.3189
29.11.2021;14:54:00-000;27.31;27.31;27.31;27.31;150;27.31
29.11.2021;15:42:00-000;27.319;27.319;27.319;27.319;200;27.319
29.11.2021;15:44:00-000;27.3199;27.3199;27.3199;27.3199;200;27.3199
29.11.2021;15:51:00-000;27.309;27.309;27.309;27.309;200;27.309
29.11.2021;15:55:00-000;27.3;27.3;27.3;27.3;550;27.3
29.11.2021;16:10:00-000;27.2914;27.2914;27.2914;27.2914;0;0
29.11.2021;18:30:00-000;27.2914;27.2914;27.2914;27.2914;0;0
29.11.2021;20:00:00-000;27.2914;27.2914;27.2914;27.2914;0;0
