Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;217.68;217.68;217.68;217.68;4134;217.679
29.11.2021;09:31:00-000;217.15;217.195;216.44;216.44;2928;216.953
29.11.2021;09:32:00-000;216.44;216.44;216.44;216.44;304;216.48
29.11.2021;09:33:00-000;216.685;216.685;215.49;215.49;1551;215.911
29.11.2021;09:34:00-000;215.725;215.725;215.13;215.15;2077;215.184
29.11.2021;09:35:00-000;215.05;215.4;214.65;215;10988;215.085
29.11.2021;09:36:00-000;215.22;215.22;214.95;214.95;313;215.024
29.11.2021;09:37:00-000;214.65;214.65;214.08;214.08;2695;214.454
29.11.2021;09:38:00-000;214.08;214.175;213.74;214.175;2888;214.041
29.11.2021;09:39:00-000;214;214.07;213.97;214;1270;214.013
29.11.2021;09:40:00-000;213.97;213.97;213.48;213.48;3417;213.776
29.11.2021;09:41:00-000;213.45;213.45;213.42;213.44;622;213.437
29.11.2021;09:42:00-000;213.42;213.42;213.33;213.35;2142;213.367
29.11.2021;09:43:00-000;213.1;213.57;213.1;213.57;2584;213.442
29.11.2021;09:44:00-000;213.695;213.695;213.695;213.695;150;213.65
29.11.2021;09:46:00-000;213.38;213.39;213.36;213.36;1110;213.405
29.11.2021;09:47:00-000;213.73;213.96;213.692;213.75;2596;213.792
29.11.2021;09:49:00-000;214.465;214.465;214.19;214.19;1142;214.239
29.11.2021;09:50:00-000;214.19;214.455;214.17;214.17;3321;214.214
29.11.2021;09:51:00-000;214.17;214.31;214.16;214.16;1934;214.196
29.11.2021;09:52:00-000;214.15;214.44;213.865;213.865;6281;214.254
29.11.2021;09:53:00-000;213.62;213.905;213.62;213.905;1996;213.811
29.11.2021;09:54:00-000;213.905;214.4;213.905;214.33;1352;214.189
29.11.2021;09:55:00-000;214.48;214.48;214.48;214.48;120;214.486
29.11.2021;09:56:00-000;214.26;214.7;214.26;214.43;2147;214.551
29.11.2021;09:57:00-000;214.17;214.29;214.03;214.03;3672;214.102
29.11.2021;09:58:00-000;214.02;214.17;214.01;214.065;1398;214.048
29.11.2021;09:59:00-000;213.9;214.75;213.9;214.535;2194;214.36
29.11.2021;10:00:00-000;214.86;214.86;214.25;214.27;2569;214.385
