Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;16.45;16.74;16.33;16.74;1776;16.5138
29.11.2021;09:32:00-000;16.59;16.74;16.37;16.4;2090;16.5208
29.11.2021;09:33:00-000;16.36;16.77;16.16;16.72;2634;16.3127
29.11.2021;09:34:00-000;16.16;16.2;16.16;16.2;449;16.169
29.11.2021;09:35:00-000;16.18;16.54;15.9;16.06;5392;16.0619
29.11.2021;09:37:00-000;16.255;16.26;16.1;16.18;1275;16.2119
29.11.2021;09:38:00-000;16.18;16.255;16.16;16.18;513;16.1883
29.11.2021;09:39:00-000;16.22;16.51;16.17;16.17;939;16.2318
29.11.2021;09:40:00-000;16.2507;16.265;16.01;16.03;1364;16.154
29.11.2021;09:42:00-000;16.03;16.03;16.03;16.03;140;16.0301
29.11.2021;09:43:00-000;16.28;16.28;16.28;16.28;202;16.2589
29.11.2021;09:44:00-000;16.27;16.27;16.03;16.03;302;16.1865
29.11.2021;09:47:00-000;16.0976;16.1;16.09;16.1;1204;16.0973
29.11.2021;09:48:00-000;16.16;16.17;16.15;16.17;2325;16.1547
29.11.2021;09:49:00-000;16.16;16.16;16.16;16.16;404;16.1607
29.11.2021;09:50:00-000;16.03;16.03;16.03;16.03;103;16.0354
29.11.2021;09:53:00-000;16.24;16.25;16.24;16.25;1018;16.2474
29.11.2021;09:54:00-000;16.23;16.23;16.23;16.23;102;16.2313
29.11.2021;09:55:00-000;16.22;16.34;16.22;16.31;5094;16.3273
29.11.2021;09:58:00-000;16.405;16.405;16.29;16.29;519;16.3173
29.11.2021;10:01:00-000;16.23;16.23;16.23;16.23;102;16.23
29.11.2021;10:02:00-000;16.14;16.215;16.14;16.215;200;16.1775
29.11.2021;10:03:00-000;16.14;16.18;16.03;16.03;1780;16.1377
29.11.2021;10:04:00-000;16.1;16.22;16.1;16.18;2439;16.1629
29.11.2021;10:05:00-000;16.18;16.24;16.18;16.24;479;16.219
29.11.2021;10:06:00-000;16.29;16.29;16.29;16.29;250;16.2879
29.11.2021;10:08:00-000;16.295;16.295;16.2;16.25;306;16.2467
29.11.2021;10:11:00-000;16.1;16.1;16.1;16.1;376;16.1964
29.11.2021;10:13:00-000;16.17;16.21;16.17;16.21;2375;16.1868
29.11.2021;10:14:00-000;16.24;16.24;16.2175;16.22;930;16.2307
29.11.2021;10:15:00-000;16.23;16.23;16.23;16.23;102;16.2303
29.11.2021;10:16:00-000;16.24;16.24;16.24;16.24;363;16.247
29.11.2021;10:21:00-000;16.25;16.32;16.25;16.32;204;16.2851
29.11.2021;10:23:00-000;16.3;16.3;16.3;16.3;578;16.2493
29.11.2021;10:26:00-000;16.22;16.22;16.16;16.16;440;16.1768
29.11.2021;10:27:00-000;16.11;16.16;16.11;16.13;873;16.1022
29.11.2021;10:28:00-000;16.04;16.04;16.03;16.03;412;16.0305
29.11.2021;10:29:00-000;15.98;16.06;15.98;16.06;2040;16.0085
29.11.2021;10:30:00-000;16.04;16.04;16.04;16.04;215;16.0414
29.11.2021;10:34:00-000;15.95;15.95;15.95;15.95;1114;15.9472
29.11.2021;10:43:00-000;15.91;15.91;15.91;15.91;311;15.9008
29.11.2021;10:49:00-000;15.91;15.91;15.87;15.87;232;15.8865
29.11.2021;10:50:00-000;15.87;15.87;15.87;15.87;100;15.87
29.11.2021;10:51:00-000;15.82;15.82;15.82;15.82;148;15.82
29.11.2021;10:52:00-000;15.85;15.85;15.85;15.85;512;15.838
29.11.2021;10:54:00-000;15.8369;15.8369;15.8369;15.8369;101;15.837
29.11.2021;10:56:00-000;15.88;15.88;15.87;15.87;583;15.8734
29.11.2021;10:58:00-000;15.86;15.89;15.86;15.86;719;15.8642
29.11.2021;11:01:00-000;15.89;15.89;15.835;15.835;340;15.8701
29.11.2021;11:04:00-000;15.88;15.88;15.83;15.83;482;15.8546
29.11.2021;11:08:00-000;15.86;15.9;15.86;15.9;654;15.8778
29.11.2021;11:11:00-000;15.92;15.92;15.92;15.92;347;15.9333
29.11.2021;11:21:00-000;15.98;15.98;15.98;15.98;102;15.9809
29.11.2021;11:22:00-000;16.045;16.045;16.02;16.02;463;16.0444
29.11.2021;11:23:00-000;16.04;16.04;16.04;16.04;103;16.0396
29.11.2021;11:25:00-000;15.99;15.99;15.98;15.98;901;15.9789
29.11.2021;11:36:00-000;15.91;15.91;15.91;15.91;141;15.9113
29.11.2021;11:39:00-000;15.9;15.9;15.9;15.9;602;15.9012
29.11.2021;11:49:00-000;15.89;15.89;15.89;15.89;118;15.8923
29.11.2021;11:55:00-000;15.855;15.855;15.855;15.855;106;15.8551
29.11.2021;11:59:00-000;15.845;15.845;15.845;15.845;102;15.8452
29.11.2021;12:01:00-000;15.855;15.91;15.855;15.91;508;15.881
29.11.2021;12:06:00-000;15.9;15.9;15.88;15.88;254;15.8922
29.11.2021;12:07:00-000;15.88;15.88;15.87;15.87;610;15.8772
29.11.2021;12:15:00-000;15.92;15.92;15.91;15.91;397;15.9192
29.11.2021;12:16:00-000;15.91;15.91;15.91;15.91;624;15.9102
29.11.2021;12:17:00-000;15.91;15.91;15.91;15.91;100;15.91
29.11.2021;12:22:00-000;15.93;15.93;15.93;15.93;968;15.9296
29.11.2021;12:27:00-000;15.94;15.94;15.83;15.89;4091;15.8512
29.11.2021;12:28:00-000;15.94;15.94;15.94;15.94;102;15.9404
29.11.2021;12:30:00-000;15.93;15.93;15.93;15.93;267;15.9278
29.11.2021;12:34:00-000;15.98;15.98;15.96;15.96;383;15.9592
29.11.2021;12:35:00-000;15.92;15.92;15.92;15.92;377;15.9213
29.11.2021;12:43:00-000;15.91;15.91;15.91;15.91;180;15.8992
29.11.2021;12:47:00-000;15.91;15.91;15.91;15.91;206;15.8942
29.11.2021;12:53:00-000;15.96;15.96;15.96;15.96;213;15.9538
29.11.2021;13:01:00-000;15.98;16;15.98;16;1267;15.9965
29.11.2021;13:05:00-000;15.99;16.015;15.99;16;806;15.9942
29.11.2021;13:09:00-000;16;16;16;16;210;16
29.11.2021;13:12:00-000;15.97;15.97;15.97;15.97;114;15.9696
29.11.2021;13:13:00-000;15.96;15.96;15.96;15.96;101;15.9604
29.11.2021;13:15:00-000;15.92;15.92;15.9;15.9;388;15.9008
29.11.2021;13:16:00-000;15.935;15.935;15.89;15.89;820;15.8957
29.11.2021;13:17:00-000;15.89;15.89;15.89;15.89;256;15.8982
29.11.2021;13:18:00-000;15.91;15.91;15.89;15.9;1514;15.9061
29.11.2021;13:22:00-000;15.9742;15.9742;15.9276;15.96;556;15.9612
29.11.2021;13:23:00-000;15.92;15.92;15.92;15.92;241;15.9153
29.11.2021;13:25:00-000;15.9265;15.9265;15.9265;15.9265;152;15.926
29.11.2021;13:28:00-000;15.94;15.94;15.93;15.93;488;15.9359
29.11.2021;13:30:00-000;15.92;15.93;15.92;15.93;520;15.9176
29.11.2021;13:38:00-000;15.92;15.94;15.92;15.94;576;15.9317
29.11.2021;13:45:00-000;15.91;15.91;15.91;15.91;238;15.9251
29.11.2021;13:46:00-000;15.92;15.97;15.92;15.97;321;15.9476
29.11.2021;13:47:00-000;15.935;15.94;15.935;15.94;304;15.9417
29.11.2021;13:49:00-000;15.9496;15.9496;15.9496;15.9496;1003;15.9496
29.11.2021;13:55:00-000;15.96;15.96;15.96;15.96;234;15.9601
29.11.2021;13:56:00-000;15.97;15.97;15.93;15.93;653;15.9469
29.11.2021;14:00:00-000;15.92;15.92;15.91;15.91;1008;15.9149
29.11.2021;14:02:00-000;15.84;15.84;15.84;15.84;100;15.84
29.11.2021;14:05:00-000;15.9;15.92;15.9;15.92;424;15.9095
29.11.2021;14:16:00-000;15.89;15.89;15.87;15.87;1273;15.8724
29.11.2021;14:17:00-000;15.87;15.87;15.87;15.87;153;15.8721
29.11.2021;14:18:00-000;15.84;15.84;15.7994;15.8;4100;15.8049
29.11.2021;14:19:00-000;15.8;15.83;15.8;15.8;747;15.808
29.11.2021;14:20:00-000;15.8;15.8;15.8;15.8;656;15.7993
29.11.2021;14:21:00-000;15.81;16.13;15.81;16.09;13752;15.9759
29.11.2021;14:22:00-000;16.13;16.19;16.13;16.14;1130;16.1502
29.11.2021;14:23:00-000;16.13;16.18;16.13;16.135;4214;16.1549
29.11.2021;14:24:00-000;16.06;16.06;16.06;16.06;136;16.0794
29.11.2021;14:25:00-000;16.145;16.155;16.115;16.115;353;16.1402
29.11.2021;14:26:00-000;16.14;16.14;16.08;16.08;966;16.1002
29.11.2021;14:27:00-000;16.08;16.08;16.06;16.07;570;16.0712
29.11.2021;14:29:00-000;16.07;16.07;16.05;16.05;423;16.0653
29.11.2021;14:30:00-000;16.0596;16.0596;16;16;407;16.0173
29.11.2021;14:31:00-000;16.03;16.03;16.03;16.03;176;16.0304
29.11.2021;14:33:00-000;16;16;16;16;477;16
29.11.2021;14:34:00-000;15.95;15.95;15.95;15.95;11906;15.95
29.11.2021;14:35:00-000;15.95;15.96;15.89;15.92;3892;15.9366
29.11.2021;14:36:00-000;15.92;15.92;15.92;15.92;600;15.92
29.11.2021;14:37:00-000;15.92;15.98;15.91;15.97;1453;15.9431
29.11.2021;14:38:00-000;15.97;15.97;15.97;15.97;380;15.9562
29.11.2021;14:40:00-000;15.905;15.905;15.905;15.905;137;15.9231
29.11.2021;14:42:00-000;15.93;15.93;15.93;15.93;136;15.9378
29.11.2021;14:44:00-000;15.98;15.98;15.98;15.98;222;15.9746
29.11.2021;14:45:00-000;16;16;15.98;15.99;1448;15.9972
29.11.2021;14:46:00-000;15.99;15.99;15.96;15.96;429;15.9446
29.11.2021;14:48:00-000;15.94;15.95;15.94;15.95;777;15.946
29.11.2021;14:49:00-000;15.95;15.95;15.89;15.89;301;15.9301
29.11.2021;14:56:00-000;15.88;15.88;15.88;15.88;107;15.8856
29.11.2021;14:58:00-000;15.97;15.97;15.97;15.97;112;15.9685
