Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;20.34;20.34;20.34;20.34;1265;20.3424
29.11.2021;09:31:00-000;20.36;20.74;20.35;20.74;1367;20.3862
29.11.2021;09:32:00-000;20.66;20.66;20.4;20.4;2066;20.553
29.11.2021;09:33:00-000;20.34;20.34;20.34;20.34;218;20.4069
29.11.2021;09:34:00-000;20.27;20.27;20.27;20.27;206;20.27
29.11.2021;09:35:00-000;20.24;20.25;20.2;20.2;415;20.2278
29.11.2021;09:36:00-000;20.11;20.11;20.1;20.1;309;20.1057
29.11.2021;09:37:00-000;20.03;20.12;20;20.095;3670;20.0094
29.11.2021;09:38:00-000;20;20;19.83;19.98;1164;19.9518
29.11.2021;09:39:00-000;19.8;19.8;19.8;19.8;250;19.7664
29.11.2021;09:41:00-000;19.805;19.805;19.805;19.805;100;19.805
29.11.2021;09:42:00-000;19.92;20.18;19.92;20.02;2837;20.0604
29.11.2021;09:43:00-000;20.13;20.21;20.13;20.2;717;20.167
29.11.2021;09:44:00-000;20.25;20.34;20.12;20.21;2227;20.2558
29.11.2021;09:45:00-000;20.26;20.26;20.26;20.26;215;20.2605
29.11.2021;09:46:00-000;20.3;20.3;20.25;20.25;708;20.2522
29.11.2021;09:47:00-000;20.21;20.21;20.16;20.185;595;20.1785
29.11.2021;09:48:00-000;20.18;20.18;20.04;20.04;5798;20.1025
29.11.2021;09:49:00-000;20.09;20.09;19.9506;20.02;1641;19.9966
29.11.2021;09:50:00-000;19.965;19.965;19.93;19.95;1072;19.9509
29.11.2021;09:51:00-000;19.9;19.9;19.9;19.9;400;19.9
29.11.2021;09:53:00-000;19.905;19.9195;19.9;19.9195;1508;19.9084
29.11.2021;09:54:00-000;20;20;19.99;19.99;1747;19.9963
29.11.2021;09:55:00-000;19.99;19.99;19.99;19.99;337;19.9939
29.11.2021;09:58:00-000;20.02;20.16;20.02;20.16;1027;20.1078
29.11.2021;09:59:00-000;20.165;20.1698;20.165;20.1698;508;20.1672
29.11.2021;10:00:00-000;20.14;20.21;20.14;20.21;666;20.1921
29.11.2021;10:01:00-000;20.22;20.22;20.22;20.22;110;20.2275
29.11.2021;10:02:00-000;20.26;20.29;20.26;20.29;610;20.2683
29.11.2021;10:03:00-000;20.245;20.48;20.2201;20.48;1472;20.2867
29.11.2021;10:04:00-000;20.39;20.39;20.16;20.16;2175;20.3243
29.11.2021;10:06:00-000;20.08;20.2;20.08;20.19;753;20.1792
29.11.2021;10:07:00-000;20.205;20.2098;20.205;20.2098;334;20.2189
29.11.2021;10:08:00-000;20.23;20.23;20.23;20.23;718;20.2085
29.11.2021;10:09:00-000;20.25;20.25;20.25;20.25;137;20.2623
29.11.2021;10:10:00-000;20.24;20.25;20.2;20.2;335;20.2262
29.11.2021;10:11:00-000;20.155;20.155;20.13;20.155;304;20.1473
29.11.2021;10:12:00-000;20.12;20.12;20.09;20.1;663;20.1001
29.11.2021;10:13:00-000;20.12;20.185;20.12;20.185;918;20.1547
29.11.2021;10:14:00-000;20.07;20.07;20.07;20.07;161;20.0698
29.11.2021;10:15:00-000;20.11;20.115;20.09;20.115;536;20.1006
29.11.2021;10:16:00-000;20.05;20.05;20.02;20.02;334;20.03
29.11.2021;10:17:00-000;19.9606;20;19.9606;19.9901;3703;19.9848
29.11.2021;10:18:00-000;19.97;20.005;19.97;20.005;770;19.9909
29.11.2021;10:19:00-000;19.985;19.9995;19.985;19.9994;1174;19.9989
29.11.2021;10:21:00-000;20.02;20.04;19.9902;20.04;1168;20.023
29.11.2021;10:22:00-000;20.025;20.1;20.025;20.1;543;20.0797
29.11.2021;10:24:00-000;20.17;20.17;20.17;20.17;113;20.1662
29.11.2021;10:26:00-000;20.18;20.18;20.09;20.09;1196;20.1168
29.11.2021;10:27:00-000;20.07;20.08;19.9901;20;2462;20.0056
29.11.2021;10:28:00-000;20;20;19.96;20;1208;19.9897
29.11.2021;10:29:00-000;19.97;19.97;19.935;19.935;401;19.95
29.11.2021;10:30:00-000;19.965;20.0094;19.965;19.99;1372;19.9957
29.11.2021;10:32:00-000;19.99;19.99;19.99;19.99;104;19.9881
29.11.2021;10:33:00-000;20;20;20;20;255;19.9961
29.11.2021;10:34:00-000;19.94;19.99;19.94;19.99;1076;19.9845
29.11.2021;10:36:00-000;20;20.05;20;20;2625;20.0262
29.11.2021;10:37:00-000;20.01;20.01;20.01;20.01;305;20.0098
29.11.2021;10:38:00-000;19.98;20;19.98;20;603;19.9931
29.11.2021;10:39:00-000;20;20;20;20;200;20
29.11.2021;10:40:00-000;19.99;20;19.96;20;7555;19.9829
29.11.2021;10:42:00-000;19.98;19.995;19.98;19.995;1205;19.9898
29.11.2021;10:46:00-000;19.97;20.06;19.97;20.06;2503;20.0108
29.11.2021;10:47:00-000;20.072;20.16;20.072;20.16;350;20.0971
29.11.2021;10:49:00-000;20.15;20.15;20.15;20.15;101;20.1488
29.11.2021;10:50:00-000;20.15;20.15;20.01;20.04;2424;20.0687
29.11.2021;10:51:00-000;20.015;20.015;20.015;20.015;305;20.0156
29.11.2021;10:52:00-000;20.01;20.01;20.01;20.01;303;20.01
29.11.2021;10:53:00-000;20;20;20;20;112;20.0043
29.11.2021;10:54:00-000;19.98;20.05;19.98;20.03;3913;20.0007
29.11.2021;10:55:00-000;20.08;20.115;20.08;20.115;300;20.0917
29.11.2021;11:01:00-000;20.08;20.08;20.08;20.08;204;20.0787
29.11.2021;11:02:00-000;20.085;20.085;20.085;20.085;269;20.049
29.11.2021;11:03:00-000;20.03;20.07;20.01;20.07;846;20.0252
29.11.2021;11:04:00-000;20.01;20.01;20;20;618;19.9993
29.11.2021;11:05:00-000;19.98;19.98;19.98;19.98;118;19.9793
29.11.2021;11:06:00-000;19.98;19.98;19.98;19.98;206;19.9826
29.11.2021;11:07:00-000;19.98;20;19.95;19.96;1029;19.9714
29.11.2021;11:08:00-000;19.96;19.96;19.96;19.96;321;19.9605
29.11.2021;11:09:00-000;19.96;19.96;19.96;19.96;206;19.9612
29.11.2021;11:10:00-000;19.96;20.03;19.95;20.03;3718;19.998
29.11.2021;11:11:00-000;20.01;20.01;20.01;20.01;108;20.0181
29.11.2021;11:13:00-000;20.08;20.08;20.08;20.08;115;20.0857
29.11.2021;11:14:00-000;20.08;20.08;20.08;20.08;105;20.0829
29.11.2021;11:17:00-000;20.095;20.095;20.02;20.03;1559;20.0417
29.11.2021;11:18:00-000;20;20.015;20;20;1071;20.0026
29.11.2021;11:19:00-000;19.99;19.99;19.99;19.99;219;19.9879
29.11.2021;11:20:00-000;19.955;19.955;19.955;19.955;205;19.9551
29.11.2021;11:21:00-000;19.9154;19.965;19.9154;19.96;1503;19.9274
29.11.2021;11:22:00-000;19.975;19.975;19.975;19.975;411;19.9751
29.11.2021;11:23:00-000;19.96;19.96;19.96;19.96;414;19.9613
29.11.2021;11:24:00-000;19.96;19.96;19.96;19.96;604;19.9601
29.11.2021;11:25:00-000;19.96;19.9694;19.95;19.95;763;19.9582
29.11.2021;11:28:00-000;19.96;19.96;19.96;19.96;202;19.9602
29.11.2021;11:29:00-000;19.965;19.965;19.93;19.95;1429;19.9479
29.11.2021;11:30:00-000;19.95;20.03;19.94;20.03;2352;19.964
29.11.2021;11:31:00-000;20;20;19.95;19.95;1505;19.9764
29.11.2021;11:33:00-000;19.955;20;19.955;20;346;19.9854
29.11.2021;11:34:00-000;19.955;19.955;19.955;19.955;102;19.9559
29.11.2021;11:36:00-000;19.95;19.95;19.95;19.95;102;19.9506
