Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;1.85;1.85;1.85;1.85;200;1.85
29.11.2021;04:15:00-000;1.8;1.8;1.79;1.79;9800;1.7901
29.11.2021;04:19:00-000;1.82;1.82;1.82;1.82;3030;1.82
29.11.2021;04:31:00-000;1.81;1.81;1.81;1.81;100;1.81
29.11.2021;04:32:00-000;1.82;1.82;1.82;1.82;2780;1.8201
29.11.2021;04:33:00-000;1.83;1.83;1.81;1.82;5113;1.8144
29.11.2021;04:34:00-000;1.82;1.82;1.81;1.81;5000;1.8108
29.11.2021;04:36:00-000;1.82;1.82;1.78;1.81;20200;1.8036
29.11.2021;04:47:00-000;1.82;1.82;1.82;1.82;100;1.82
29.11.2021;04:56:00-000;1.84;1.84;1.84;1.84;100;1.84
29.11.2021;04:57:00-000;1.84;1.84;1.84;1.84;150;1.84
29.11.2021;05:02:00-000;1.82;1.82;1.82;1.82;100;1.82
29.11.2021;05:10:00-000;1.82;1.82;1.82;1.82;144;1.8169
29.11.2021;05:21:00-000;1.81;1.82;1.81;1.81;1000;1.811
29.11.2021;05:25:00-000;1.81;1.81;1.81;1.81;460;1.8107
29.11.2021;05:33:00-000;1.81;1.81;1.81;1.81;1000;1.81
29.11.2021;05:35:00-000;1.81;1.81;1.81;1.81;500;1.81
29.11.2021;05:48:00-000;1.81;1.81;1.81;1.81;300;1.81
29.11.2021;06:25:00-000;1.82;1.82;1.82;1.82;142;1.82
29.11.2021;06:31:00-000;1.82;1.82;1.82;1.82;312;1.82
29.11.2021;06:43:00-000;1.82;1.82;1.82;1.82;252;1.8175
29.11.2021;06:46:00-000;1.81;1.81;1.81;1.81;350;1.81
29.11.2021;06:56:00-000;1.83;1.83;1.83;1.83;300;1.83
29.11.2021;07:00:00-000;1.8;1.83;1.79;1.83;25245;1.8001
29.11.2021;07:01:00-000;1.82;1.82;1.82;1.82;103;1.82
29.11.2021;07:02:00-000;1.81;1.82;1.81;1.82;447;1.8145
29.11.2021;07:07:00-000;1.82;1.82;1.82;1.82;1000;1.82
29.11.2021;07:08:00-000;1.82;1.82;1.82;1.82;900;1.82
29.11.2021;07:09:00-000;1.82;1.83;1.82;1.83;10810;1.8203
29.11.2021;07:10:00-000;1.83;1.83;1.83;1.83;926;1.83
29.11.2021;07:13:00-000;1.83;1.83;1.83;1.83;198;1.83
29.11.2021;07:14:00-000;1.84;1.84;1.84;1.84;400;1.84
29.11.2021;07:17:00-000;1.84;1.84;1.84;1.84;200;1.84
29.11.2021;07:19:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;07:29:00-000;1.84;1.84;1.83;1.83;7007;1.8395
29.11.2021;07:30:00-000;1.84;1.84;1.84;1.84;1718;1.84
29.11.2021;07:33:00-000;1.84;1.84;1.84;1.84;950;1.84
29.11.2021;07:39:00-000;1.84;1.84;1.84;1.84;100;1.84
29.11.2021;07:42:00-000;1.84;1.84;1.84;1.84;100;1.84
29.11.2021;07:43:00-000;1.84;1.84;1.84;1.84;1700;1.84
29.11.2021;07:47:00-000;1.83;1.83;1.83;1.83;12900;1.83
29.11.2021;07:49:00-000;1.84;1.84;1.84;1.84;666;1.84
29.11.2021;08:00:00-000;1.8301;1.8401;1.82;1.84;28149;1.8302
29.11.2021;08:06:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;08:07:00-000;1.84;1.84;1.84;1.84;200;1.84
29.11.2021;08:11:00-000;1.83;1.83;1.83;1.83;1000;1.83
29.11.2021;08:20:00-000;1.83;1.83;1.83;1.83;2001;1.83
29.11.2021;08:21:00-000;1.83;1.83;1.83;1.83;426;1.83
29.11.2021;08:27:00-000;1.83;1.83;1.83;1.83;3400;1.83
29.11.2021;08:33:00-000;1.83;1.83;1.83;1.83;201;1.83
29.11.2021;08:34:00-000;1.835;1.835;1.835;1.835;200;1.835
29.11.2021;08:36:00-000;1.835;1.835;1.835;1.835;1100;1.835
29.11.2021;08:40:00-000;1.84;1.84;1.84;1.84;1034;1.84
29.11.2021;08:44:00-000;1.83;1.83;1.83;1.83;1000;1.83
29.11.2021;08:45:00-000;1.83;1.83;1.83;1.83;7433;1.83
29.11.2021;08:47:00-000;1.83;1.83;1.83;1.83;28860;1.83
29.11.2021;08:48:00-000;1.83;1.83;1.83;1.83;15300;1.83
29.11.2021;08:49:00-000;1.83;1.83;1.83;1.83;205;1.83
29.11.2021;08:50:00-000;1.83;1.83;1.83;1.83;3038;1.8299
29.11.2021;08:53:00-000;1.83;1.83;1.82;1.82;16700;1.8212
29.11.2021;08:54:00-000;1.82;1.82;1.82;1.82;100600;1.82
29.11.2021;08:55:00-000;1.82;1.82;1.82;1.82;3499;1.82
29.11.2021;08:57:00-000;1.82;1.82;1.82;1.82;300;1.82
29.11.2021;08:58:00-000;1.83;1.83;1.83;1.83;105;1.83
29.11.2021;09:00:00-000;1.82;1.82;1.82;1.82;1205;1.82
29.11.2021;09:01:00-000;1.82;1.82;1.82;1.82;1028;1.82
29.11.2021;09:02:00-000;1.82;1.82;1.82;1.82;5000;1.82
29.11.2021;09:03:00-000;1.82;1.82;1.82;1.82;264;1.82
29.11.2021;09:04:00-000;1.825;1.825;1.82;1.82;9142;1.8236
29.11.2021;09:05:00-000;1.82;1.82;1.82;1.82;4000;1.82
29.11.2021;09:07:00-000;1.82;1.82;1.82;1.82;5050;1.82
29.11.2021;09:09:00-000;1.82;1.82;1.82;1.82;1000;1.82
29.11.2021;09:10:00-000;1.82;1.82;1.82;1.82;1200;1.82
29.11.2021;09:11:00-000;1.82;1.82;1.82;1.82;220;1.82
29.11.2021;09:12:00-000;1.82;1.82;1.82;1.82;4218;1.82
29.11.2021;09:13:00-000;1.82;1.82;1.82;1.82;600;1.82
29.11.2021;09:14:00-000;1.82;1.82;1.82;1.82;100;1.82
29.11.2021;09:15:00-000;1.825;1.83;1.825;1.83;50000;1.8256
29.11.2021;09:18:00-000;1.82;1.82;1.82;1.82;2063;1.82
29.11.2021;09:19:00-000;1.83;1.83;1.8;1.8;36990;1.8126
29.11.2021;09:20:00-000;1.79;1.79;1.79;1.79;12288;1.79
29.11.2021;09:21:00-000;1.79;1.79;1.78;1.78;26577;1.7894
29.11.2021;09:22:00-000;1.775;1.775;1.775;1.775;25000;1.775
29.11.2021;09:23:00-000;1.78;1.79;1.78;1.79;1785;1.7845
29.11.2021;09:24:00-000;1.78;1.78;1.78;1.78;1801;1.78
29.11.2021;09:25:00-000;1.79;1.79;1.79;1.79;200;1.79
29.11.2021;09:26:00-000;1.78;1.78;1.78;1.78;100;1.78
29.11.2021;09:27:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;09:29:00-000;1.79;1.79;1.78;1.78;9300;1.7871
29.11.2021;09:30:00-000;1.78;1.785;1.76;1.77;98546;1.7768
29.11.2021;09:31:00-000;1.7696;1.789;1.7696;1.786;41055;1.7761
29.11.2021;09:32:00-000;1.78;1.79;1.78;1.79;8332;1.783
29.11.2021;09:33:00-000;1.8;1.8069;1.7945;1.8069;47275;1.8007
29.11.2021;09:34:00-000;1.81;1.82;1.8085;1.81;67146;1.8125
29.11.2021;09:35:00-000;1.81;1.82;1.8079;1.81;36799;1.8118
29.11.2021;09:36:00-000;1.815;1.82;1.81;1.8101;17200;1.8151
29.11.2021;09:37:00-000;1.8171;1.82;1.8132;1.8168;1276;1.8164
29.11.2021;09:38:00-000;1.81;1.82;1.8021;1.81;29078;1.8075
29.11.2021;09:39:00-000;1.81;1.81;1.7991;1.8;81066;1.8001
29.11.2021;09:40:00-000;1.8;1.81;1.8;1.81;55430;1.8067
29.11.2021;09:41:00-000;1.81;1.81;1.805;1.81;9239;1.8073
29.11.2021;09:42:00-000;1.8097;1.81;1.8;1.8062;151638;1.8009
29.11.2021;09:43:00-000;1.8;1.81;1.8;1.81;9583;1.8057
29.11.2021;09:44:00-000;1.81;1.8131;1.8098;1.8131;48757;1.81
29.11.2021;09:45:00-000;1.81;1.8299;1.81;1.82;40055;1.8204
29.11.2021;09:46:00-000;1.83;1.83;1.8282;1.83;22426;1.8295
29.11.2021;09:47:00-000;1.82;1.8201;1.82;1.82;2800;1.82
29.11.2021;09:48:00-000;1.82;1.82;1.81;1.82;31780;1.8134
29.11.2021;09:49:00-000;1.8199;1.82;1.8151;1.82;25755;1.8191
29.11.2021;09:50:00-000;1.8299;1.8299;1.81;1.81;63978;1.8188
29.11.2021;09:51:00-000;1.81;1.81;1.805;1.81;53171;1.8099
29.11.2021;09:52:00-000;1.81;1.81;1.8001;1.8001;8654;1.8041
29.11.2021;09:53:00-000;1.8099;1.81;1.8023;1.8098;7561;1.8047
29.11.2021;09:54:00-000;1.808;1.8099;1.8;1.8;24900;1.8022
29.11.2021;09:55:00-000;1.8001;1.8082;1.79;1.79;36055;1.802
29.11.2021;09:56:00-000;1.795;1.795;1.79;1.79;21401;1.7907
29.11.2021;09:57:00-000;1.79;1.79;1.79;1.79;5205;1.79
29.11.2021;09:58:00-000;1.7878;1.7899;1.78;1.78;6608;1.7871
29.11.2021;09:59:00-000;1.79;1.795;1.785;1.79;144624;1.7898
29.11.2021;10:00:00-000;1.785;1.79;1.785;1.79;7306;1.7898
29.11.2021;10:01:00-000;1.7899;1.79;1.7818;1.79;33201;1.7837
29.11.2021;10:02:00-000;1.7899;1.7946;1.7801;1.7837;31239;1.7879
29.11.2021;10:03:00-000;1.7893;1.79;1.7893;1.79;21366;1.7898
29.11.2021;10:04:00-000;1.7972;1.7972;1.79;1.7901;2783;1.7952
29.11.2021;10:05:00-000;1.8;1.8;1.7801;1.7801;52489;1.7924
29.11.2021;10:06:00-000;1.79;1.8;1.7899;1.8;12312;1.7901
29.11.2021;10:07:00-000;1.7953;1.8;1.7901;1.7936;100393;1.7982
29.11.2021;10:08:00-000;1.8;1.8;1.7952;1.7999;30068;1.7988
29.11.2021;10:09:00-000;1.8;1.8;1.7984;1.7984;6000;1.7992
29.11.2021;10:10:00-000;1.79;1.795;1.79;1.79;55915;1.7901
29.11.2021;10:11:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;10:12:00-000;1.785;1.789;1.785;1.785;926;1.7861
29.11.2021;10:13:00-000;1.7898;1.79;1.785;1.7899;32344;1.7898
29.11.2021;10:14:00-000;1.781;1.8;1.781;1.7914;49555;1.7907
29.11.2021;10:15:00-000;1.79;1.7966;1.785;1.79;169364;1.7899
29.11.2021;10:16:00-000;1.7958;1.7958;1.7958;1.7958;200;1.7958
29.11.2021;10:17:00-000;1.7981;1.7981;1.79;1.79;50998;1.7916
29.11.2021;10:18:00-000;1.7901;1.7999;1.79;1.79;1745;1.7957
29.11.2021;10:19:00-000;1.795;1.795;1.795;1.795;502;1.795
29.11.2021;10:20:00-000;1.79;1.8;1.79;1.8;2170;1.7908
29.11.2021;10:21:00-000;1.79;1.79;1.79;1.79;4051;1.7901
29.11.2021;10:22:00-000;1.7999;1.7999;1.7999;1.7999;4050;1.7998
29.11.2021;10:24:00-000;1.79;1.8;1.79;1.8;50421;1.799
29.11.2021;10:25:00-000;1.7999;1.8;1.7994;1.8;11200;1.7999
29.11.2021;10:26:00-000;1.8;1.8099;1.7999;1.8099;12249;1.8002
29.11.2021;10:27:00-000;1.805;1.81;1.805;1.81;725;1.809
29.11.2021;10:28:00-000;1.81;1.81;1.81;1.81;600;1.81
29.11.2021;10:29:00-000;1.81;1.81;1.805;1.805;705;1.8093
29.11.2021;10:30:00-000;1.8001;1.8001;1.8001;1.8001;13029;1.8001
29.11.2021;10:31:00-000;1.81;1.81;1.8098;1.81;13542;1.81
29.11.2021;10:32:00-000;1.815;1.8199;1.8101;1.8199;20100;1.811
29.11.2021;10:33:00-000;1.8189;1.8189;1.815;1.815;1125;1.8185
29.11.2021;10:34:00-000;1.8101;1.82;1.81;1.8106;42485;1.8106
29.11.2021;10:35:00-000;1.81;1.81;1.8;1.8;9020;1.8093
29.11.2021;10:36:00-000;1.8099;1.8199;1.8001;1.815;48643;1.8106
29.11.2021;10:37:00-000;1.817;1.82;1.815;1.815;14765;1.8168
29.11.2021;10:38:00-000;1.82;1.82;1.815;1.82;37403;1.8172
29.11.2021;10:39:00-000;1.8201;1.8205;1.8101;1.82;46992;1.8189
29.11.2021;10:40:00-000;1.8199;1.8199;1.8199;1.8199;5200;1.8199
29.11.2021;10:41:00-000;1.82;1.8299;1.82;1.8299;28069;1.8212
29.11.2021;10:42:00-000;1.83;1.83;1.8269;1.8269;35612;1.8292
29.11.2021;10:43:00-000;1.825;1.8292;1.82;1.8201;111490;1.8262
29.11.2021;10:44:00-000;1.82;1.82;1.815;1.815;2711;1.8161
29.11.2021;10:45:00-000;1.81;1.81;1.81;1.81;600;1.81
29.11.2021;10:46:00-000;1.81;1.81;1.81;1.81;650;1.81
29.11.2021;10:47:00-000;1.81;1.8108;1.81;1.81;33535;1.8104
29.11.2021;10:48:00-000;1.81;1.81;1.81;1.81;24962;1.81
29.11.2021;10:49:00-000;1.81;1.81;1.81;1.81;18868;1.81
29.11.2021;10:50:00-000;1.8099;1.82;1.805;1.82;33794;1.8099
29.11.2021;10:51:00-000;1.82;1.82;1.82;1.82;113;1.8197
29.11.2021;10:52:00-000;1.81;1.82;1.81;1.82;34126;1.8115
29.11.2021;10:53:00-000;1.81;1.8132;1.81;1.8132;3147;1.8118
29.11.2021;10:54:00-000;1.816;1.816;1.81;1.81;2604;1.8114
29.11.2021;10:55:00-000;1.8101;1.8101;1.8101;1.8101;4000;1.8101
29.11.2021;10:56:00-000;1.81;1.82;1.81;1.82;81646;1.8121
29.11.2021;10:57:00-000;1.82;1.8299;1.8101;1.8126;96621;1.8202
29.11.2021;10:58:00-000;1.81;1.815;1.81;1.81;13218;1.8117
29.11.2021;10:59:00-000;1.8;1.8;1.7901;1.8;18337;1.7996
29.11.2021;11:00:00-000;1.795;1.805;1.795;1.8;165622;1.7998
29.11.2021;11:01:00-000;1.8;1.805;1.8;1.805;4500;1.8002
29.11.2021;11:02:00-000;1.8024;1.8024;1.8021;1.8022;13000;1.8022
29.11.2021;11:05:00-000;1.8;1.8;1.8;1.8;700;1.8
29.11.2021;11:06:00-000;1.8001;1.8001;1.8;1.8;3244;1.8
29.11.2021;11:08:00-000;1.8;1.8;1.795;1.795;7305;1.7999
29.11.2021;11:10:00-000;1.7901;1.7901;1.7901;1.7901;600;1.7901
29.11.2021;11:12:00-000;1.7901;1.7999;1.7901;1.7999;650;1.7976
29.11.2021;11:13:00-000;1.7928;1.7928;1.7928;1.7928;8094;1.7928
29.11.2021;11:14:00-000;1.7984;1.7984;1.7984;1.7984;7900;1.7984
29.11.2021;11:16:00-000;1.7972;1.7972;1.795;1.795;216;1.7962
29.11.2021;11:17:00-000;1.7926;1.7926;1.7926;1.7926;7900;1.7926
29.11.2021;11:18:00-000;1.8;1.8;1.7949;1.7949;702;1.796
29.11.2021;11:19:00-000;1.795;1.8;1.795;1.8;35912;1.7991
29.11.2021;11:20:00-000;1.8;1.805;1.8;1.8;25725;1.8008
29.11.2021;11:21:00-000;1.8;1.8;1.8;1.8;1200;1.8
29.11.2021;11:22:00-000;1.8001;1.8001;1.8001;1.8001;400;1.8001
29.11.2021;11:23:00-000;1.8031;1.8031;1.8028;1.8028;665;1.8034
29.11.2021;11:24:00-000;1.807;1.807;1.8;1.8;18900;1.803
29.11.2021;11:25:00-000;1.8004;1.8004;1.8004;1.8004;7042;1.8004
29.11.2021;11:26:00-000;1.8;1.8001;1.7999;1.8;3732;1.8
29.11.2021;11:27:00-000;1.8;1.806;1.795;1.8005;63801;1.7998
29.11.2021;11:28:00-000;1.8;1.81;1.8;1.81;1200;1.805
29.11.2021;11:29:00-000;1.81;1.81;1.805;1.81;22250;1.8093
29.11.2021;11:30:00-000;1.81;1.815;1.81;1.81;62185;1.8108
29.11.2021;11:31:00-000;1.8;1.81;1.8;1.8091;35100;1.8096
29.11.2021;11:32:00-000;1.8099;1.81;1.8099;1.81;3451;1.81
29.11.2021;11:33:00-000;1.81;1.81;1.8099;1.81;1244;1.8099
29.11.2021;11:34:00-000;1.8099;1.81;1.8001;1.81;3100;1.809
29.11.2021;11:35:00-000;1.8001;1.81;1.8001;1.805;1400;1.8054
29.11.2021;11:36:00-000;1.8099;1.81;1.8099;1.81;1150;1.8097
29.11.2021;11:39:00-000;1.8;1.8;1.8;1.8;900;1.8
29.11.2021;11:40:00-000;1.805;1.805;1.8;1.8;20861;1.8015
29.11.2021;11:41:00-000;1.8001;1.8001;1.7937;1.8;6969;1.7998
29.11.2021;11:42:00-000;1.795;1.795;1.795;1.795;200;1.795
29.11.2021;11:43:00-000;1.7932;1.8;1.7932;1.8;700;1.799
29.11.2021;11:44:00-000;1.7901;1.7999;1.7901;1.7997;11400;1.7993
29.11.2021;11:45:00-000;1.7999;1.8099;1.7998;1.8099;39100;1.8003
29.11.2021;11:48:00-000;1.8072;1.8072;1.8072;1.8072;756;1.8072
29.11.2021;11:50:00-000;1.8039;1.8039;1.8035;1.8035;5100;1.8035
29.11.2021;11:51:00-000;1.8;1.805;1.8;1.8;10700;1.8005
29.11.2021;11:52:00-000;1.803;1.803;1.803;1.803;500;1.803
29.11.2021;11:53:00-000;1.8;1.8;1.8;1.8;600;1.8
29.11.2021;11:54:00-000;1.8048;1.8048;1.8048;1.8048;5531;1.8048
29.11.2021;11:55:00-000;1.8006;1.809;1.8;1.8;41037;1.8035
29.11.2021;11:56:00-000;1.8;1.801;1.8;1.8;130064;1.8008
29.11.2021;11:57:00-000;1.7901;1.8;1.79;1.79;3526;1.7954
29.11.2021;11:58:00-000;1.79;1.8;1.79;1.7999;20395;1.7967
29.11.2021;11:59:00-000;1.8;1.8;1.7939;1.7999;27400;1.7993
29.11.2021;12:00:00-000;1.8;1.8;1.796;1.8;42923;1.7996
29.11.2021;12:01:00-000;1.8065;1.81;1.8;1.8;39981;1.8016
29.11.2021;12:02:00-000;1.8;1.801;1.8;1.8;38129;1.8
29.11.2021;12:03:00-000;1.795;1.795;1.7942;1.7942;2388;1.7949
29.11.2021;12:04:00-000;1.79;1.7962;1.79;1.7962;3101;1.7902
29.11.2021;12:05:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;12:06:00-000;1.7902;1.7902;1.79;1.79;11990;1.7901
29.11.2021;12:07:00-000;1.7946;1.7946;1.79;1.79;10510;1.7902
29.11.2021;12:08:00-000;1.79;1.79;1.785;1.785;4663;1.7898
29.11.2021;12:09:00-000;1.79;1.7995;1.7899;1.79;49477;1.7903
29.11.2021;12:10:00-000;1.79;1.794;1.79;1.7931;13193;1.791
29.11.2021;12:11:00-000;1.79;1.79;1.79;1.79;747;1.79
29.11.2021;12:12:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;12:13:00-000;1.7935;1.7935;1.79;1.7926;4171;1.7934
29.11.2021;12:14:00-000;1.79;1.795;1.79;1.795;6325;1.7901
29.11.2021;12:15:00-000;1.79;1.7928;1.79;1.79;5150;1.7915
29.11.2021;12:19:00-000;1.79;1.79;1.79;1.79;2200;1.79
29.11.2021;12:20:00-000;1.791;1.791;1.79;1.79;51350;1.79
29.11.2021;12:22:00-000;1.79;1.79;1.79;1.79;50700;1.79
29.11.2021;12:23:00-000;1.79;1.79;1.79;1.79;4262;1.79
29.11.2021;12:25:00-000;1.7954;1.7954;1.7954;1.7954;3000;1.7954
29.11.2021;12:28:00-000;1.79;1.791;1.79;1.7901;5893;1.7903
29.11.2021;12:29:00-000;1.79;1.79;1.79;1.79;600;1.79
29.11.2021;12:30:00-000;1.79;1.79;1.7897;1.79;71487;1.7899
29.11.2021;12:31:00-000;1.79;1.79;1.7842;1.79;33775;1.7899
29.11.2021;12:32:00-000;1.79;1.795;1.79;1.7901;36412;1.7904
29.11.2021;12:33:00-000;1.79;1.792;1.79;1.79;58997;1.7902
29.11.2021;12:34:00-000;1.79;1.79;1.79;1.79;3104;1.79
29.11.2021;12:36:00-000;1.79;1.79;1.785;1.79;30079;1.7887
29.11.2021;12:37:00-000;1.79;1.79;1.7864;1.79;2150;1.7896
29.11.2021;12:40:00-000;1.78;1.7801;1.78;1.7801;1200;1.78
29.11.2021;12:41:00-000;1.78;1.7804;1.78;1.7804;1100;1.7802
29.11.2021;12:42:00-000;1.78;1.78;1.78;1.78;1210;1.78
29.11.2021;12:43:00-000;1.785;1.785;1.78;1.78;12503;1.7829
29.11.2021;12:44:00-000;1.78;1.78;1.78;1.78;1000;1.78
29.11.2021;12:46:00-000;1.78;1.78;1.78;1.78;2000;1.78
29.11.2021;12:47:00-000;1.79;1.79;1.79;1.79;1750;1.79
29.11.2021;12:48:00-000;1.787;1.79;1.787;1.7899;2160;1.7892
29.11.2021;12:49:00-000;1.79;1.79;1.79;1.79;201;1.7893
29.11.2021;12:50:00-000;1.7899;1.799;1.7884;1.799;51108;1.7901
29.11.2021;12:52:00-000;1.79;1.7901;1.79;1.7901;8600;1.7901
29.11.2021;12:53:00-000;1.79;1.79;1.79;1.79;100;1.79
29.11.2021;12:54:00-000;1.7967;1.7967;1.7967;1.7967;1023;1.7967
29.11.2021;12:55:00-000;1.7901;1.7901;1.7901;1.7901;1000;1.7901
29.11.2021;12:56:00-000;1.7901;1.7936;1.7901;1.7936;600;1.7907
29.11.2021;12:57:00-000;1.7964;1.7964;1.79;1.7901;10699;1.7919
