Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:22:00-000;136.67;136.67;136.67;136.67;100;136.67
29.11.2021;09:30:00-000;137.23;137.42;136.6;136.91;14849;137.065
29.11.2021;09:31:00-000;136.75;136.9;136.29;136.29;4060;136.572
29.11.2021;09:32:00-000;136.43;136.53;136.37;136.53;1286;136.424
29.11.2021;09:33:00-000;136.58;137.013;136.58;137.013;2640;136.883
29.11.2021;09:34:00-000;136.96;137.095;136.96;136.96;844;136.982
29.11.2021;09:35:00-000;137.03;137.15;137.03;137.15;1047;137.085
29.11.2021;09:36:00-000;137.26;137.28;137.08;137.08;1460;137.196
29.11.2021;09:37:00-000;137.17;137.17;137.17;137.17;394;137.144
29.11.2021;09:38:00-000;137.13;137.24;137.13;137.16;1829;137.177
29.11.2021;09:39:00-000;137.09;137.09;137.09;137.09;266;137.066
29.11.2021;09:40:00-000;137.13;137.39;137.04;137.39;4901;137.193
29.11.2021;09:41:00-000;137.36;137.5;137.27;137.42;8184;137.331
29.11.2021;09:42:00-000;137.44;137.52;137.38;137.38;525;137.444
29.11.2021;09:44:00-000;137.22;137.47;137.21;137.42;1475;137.318
29.11.2021;09:45:00-000;137.45;137.55;137.34;137.34;2560;137.472
29.11.2021;09:46:00-000;137.44;137.6;137.44;137.6;2854;137.557
29.11.2021;09:47:00-000;137.57;137.585;137.57;137.585;1204;137.582
29.11.2021;09:48:00-000;137.48;137.48;137.36;137.36;1833;137.407
29.11.2021;09:49:00-000;137.46;137.51;137.36;137.46;2679;137.425
29.11.2021;09:50:00-000;137.45;137.515;137.34;137.41;3193;137.456
29.11.2021;09:51:00-000;137.35;137.36;137.3;137.355;3651;137.33
29.11.2021;09:52:00-000;137.41;137.495;137.41;137.47;3048;137.474
29.11.2021;09:53:00-000;137.44;137.44;137.29;137.37;5522;137.369
29.11.2021;09:54:00-000;137.44;137.53;137.32;137.34;3943;137.427
29.11.2021;09:55:00-000;137.39;137.51;137.28;137.51;3317;137.421
29.11.2021;09:56:00-000;137.41;137.55;137.41;137.55;1438;137.489
29.11.2021;09:57:00-000;137.48;137.54;137.43;137.54;1969;137.473
29.11.2021;09:58:00-000;137.56;137.94;137.56;137.94;1285;137.719
29.11.2021;09:59:00-000;137.92;137.94;137.87;137.89;1297;137.9
29.11.2021;10:00:00-000;137.85;137.85;137.58;137.68;3615;137.661
29.11.2021;10:01:00-000;137.77;137.81;137.69;137.725;3577;137.765
29.11.2021;10:02:00-000;137.65;137.895;137.65;137.79;2655;137.79
29.11.2021;10:03:00-000;137.8;137.8;137.8;137.8;188;137.783
29.11.2021;10:04:00-000;137.86;138.16;137.86;138.11;1831;138.077
29.11.2021;10:05:00-000;138.19;138.26;138.172;138.25;1327;138.224
29.11.2021;10:06:00-000;138.178;138.23;138.03;138.03;1334;138.173
29.11.2021;10:07:00-000;138.07;138.07;138.07;138.07;231;138.049
29.11.2021;10:08:00-000;138.09;138.1;138.07;138.1;446;138.086
29.11.2021;10:09:00-000;138.08;138.08;138.06;138.06;680;138.066
29.11.2021;10:10:00-000;138.11;138.11;138.11;138.11;241;138.092
29.11.2021;10:11:00-000;137.987;137.987;137.987;137.987;792;137.971
29.11.2021;10:12:00-000;137.82;137.84;137.82;137.84;532;137.827
29.11.2021;10:13:00-000;137.89;137.91;137.89;137.89;850;137.905
29.11.2021;10:14:00-000;137.91;137.91;137.88;137.9;921;137.922
29.11.2021;10:15:00-000;137.99;138.01;137.99;138.01;503;138.006
29.11.2021;10:16:00-000;138.1;138.12;138.1;138.11;1141;138.079
29.11.2021;10:17:00-000;138.15;138.15;138.15;138.15;352;138.152
29.11.2021;10:18:00-000;138.21;138.22;138.12;138.12;555;138.184
29.11.2021;10:20:00-000;137.91;137.91;137.85;137.86;832;137.891
29.11.2021;10:22:00-000;138.12;138.12;137.94;137.94;1009;138.016
29.11.2021;10:23:00-000;137.97;137.97;137.97;137.97;500;137.997
29.11.2021;10:25:00-000;138.2;138.22;138.2;138.22;847;138.206
29.11.2021;10:26:00-000;138.28;138.28;138.26;138.26;1307;138.224
29.11.2021;10:27:00-000;138.12;138.12;138.12;138.12;255;138.11
29.11.2021;10:28:00-000;138.1;138.1;138.1;138.1;447;138.044
29.11.2021;10:29:00-000;137.98;137.98;137.98;137.98;325;137.995
29.11.2021;10:31:00-000;138;138;138;138;110;138.001
29.11.2021;10:32:00-000;137.98;137.98;137.93;137.93;470;137.949
29.11.2021;10:33:00-000;137.91;137.98;137.91;137.98;369;137.962
29.11.2021;10:34:00-000;138.1;138.1;138.05;138.05;909;138.07
29.11.2021;10:35:00-000;138.05;138.17;138.05;138.17;1209;138.107
29.11.2021;10:36:00-000;138.11;138.13;137.795;137.795;3168;137.888
29.11.2021;10:37:00-000;137.84;137.89;137.84;137.84;933;137.856
29.11.2021;10:38:00-000;137.78;137.8;137.74;137.8;406;137.772
29.11.2021;10:39:00-000;137.81;137.81;137.81;137.81;669;137.798
29.11.2021;10:40:00-000;137.87;137.87;137.87;137.87;540;137.864
29.11.2021;10:41:00-000;137.82;137.82;137.82;137.82;451;137.832
29.11.2021;10:43:00-000;137.66;137.77;137.66;137.77;1103;137.687
29.11.2021;10:44:00-000;137.82;137.87;137.78;137.78;1058;137.784
29.11.2021;10:45:00-000;137.71;137.76;137.7;137.76;10483;137.748
29.11.2021;10:46:00-000;137.8;137.8;137.8;137.8;182;137.807
29.11.2021;10:47:00-000;137.87;137.89;137.85;137.89;1018;137.863
29.11.2021;10:48:00-000;138.09;138.09;138.09;138.09;449;138.058
29.11.2021;10:49:00-000;138.07;138.07;138.04;138.04;872;138.051
29.11.2021;10:50:00-000;138.03;138.03;138.03;138.03;107;138.028
