Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;66.79;66.79;66.79;66.79;2295;66.7897
29.11.2021;09:31:00-000;66.372;66.372;66.372;66.372;201;66.369
29.11.2021;09:33:00-000;66;66.46;65.85;66.46;2668;65.9963
29.11.2021;09:34:00-000;65.97;65.98;65.96;65.98;430;65.9733
29.11.2021;09:35:00-000;65.9;65.995;65.8;65.995;3756;65.9121
29.11.2021;09:37:00-000;66;66.225;65.93;66;7217;66.0126
29.11.2021;09:39:00-000;66.05;66.05;66;66;480;65.995
29.11.2021;09:43:00-000;65.985;65.985;65.985;65.985;100;65.985
29.11.2021;09:44:00-000;65.97;65.97;65.97;65.97;215;65.9714
29.11.2021;09:48:00-000;65.755;65.755;65.755;65.755;140;65.7801
29.11.2021;09:51:00-000;65.79;65.97;65.76;65.95;6673;65.8777
29.11.2021;09:52:00-000;65.79;65.79;65.52;65.52;1172;65.7548
29.11.2021;09:56:00-000;65.6;65.74;65.56;65.56;4843;65.61
29.11.2021;09:57:00-000;65.47;65.47;65.27;65.27;673;65.452
29.11.2021;09:59:00-000;65.29;65.29;65.29;65.29;104;65.29
29.11.2021;10:01:00-000;65.39;65.39;65.39;65.39;386;65.4043
29.11.2021;10:02:00-000;65.405;65.5;65.32;65.38;4794;65.4616
29.11.2021;10:03:00-000;65.455;65.455;65.31;65.31;1036;65.3847
29.11.2021;10:04:00-000;65.28;65.31;65.27;65.285;1173;65.274
29.11.2021;10:05:00-000;65.3;65.36;65.3;65.33;4587;65.3079
29.11.2021;10:07:00-000;65.265;65.265;65.17;65.17;1003;65.1833
29.11.2021;10:08:00-000;65.09;65.09;64.97;64.97;1094;65.041
29.11.2021;10:09:00-000;65.03;65.14;65.03;65.07;1296;65.0642
29.11.2021;10:10:00-000;65.115;65.115;65.115;65.115;120;65.1258
29.11.2021;10:13:00-000;65.01;65.19;64.99;65.19;653;65.0241
29.11.2021;10:14:00-000;65.02;65.02;65.02;65.02;104;65.02
29.11.2021;10:15:00-000;65.07;65.07;64.975;65.07;1137;65.0552
29.11.2021;10:16:00-000;65.075;65.075;64.89;64.89;463;65.0006
29.11.2021;10:17:00-000;64.86;64.98;64.86;64.98;388;64.8935
29.11.2021;10:19:00-000;64.79;64.81;64.79;64.79;637;64.8043
29.11.2021;10:20:00-000;64.8;64.98;64.8;64.81;404;64.8859
29.11.2021;10:21:00-000;64.885;64.96;64.885;64.96;243;64.9164
29.11.2021;10:22:00-000;64.79;64.96;64.75;64.96;1376;64.808
29.11.2021;10:23:00-000;64.97;64.97;64.97;64.97;4080;64.9654
29.11.2021;10:24:00-000;64.76;64.76;64.76;64.76;100;64.76
29.11.2021;10:25:00-000;64.86;64.86;64.86;64.86;101;64.86
29.11.2021;10:26:00-000;64.78;64.78;64.66;64.66;1494;64.7373
29.11.2021;10:27:00-000;64.71;64.84;64.63;64.73;2737;64.7184
29.11.2021;10:29:00-000;64.552;64.87;64.552;64.845;13299;64.7368
29.11.2021;10:30:00-000;64.84;65.08;64.84;64.975;7984;64.9676
29.11.2021;10:31:00-000;65;65;64.85;64.85;2924;64.9091
29.11.2021;10:32:00-000;64.85;65.025;64.85;64.9;809;64.9117
29.11.2021;10:33:00-000;64.87;64.87;64.7304;64.805;803;64.7985
29.11.2021;10:34:00-000;64.805;64.805;64.805;64.805;300;64.84
29.11.2021;10:35:00-000;64.69;64.69;64.68;64.68;359;64.6785
29.11.2021;10:36:00-000;64.9;64.9;64.61;64.61;328;64.7464
29.11.2021;10:37:00-000;64.59;64.59;64.39;64.39;1450;64.4593
29.11.2021;10:38:00-000;64.17;64.17;64.17;64.17;431;64.2203
29.11.2021;10:39:00-000;64.345;64.445;64.1;64.335;10108;64.2466
29.11.2021;10:40:00-000;64.25;64.335;64.13;64.13;1412;64.2268
29.11.2021;10:41:00-000;64.13;64.13;64.13;64.13;195;64.1297
29.11.2021;10:42:00-000;64.1;64.1;64.06;64.06;813;64.0736
29.11.2021;10:43:00-000;64.165;64.165;64.04;64.065;1815;64.041
29.11.2021;10:44:00-000;64;64.2;64;64.19;5872;64.0632
29.11.2021;10:45:00-000;64.15;64.375;64.1;64.375;6401;64.2098
29.11.2021;10:48:00-000;64.26;64.31;64.23;64.23;881;64.2629
29.11.2021;10:49:00-000;64.205;64.28;64.13;64.2;5831;64.2072
29.11.2021;10:50:00-000;64.26;64.345;64.06;64.1;5049;64.1845
29.11.2021;10:51:00-000;64.05;64.43;64.05;64.24;9313;64.2053
29.11.2021;10:52:00-000;64.255;64.285;64.255;64.255;429;64.262
29.11.2021;10:53:00-000;64.255;64.405;64.136;64.405;4400;64.3741
29.11.2021;10:54:00-000;64.26;64.4;64.26;64.4;1001;64.3541
29.11.2021;10:55:00-000;64.28;64.395;64.21;64.3;5463;64.2927
29.11.2021;10:56:00-000;64.4;64.4;64.27;64.395;2645;64.3585
29.11.2021;10:57:00-000;64.27;64.27;64.21;64.21;417;64.2275
29.11.2021;10:58:00-000;64.305;64.31;64.305;64.31;803;64.3115
29.11.2021;10:59:00-000;64.255;64.4;64.255;64.33;7863;64.3526
29.11.2021;11:01:00-000;64.47;64.471;64.36;64.36;962;64.406
29.11.2021;11:03:00-000;64.33;64.33;64.33;64.33;444;64.3346
29.11.2021;11:05:00-000;64.39;64.45;64.32;64.43;1921;64.3972
29.11.2021;11:06:00-000;64.41;64.44;64.38;64.38;1895;64.3978
29.11.2021;11:08:00-000;64.39;64.47;64.39;64.47;455;64.423
29.11.2021;11:09:00-000;64.49;64.49;64.49;64.49;530;64.4915
29.11.2021;11:10:00-000;64.43;64.43;64.43;64.43;179;64.4298
29.11.2021;11:11:00-000;64.42;64.42;64.42;64.42;102;64.4206
29.11.2021;11:12:00-000;64.36;64.36;64.36;64.36;169;64.372
29.11.2021;11:13:00-000;64.29;64.31;64.29;64.31;1376;64.3106
29.11.2021;11:14:00-000;64.27;64.27;64.27;64.27;119;64.285
29.11.2021;11:17:00-000;64.38;64.38;64.29;64.31;1333;64.3173
29.11.2021;11:18:00-000;64.31;64.31;64.22;64.26;1625;64.2673
29.11.2021;11:19:00-000;64.13;64.1871;64.12;64.12;703;64.1376
29.11.2021;11:21:00-000;64.27;64.27;64.205;64.205;407;64.2356
29.11.2021;11:22:00-000;64.16;64.16;64.16;64.16;3963;64.1615
29.11.2021;11:23:00-000;64.14;64.14;63.84;63.84;4170;63.9945
29.11.2021;11:24:00-000;63.83;63.92;63.78;63.78;714;63.8476
29.11.2021;11:26:00-000;63.89;63.91;63.88;63.91;1552;63.8939
29.11.2021;11:27:00-000;63.88;63.88;63.66;63.74;1217;63.7575
29.11.2021;11:28:00-000;63.57;63.7;63.56;63.6;1252;63.6213
29.11.2021;11:29:00-000;63.52;63.64;63.47;63.64;7487;63.5237
29.11.2021;11:30:00-000;63.7;63.78;63.7;63.78;3878;63.7087
29.11.2021;11:31:00-000;63.91;63.91;63.76;63.76;1683;63.8552
29.11.2021;11:32:00-000;63.775;63.775;63.61;63.64;4312;63.6408
29.11.2021;11:33:00-000;63.62;63.62;63.56;63.56;393;63.5935
29.11.2021;11:34:00-000;63.55;63.55;63.55;63.55;217;63.5551
29.11.2021;11:35:00-000;63.57;63.8;63.56;63.8;3419;63.5999
29.11.2021;11:36:00-000;63.78;63.78;63.78;63.78;321;63.7837
