Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:50:00-000;35.98;35.98;35.98;35.98;100;35.98
29.11.2021;09:19:00-000;35.98;35.98;35.98;35.98;100;35.98
29.11.2021;09:30:00-000;35.71;35.85;35.71;35.78;10841;35.7189
29.11.2021;09:31:00-000;35.63;35.675;35.4;35.63;2086;35.5511
29.11.2021;09:33:00-000;35.15;35.33;35.1;35.16;2204;35.1557
29.11.2021;09:34:00-000;35.34;35.45;35.32;35.38;1953;35.36
29.11.2021;09:35:00-000;35.18;35.3531;34.86;34.935;7022;35.0089
29.11.2021;09:36:00-000;34.93;35.11;34.76;34.99;2664;34.929
29.11.2021;09:37:00-000;34.99;35.04;34.895;35.01;5899;34.9879
29.11.2021;09:38:00-000;34.86;34.89;34.765;34.815;2035;34.8189
29.11.2021;09:39:00-000;34.855;34.855;34.64;34.64;2123;34.7338
29.11.2021;09:40:00-000;34.65;34.92;34.65;34.92;730;34.8256
29.11.2021;09:41:00-000;34.72;34.72;34.57;34.595;828;34.6161
29.11.2021;09:42:00-000;34.58;34.82;34.55;34.69;3686;34.6027
29.11.2021;09:43:00-000;34.5;34.59;34.5;34.59;1521;34.53
29.11.2021;09:44:00-000;34.59;34.633;34.3;34.38;9501;34.4546
29.11.2021;09:45:00-000;34.28;34.4;34.12;34.32;783;34.2582
29.11.2021;09:46:00-000;34.32;34.41;34.12;34.41;7958;34.3516
29.11.2021;09:47:00-000;34.3;34.4196;34.2;34.4196;4623;34.2658
29.11.2021;09:48:00-000;34.42;34.71;34.33;34.44;7635;34.5943
29.11.2021;09:49:00-000;34.45;34.7;34.435;34.7;942;34.4845
29.11.2021;09:50:00-000;34.45;34.62;34.35;34.6;1302;34.4791
29.11.2021;09:51:00-000;34.46;34.57;34.45;34.57;2816;34.4866
29.11.2021;09:52:00-000;34.57;34.63;34.4;34.4;870;34.5042
29.11.2021;09:53:00-000;34.54;34.6;34.35;34.6;3593;34.536
29.11.2021;09:54:00-000;34.58;34.69;34.58;34.69;586;34.6086
29.11.2021;09:55:00-000;34.61;34.66;34.61;34.6335;1599;34.6374
29.11.2021;09:56:00-000;34.88;34.95;34.74;34.95;1680;34.8413
29.11.2021;09:57:00-000;34.72;34.96;34.72;34.9;6508;34.867
29.11.2021;09:58:00-000;35;35;34.57;34.59;3626;34.7777
29.11.2021;09:59:00-000;34.44;34.46;34.44;34.45;725;34.4745
29.11.2021;10:00:00-000;34.75;34.76;34.75;34.76;289;34.7267
29.11.2021;10:01:00-000;34.74;34.74;34.72;34.72;390;34.7345
29.11.2021;10:03:00-000;34.33;34.67;34.33;34.67;400;34.4413
29.11.2021;10:05:00-000;34.5894;34.64;34.56;34.64;1186;34.567
29.11.2021;10:06:00-000;34.5;34.65;34.5;34.65;279;34.5849
29.11.2021;10:07:00-000;34.59;34.59;34.5;34.54;730;34.5446
29.11.2021;10:08:00-000;34.5;34.59;34.5;34.59;1062;34.5138
29.11.2021;10:09:00-000;34.59;34.59;34.36;34.36;205;34.4754
29.11.2021;10:10:00-000;34.6;34.6;34.54;34.6;1617;34.5672
29.11.2021;10:11:00-000;34.59;34.67;34.55;34.55;1481;34.577
29.11.2021;10:12:00-000;34.51;34.6336;34.51;34.6336;519;34.5387
29.11.2021;10:13:00-000;34.325;34.325;34.325;34.325;1023;34.3151
