Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;6.06;6.065;6.06;6.065;1794;6.0607
29.11.2021;09:31:00-000;6;6.01;6;6;2710;6.0085
29.11.2021;09:32:00-000;6.01;6.02;6.01;6.02;5449;6.0142
29.11.2021;09:34:00-000;6.1;6.1;6.07;6.07;5512;6.0734
29.11.2021;09:35:00-000;6.07;6.07;6.06;6.07;4751;6.0628
29.11.2021;09:36:00-000;6.06;6.07;6.05;6.05;2800;6.0608
29.11.2021;09:37:00-000;6.04;6.04;6.04;6.04;746;6.0405
29.11.2021;09:38:00-000;6.03;6.03;6.03;6.03;3317;6.03
29.11.2021;09:39:00-000;6.03;6.03;6.03;6.03;2318;6.0296
29.11.2021;09:40:00-000;6.03;6.03;6.01;6.02;3445;6.0216
29.11.2021;09:41:00-000;6.03;6.03;6.02;6.02;1057;6.0219
29.11.2021;09:42:00-000;6.04;6.04;6.02;6.02;5965;6.0243
29.11.2021;09:43:00-000;6.02;6.03;6.01;6.02;4148;6.0205
29.11.2021;09:44:00-000;6.02;6.03;6.02;6.03;4243;6.0203
29.11.2021;09:45:00-000;6.02;6.02;6.0095;6.0095;4840;6.0168
29.11.2021;09:46:00-000;6.01;6.03;6.01;6.02;3606;6.0206
29.11.2021;09:48:00-000;6.02;6.02;6.01;6.01;2947;6.0167
29.11.2021;09:49:00-000;6.005;6.005;6.005;6.005;100;6.005
29.11.2021;09:50:00-000;6.005;6.005;6;6;1516;6.0003
29.11.2021;09:51:00-000;5.99;5.99;5.98;5.98;2590;5.9862
29.11.2021;09:53:00-000;5.97;5.98;5.97;5.98;3448;5.9738
29.11.2021;09:54:00-000;5.99;5.99;5.98;5.98;1887;5.9896
29.11.2021;09:55:00-000;5.98;5.98;5.98;5.98;686;5.9787
29.11.2021;09:56:00-000;5.98;5.99;5.98;5.98;2677;5.9804
29.11.2021;09:57:00-000;5.98;5.99;5.98;5.99;2063;5.9811
29.11.2021;09:58:00-000;5.99;5.99;5.98;5.99;1250;5.9875
29.11.2021;09:59:00-000;6.005;6.005;6.005;6.005;324;6.0051
29.11.2021;10:00:00-000;6;6;6;6;1755;6.0003
29.11.2021;10:01:00-000;6.01;6.01;6.01;6.01;801;6.01
29.11.2021;10:02:00-000;6.01;6.01;6.01;6.01;200;6.01
29.11.2021;10:03:00-000;6.01;6.01;6.005;6.005;995;6.0095
29.11.2021;10:04:00-000;6;6;6;6;537;6
29.11.2021;10:05:00-000;6;6.01;5.995;6.01;1855;6.0009
29.11.2021;10:07:00-000;6.02;6.02;6.02;6.02;625;6.02
29.11.2021;10:08:00-000;6.02;6.02;6;6;6286;6.0172
29.11.2021;10:09:00-000;6.01;6.01;6.01;6.01;439;6.0094
29.11.2021;10:11:00-000;6;6;6;6;2637;6
29.11.2021;10:14:00-000;5.995;5.995;5.995;5.995;110;5.9945
29.11.2021;10:15:00-000;5.99;6;5.99;5.995;3963;5.9912
29.11.2021;10:16:00-000;5.99;5.995;5.99;5.99;1079;5.9908
29.11.2021;10:18:00-000;5.99;6;5.99;6;714;5.9941
29.11.2021;10:19:00-000;5.99;5.99;5.99;5.99;3647;5.9901
29.11.2021;10:20:00-000;5.995;5.995;5.995;5.995;309;5.9949
29.11.2021;10:21:00-000;5.995;6;5.995;6;292;5.9953
29.11.2021;10:22:00-000;6;6;5.995;5.995;318;5.9957
29.11.2021;10:24:00-000;5.995;5.995;5.995;5.995;100;5.995
29.11.2021;10:26:00-000;5.99;5.99;5.98;5.98;3000;5.9895
29.11.2021;10:27:00-000;5.98;5.98;5.98;5.98;2869;5.9806
29.11.2021;10:29:00-000;5.97;5.97;5.97;5.97;100;5.97
29.11.2021;10:31:00-000;5.97;5.97;5.96;5.96;2146;5.969
