Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;9.06;9.06;9.06;9.06;3773;9.06
29.11.2021;09:33:00-000;9.06;9.06;9.06;9.06;200;9.06
29.11.2021;09:35:00-000;9.0898;9.0898;9.06;9.06;700;9.0813
29.11.2021;09:37:00-000;9.065;9.065;9.065;9.065;100;9.065
29.11.2021;09:38:00-000;9.07;9.07;9.07;9.07;300;9.07
29.11.2021;09:40:00-000;9.06;9.0633;9.06;9.0633;2127;9.0615
29.11.2021;09:43:00-000;9.06;9.06;9.06;9.06;1037;9.06
29.11.2021;09:47:00-000;9.06;9.06;9.06;9.06;1000;9.06
29.11.2021;09:48:00-000;9.059;9.059;9.059;9.059;1000;9.059
29.11.2021;09:51:00-000;9.06;9.06;9.06;9.06;140;9.06
29.11.2021;09:56:00-000;9.0556;9.0556;9.04;9.04;2622;9.0478
29.11.2021;09:57:00-000;9.0392;9.0392;9.035;9.035;700;9.0356
29.11.2021;10:31:00-000;9.0364;9.0364;9.0364;9.0364;110;9.0364
29.11.2021;10:32:00-000;9.02;9.02;9.01;9.01;1533;9.0192
29.11.2021;10:33:00-000;9.015;9.015;9.015;9.015;600;9.015
29.11.2021;10:35:00-000;9.015;9.015;9.015;9.015;665;9.015
29.11.2021;10:36:00-000;9.0185;9.0185;9.0185;9.0185;554;9.0185
29.11.2021;11:01:00-000;9.015;9.015;9.015;9.015;334;9.015
29.11.2021;11:04:00-000;9.0184;9.0184;9.0184;9.0184;444;9.0184
29.11.2021;11:16:00-000;9.0107;9.0107;9.0107;9.0107;100;9.0107
29.11.2021;11:21:00-000;9.01;9.01;9.01;9.01;4000;9.01
29.11.2021;11:29:00-000;9.018;9.018;9.018;9.018;231;9.018
29.11.2021;11:35:00-000;9.015;9.015;9.015;9.015;1331;9.015
29.11.2021;11:40:00-000;9.0173;9.0173;9.01;9.01;2600;9.017
29.11.2021;11:45:00-000;9.01;9.01;9.01;9.01;555;9.01
29.11.2021;12:09:00-000;9.01;9.01;9.01;9.01;783;9.01
29.11.2021;12:13:00-000;9.0188;9.0188;9;9;2600;9.0181
29.11.2021;12:16:00-000;9.01;9.02;9;9.02;7595;9.0107
29.11.2021;12:20:00-000;9.0094;9.0094;9.0094;9.0094;105;9.0094
29.11.2021;12:23:00-000;9.01;9.01;8.9902;8.9902;1500;8.9961
29.11.2021;12:24:00-000;8.9989;8.9989;8.9989;8.9989;1000;8.9989
29.11.2021;12:26:00-000;9;9.01;9;9.01;660;9.0021
29.11.2021;12:32:00-000;9;9;9;9;700;9
29.11.2021;12:47:00-000;9;9;9;9;160;9
29.11.2021;12:55:00-000;9.0022;9.0022;9.0022;9.0022;500;9.0022
29.11.2021;13:03:00-000;9.0102;9.0102;9.0102;9.0102;453;9.0102
