Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;43.94;43.94;43.79;43.79;2622;43.8633
29.11.2021;09:31:00-000;43.79;43.8;43.68;43.79;6666;43.7496
29.11.2021;09:32:00-000;43.81;43.82;43.81;43.82;310;43.8137
29.11.2021;09:33:00-000;43.85;43.85;43.82;43.82;974;43.8275
29.11.2021;09:34:00-000;43.8;43.8;43.76;43.76;299;43.7785
29.11.2021;09:35:00-000;43.77;43.77;43.68;43.72;2097;43.7328
29.11.2021;09:36:00-000;43.73;43.73;43.73;43.73;200;43.725
29.11.2021;09:37:00-000;43.73;43.74;43.73;43.74;477;43.7355
29.11.2021;09:38:00-000;43.72;43.72;43.72;43.72;301;43.72
29.11.2021;09:39:00-000;43.69;43.72;43.69;43.72;600;43.7033
29.11.2021;09:40:00-000;43.73;43.8;43.72;43.8;6851;43.7532
29.11.2021;09:41:00-000;43.79;43.79;43.72;43.72;1443;43.7716
29.11.2021;09:42:00-000;43.71;43.73;43.7;43.72;2666;43.7173
29.11.2021;09:43:00-000;43.73;43.74;43.71;43.74;3988;43.7251
29.11.2021;09:44:00-000;43.73;43.74;43.72;43.73;1866;43.7331
29.11.2021;09:45:00-000;43.77;43.81;43.75;43.81;1528;43.7654
29.11.2021;09:46:00-000;43.82;43.82;43.79;43.8;2626;43.8035
29.11.2021;09:47:00-000;43.81;43.81;43.8;43.8;795;43.8037
29.11.2021;09:48:00-000;43.79;43.79;43.77;43.77;476;43.7821
29.11.2021;09:49:00-000;43.75;43.75;43.735;43.735;678;43.7466
29.11.2021;09:50:00-000;43.72;43.77;43.72;43.77;1180;43.745
29.11.2021;09:51:00-000;43.74;43.74;43.73;43.73;568;43.7355
29.11.2021;09:52:00-000;43.76;43.77;43.75;43.77;716;43.76
29.11.2021;09:53:00-000;43.76;43.78;43.76;43.78;1903;43.7698
29.11.2021;09:54:00-000;43.77;43.77;43.77;43.77;420;43.7698
29.11.2021;09:55:00-000;43.74;43.74;43.73;43.73;221;43.7365
29.11.2021;09:56:00-000;43.7;43.7;43.7;43.7;1243;43.7012
29.11.2021;09:58:00-000;43.7;43.7;43.7;43.7;342;43.7006
29.11.2021;09:59:00-000;43.69;43.69;43.69;43.69;199;43.6945
29.11.2021;10:00:00-000;43.69;43.71;43.68;43.71;2549;43.7015
29.11.2021;10:01:00-000;43.71;43.71;43.71;43.71;781;43.7094
29.11.2021;10:02:00-000;43.69;43.7;43.69;43.7;2029;43.6915
29.11.2021;10:03:00-000;43.71;43.72;43.71;43.72;654;43.7169
29.11.2021;10:04:00-000;43.71;43.71;43.7055;43.71;1260;43.7092
29.11.2021;10:05:00-000;43.7;43.7;43.7;43.7;739;43.7015
29.11.2021;10:06:00-000;43.7;43.72;43.7;43.72;1379;43.7173
29.11.2021;10:07:00-000;43.73;43.73;43.72;43.73;1927;43.7289
29.11.2021;10:08:00-000;43.73;43.74;43.73;43.73;1575;43.7376
29.11.2021;10:09:00-000;43.72;43.72;43.72;43.72;316;43.72
29.11.2021;10:10:00-000;43.71;43.71;43.68;43.68;2698;43.6946
29.11.2021;10:11:00-000;43.66;43.66;43.63;43.63;1496;43.6346
29.11.2021;10:12:00-000;43.62;43.64;43.62;43.63;1406;43.6318
29.11.2021;10:13:00-000;43.63;43.63;43.62;43.62;4109;43.6283
29.11.2021;10:14:00-000;43.615;43.62;43.61;43.61;1347;43.6135
29.11.2021;10:16:00-000;43.63;43.64;43.63;43.64;804;43.6363
29.11.2021;10:17:00-000;43.63;43.645;43.63;43.645;944;43.6346
29.11.2021;10:18:00-000;43.64;43.64;43.64;43.64;100;43.64
29.11.2021;10:19:00-000;43.63;43.63;43.63;43.63;127;43.6309
29.11.2021;10:20:00-000;43.62;43.62;43.61;43.61;325;43.615
