Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;20.36;20.39;20.36;20.38;5195;20.3736
29.11.2021;09:39:00-000;20.26;20.26;20.26;20.26;124;20.291
29.11.2021;09:40:00-000;20.27;20.27;20.27;20.27;204;20.2706
29.11.2021;09:41:00-000;20.26;20.27;20.26;20.27;400;20.2675
29.11.2021;09:43:00-000;20.25;20.25;20.25;20.25;400;20.25
29.11.2021;09:44:00-000;20.25;20.25;20.25;20.25;378;20.2476
29.11.2021;09:46:00-000;20.11;20.13;20.11;20.12;400;20.1225
29.11.2021;09:47:00-000;20.11;20.11;20.08;20.08;300;20.09
29.11.2021;09:51:00-000;20.01;20.01;20.01;20.01;200;20.01
29.11.2021;10:07:00-000;19.91;19.91;19.9;19.9;400;19.9075
29.11.2021;10:17:00-000;19.87;19.87;19.87;19.87;180;19.87
29.11.2021;10:19:00-000;19.93;19.93;19.93;19.93;100;19.93
29.11.2021;10:24:00-000;19.92;19.92;19.92;19.92;144;19.92
29.11.2021;10:27:00-000;19.8896;19.8896;19.8896;19.8896;148;19.8896
29.11.2021;10:30:00-000;19.86;19.86;19.85;19.85;266;19.8525
29.11.2021;12:53:00-000;20.125;20.125;20.09;20.09;1067;20.0986
29.11.2021;12:59:00-000;20.14;20.14;20.14;20.14;100;20.14
29.11.2021;13:02:00-000;20.13;20.14;20.12;20.14;1730;20.1335
29.11.2021;13:03:00-000;20.1619;20.1619;20.1619;20.1619;1014;20.1619
29.11.2021;13:16:00-000;20.07;20.07;20.07;20.07;400;20.07
29.11.2021;14:23:00-000;20.08;20.08;20.08;20.08;8584;20.08
29.11.2021;14:26:00-000;20.08;20.08;20.08;20.08;10270;20.08
29.11.2021;14:27:00-000;20.08;20.08;20.08;20.08;6800;20.08
29.11.2021;14:28:00-000;20.08;20.08;20.08;20.08;24146;20.08
29.11.2021;15:20:00-000;19.97;20.01;19.97;20.004;9406;19.9878
29.11.2021;15:24:00-000;19.99;20.01;19.99;20.006;1001;19.9974
29.11.2021;15:38:00-000;19.88;19.88;19.88;19.88;159;19.8763
29.11.2021;15:59:00-000;19.87;19.87;19.87;19.87;255;19.869
29.11.2021;16:00:00-000;19.92;19.92;19.92;19.92;101;19.92
