Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;46.86;46.86;46.86;46.86;522;46.8603
29.11.2021;09:35:00-000;46.56;46.56;46.56;46.56;235;46.56
29.11.2021;09:37:00-000;46.61;46.61;46.5501;46.5501;513;46.5851
29.11.2021;09:42:00-000;46.533;46.533;46.533;46.533;329;46.5392
29.11.2021;09:44:00-000;46.5;46.5;46.5;46.5;365;46.5
29.11.2021;09:47:00-000;46.436;46.458;46.436;46.458;359;46.4459
29.11.2021;09:49:00-000;46.39;46.39;46.39;46.39;300;46.39
29.11.2021;09:53:00-000;46.26;46.26;46.26;46.26;286;46.271
29.11.2021;09:54:00-000;46.305;46.305;46.305;46.305;163;46.305
29.11.2021;09:57:00-000;46.26;46.26;46.24;46.25;405;46.2522
29.11.2021;09:58:00-000;46.25;46.25;46.25;46.25;100;46.25
29.11.2021;10:00:00-000;46.22;46.26;46.22;46.26;538;46.24
29.11.2021;10:02:00-000;46.3;46.3;46.3;46.3;100;46.3
29.11.2021;10:06:00-000;46.32;46.32;46.32;46.32;414;46.3206
29.11.2021;10:07:00-000;46.305;46.305;46.305;46.305;247;46.305
29.11.2021;10:09:00-000;46.21;46.21;46.21;46.21;384;46.2155
29.11.2021;10:10:00-000;46.2699;46.2699;46.2308;46.2308;1101;46.2344
29.11.2021;10:14:00-000;46.245;46.245;46.245;46.245;123;46.245
29.11.2021;10:15:00-000;46.2117;46.24;46.2117;46.24;357;46.22
29.11.2021;10:16:00-000;46.16;46.16;46.16;46.16;265;46.1554
29.11.2021;10:17:00-000;46.16;46.16;46.16;46.16;109;46.1597
29.11.2021;10:18:00-000;46.2;46.2;46.2;46.2;100;46.2
29.11.2021;10:20:00-000;46.205;46.205;46.205;46.205;200;46.205
29.11.2021;10:21:00-000;46.22;46.2364;46.2134;46.2134;848;46.2173
29.11.2021;10:30:00-000;46.09;46.09;46.09;46.09;328;46.0896
29.11.2021;10:34:00-000;46.0893;46.0893;46.0236;46.0236;1259;46.06
29.11.2021;10:38:00-000;46;46;46;46;1138;46.0009
29.11.2021;10:39:00-000;46.01;46.03;46.01;46.03;564;46.0246
29.11.2021;10:43:00-000;45.995;46.02;45.995;46.02;816;46.0141
29.11.2021;10:44:00-000;45.97;45.97;45.97;45.97;602;45.9767
29.11.2021;10:46:00-000;46.05;46.05;46.05;46.05;219;46.05
29.11.2021;10:47:00-000;46.0422;46.0422;46.0422;46.0422;233;46.0422
29.11.2021;10:52:00-000;46.0751;46.0751;46.0751;46.0751;130;46.0751
29.11.2021;11:00:00-000;46.08;46.08;46.08;46.08;570;46.08
29.11.2021;11:02:00-000;46.15;46.15;46.15;46.15;125;46.1506
29.11.2021;11:07:00-000;46.18;46.18;46.18;46.18;100;46.18
29.11.2021;11:11:00-000;46.18;46.2161;46.18;46.2161;228;46.1999
29.11.2021;11:13:00-000;46.2;46.2;46.2;46.2;122;46.1962
29.11.2021;11:14:00-000;46.18;46.18;46.18;46.18;627;46.18
