Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;49.68;49.73;49.37;49.73;2985;49.662
29.11.2021;09:31:00-000;49.5;49.5;49.37;49.37;302;49.4216
29.11.2021;09:32:00-000;49.37;49.37;49.31;49.31;2525;49.3501
29.11.2021;09:34:00-000;49.525;49.525;49.27;49.27;1100;49.5018
29.11.2021;09:36:00-000;49.27;49.27;49.27;49.27;133;49.2677
29.11.2021;09:37:00-000;49.26;49.26;49.23;49.23;2045;49.2522
29.11.2021;09:41:00-000;49.29;49.35;49.29;49.35;4577;49.3488
29.11.2021;09:42:00-000;49.435;49.435;49.435;49.435;102;49.4361
29.11.2021;09:44:00-000;49.43;49.46;49.4;49.425;3684;49.4305
29.11.2021;09:45:00-000;49.46;49.46;49.39;49.4;5505;49.4419
29.11.2021;09:47:00-000;49.4;49.41;49.4;49.41;500;49.408
29.11.2021;09:49:00-000;49.509;49.51;49.42;49.42;3725;49.4857
29.11.2021;09:50:00-000;49.46;49.47;49.45;49.46;2479;49.4628
29.11.2021;09:52:00-000;49.42;49.42;49.38;49.38;952;49.396
29.11.2021;09:53:00-000;49.39;49.44;49.39;49.44;940;49.4341
29.11.2021;09:54:00-000;49.5096;49.51;49.5;49.5;3356;49.5004
29.11.2021;09:56:00-000;49.5;49.52;49.46;49.46;900;49.5067
29.11.2021;09:58:00-000;49.48;49.48;49.48;49.48;127;49.4822
29.11.2021;10:00:00-000;49.49;49.53;49.43;49.53;4339;49.4828
29.11.2021;10:01:00-000;49.4989;49.4989;49.4989;49.4989;106;49.5002
29.11.2021;10:02:00-000;49.54;49.54;49.51;49.51;2609;49.5289
29.11.2021;10:03:00-000;49.45;49.455;49.43;49.455;502;49.443
29.11.2021;10:04:00-000;49.43;49.43;49.37;49.37;1358;49.3958
29.11.2021;10:05:00-000;49.37;49.42;49.37;49.42;790;49.3894
29.11.2021;10:06:00-000;49.46;49.5;49.44;49.5;2003;49.4639
29.11.2021;10:08:00-000;49.51;49.51;49.47;49.47;4739;49.4957
29.11.2021;10:09:00-000;49.51;49.51;49.51;49.51;231;49.5144
29.11.2021;10:12:00-000;49.53;49.53;49.49;49.49;1458;49.5123
29.11.2021;10:13:00-000;49.48;49.51;49.48;49.51;1053;49.5005
29.11.2021;10:14:00-000;49.55;49.55;49.55;49.55;128;49.55
29.11.2021;10:15:00-000;49.53;49.62;49.53;49.62;2660;49.5599
29.11.2021;10:16:00-000;49.67;49.67;49.67;49.67;117;49.6628
29.11.2021;10:17:00-000;49.67;49.67;49.625;49.625;300;49.6549
29.11.2021;10:18:00-000;49.67;49.719;49.67;49.719;3390;49.6998
29.11.2021;10:19:00-000;49.72;49.72;49.72;49.72;360;49.7161
29.11.2021;10:20:00-000;49.78;49.78;49.78;49.78;871;49.7776
29.11.2021;10:21:00-000;49.78;49.86;49.78;49.86;3712;49.8194
29.11.2021;10:22:00-000;49.86;49.87;49.82;49.82;6942;49.8574
29.11.2021;10:23:00-000;49.85;49.85;49.82;49.849;1520;49.8466
29.11.2021;10:24:00-000;49.85;49.91;49.85;49.89;1005;49.893
29.11.2021;10:25:00-000;49.84;49.84;49.84;49.84;1465;49.8391
29.11.2021;10:26:00-000;49.79;49.85;49.77;49.825;5883;49.7959
29.11.2021;10:27:00-000;49.82;49.82;49.71;49.72;3562;49.7468
29.11.2021;10:28:00-000;49.66;49.66;49.66;49.66;200;49.66
29.11.2021;10:29:00-000;49.7;49.7;49.66;49.66;552;49.6889
29.11.2021;10:30:00-000;49.71;49.71;49.71;49.71;116;49.7049
29.11.2021;10:31:00-000;49.65;49.65;49.44;49.44;2586;49.5881
29.11.2021;10:33:00-000;49.5;49.5;49.5;49.5;1209;49.4981
29.11.2021;10:34:00-000;49.48;49.49;49.48;49.49;209;49.4858
29.11.2021;10:35:00-000;49.53;49.6;49.53;49.59;2400;49.5656
29.11.2021;10:36:00-000;49.59;49.59;49.531;49.531;1378;49.5596
29.11.2021;10:37:00-000;49.56;49.56;49.51;49.54;2215;49.5274
29.11.2021;10:38:00-000;49.51;49.51;49.51;49.51;241;49.5146
29.11.2021;10:39:00-000;49.51;49.56;49.51;49.56;1322;49.5435
29.11.2021;10:41:00-000;49.55;49.55;49.5;49.5;1805;49.533
29.11.2021;10:43:00-000;49.48;49.48;49.48;49.48;280;49.4802
29.11.2021;10:44:00-000;49.505;49.505;49.48;49.48;261;49.5013
29.11.2021;10:45:00-000;49.53;49.58;49.53;49.56;2211;49.545
29.11.2021;10:47:00-000;49.56;49.57;49.56;49.57;228;49.5668
29.11.2021;10:48:00-000;49.56;49.57;49.54;49.54;3160;49.5564
29.11.2021;10:49:00-000;49.49;49.49;49.49;49.49;253;49.4963
29.11.2021;10:50:00-000;49.475;49.475;49.475;49.475;118;49.475
29.11.2021;10:51:00-000;49.5;49.5;49.5;49.5;1419;49.5001
29.11.2021;10:52:00-000;49.53;49.53;49.53;49.53;792;49.53
29.11.2021;10:53:00-000;49.56;49.56;49.56;49.56;967;49.5602
29.11.2021;10:54:00-000;49.585;49.585;49.56;49.56;2190;49.5723
29.11.2021;10:55:00-000;49.58;49.58;49.58;49.58;363;49.5798
29.11.2021;10:56:00-000;49.61;49.63;49.61;49.63;747;49.6187
29.11.2021;10:57:00-000;49.63;49.63;49.61;49.61;1584;49.6088
29.11.2021;10:58:00-000;49.61;49.61;49.57;49.57;1243;49.5773
29.11.2021;10:59:00-000;49.57;49.57;49.56;49.56;1520;49.5659
29.11.2021;11:01:00-000;49.54;49.54;49.54;49.54;225;49.5419
29.11.2021;11:02:00-000;49.59;49.59;49.56;49.56;1873;49.5809
29.11.2021;11:03:00-000;49.585;49.585;49.585;49.585;120;49.5858
29.11.2021;11:04:00-000;49.61;49.65;49.61;49.65;1645;49.6157
29.11.2021;11:05:00-000;49.65;49.65;49.62;49.62;1228;49.6431
29.11.2021;11:06:00-000;49.66;49.7;49.66;49.67;2071;49.6727
29.11.2021;11:07:00-000;49.67;49.67;49.65;49.65;600;49.65
29.11.2021;11:08:00-000;49.69;49.73;49.69;49.73;1507;49.709
29.11.2021;11:09:00-000;49.73;49.74;49.73;49.74;1883;49.7301
29.11.2021;11:10:00-000;49.72;49.72;49.72;49.72;408;49.7223
29.11.2021;11:11:00-000;49.73;49.73;49.73;49.73;208;49.7299
29.11.2021;11:12:00-000;49.72;49.72;49.71;49.71;3048;49.7146
29.11.2021;11:13:00-000;49.7;49.7;49.65;49.65;605;49.6702
29.11.2021;11:14:00-000;49.65;49.69;49.65;49.68;1605;49.6693
29.11.2021;11:15:00-000;49.68;49.71;49.68;49.69;2763;49.6981
29.11.2021;11:16:00-000;49.66;49.66;49.66;49.66;423;49.66
29.11.2021;11:17:00-000;49.64;49.64;49.6;49.6;966;49.6102
29.11.2021;11:20:00-000;49.57;49.58;49.57;49.57;1243;49.5709
29.11.2021;11:21:00-000;49.57;49.58;49.57;49.58;547;49.5719
29.11.2021;11:22:00-000;49.58;49.58;49.56;49.56;1027;49.562
29.11.2021;11:23:00-000;49.55;49.55;49.55;49.55;259;49.5532
29.11.2021;11:25:00-000;49.52;49.53;49.51;49.53;3136;49.5222
29.11.2021;11:26:00-000;49.56;49.56;49.535;49.535;1139;49.5523
29.11.2021;11:27:00-000;49.51;49.51;49.5;49.509;839;49.5086
29.11.2021;11:28:00-000;49.51;49.52;49.48;49.51;5954;49.5028
29.11.2021;11:29:00-000;49.53;49.53;49.49;49.52;2462;49.5163
29.11.2021;11:30:00-000;49.49;49.535;49.49;49.535;1023;49.5166
29.11.2021;11:31:00-000;49.56;49.57;49.5499;49.55;2189;49.5545
29.11.2021;11:33:00-000;49.54;49.57;49.54;49.57;1487;49.5572
29.11.2021;11:34:00-000;49.54;49.56;49.51;49.55;3830;49.5352
29.11.2021;11:35:00-000;49.58;49.58;49.58;49.58;481;49.5767
29.11.2021;11:36:00-000;49.55;49.55;49.54;49.54;729;49.5456
29.11.2021;11:37:00-000;49.53;49.57;49.53;49.57;579;49.5631
29.11.2021;11:39:00-000;49.59;49.61;49.57;49.61;2835;49.5923
29.11.2021;11:40:00-000;49.64;49.64;49.63;49.63;635;49.6348
