Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:12:00-000;0.77;0.77;0.77;0.77;2200;0.77
29.11.2021;09:30:00-000;0.76;0.7699;0.75;0.76;23626;0.7573
29.11.2021;09:31:00-000;0.76;0.76;0.7508;0.7508;2441;0.7519
29.11.2021;09:32:00-000;0.75;0.7501;0.75;0.75;21474;0.75
29.11.2021;09:33:00-000;0.759;0.759;0.75;0.75;2207;0.754
29.11.2021;09:34:00-000;0.7501;0.7584;0.747;0.7471;20219;0.7483
29.11.2021;09:35:00-000;0.747;0.747;0.7433;0.7433;2570;0.7466
29.11.2021;09:36:00-000;0.7433;0.768;0.7429;0.75;5320;0.7485
29.11.2021;09:37:00-000;0.745;0.7451;0.745;0.745;1083;0.745
29.11.2021;09:38:00-000;0.7451;0.7452;0.745;0.745;2608;0.745
29.11.2021;09:40:00-000;0.7454;0.7454;0.745;0.745;854;0.7453
29.11.2021;09:44:00-000;0.7453;0.7476;0.7453;0.7453;6501;0.7461
29.11.2021;09:45:00-000;0.7454;0.7651;0.7452;0.7651;8905;0.7512
29.11.2021;09:46:00-000;0.7531;0.7531;0.746;0.746;6924;0.7504
29.11.2021;09:48:00-000;0.7481;0.7481;0.7481;0.7481;100;0.7481
29.11.2021;09:49:00-000;0.7481;0.7482;0.745;0.745;2022;0.7465
29.11.2021;09:51:00-000;0.7581;0.7581;0.7581;0.7581;100;0.7581
29.11.2021;09:53:00-000;0.7598;0.7598;0.7598;0.7598;125;0.7599
29.11.2021;10:00:00-000;0.75;0.75;0.7498;0.7498;2000;0.7499
29.11.2021;10:07:00-000;0.7499;0.7499;0.7499;0.7499;925;0.7499
29.11.2021;10:10:00-000;0.75;0.75;0.7499;0.7499;600;0.7499
29.11.2021;10:11:00-000;0.746;0.7461;0.745;0.745;4746;0.7455
29.11.2021;10:12:00-000;0.7451;0.759;0.7451;0.75;6841;0.75
29.11.2021;10:15:00-000;0.75;0.75;0.75;0.75;1000;0.75
29.11.2021;10:17:00-000;0.757;0.757;0.757;0.757;100;0.757
29.11.2021;10:20:00-000;0.7519;0.7519;0.7519;0.7519;501;0.7519
29.11.2021;10:21:00-000;0.7501;0.7501;0.7501;0.7501;1100;0.7501
29.11.2021;10:24:00-000;0.75;0.75;0.75;0.75;450;0.75
29.11.2021;10:29:00-000;0.75;0.75;0.75;0.75;209;0.75
29.11.2021;10:30:00-000;0.75;0.75;0.75;0.75;6000;0.75
29.11.2021;10:36:00-000;0.755;0.755;0.755;0.755;135;0.755
29.11.2021;10:40:00-000;0.75;0.7597;0.75;0.7597;3600;0.7503
29.11.2021;10:41:00-000;0.7597;0.7597;0.7597;0.7597;1000;0.7598
29.11.2021;10:46:00-000;0.75;0.75;0.75;0.75;100;0.75
29.11.2021;10:54:00-000;0.755;0.755;0.755;0.755;100;0.755
29.11.2021;10:56:00-000;0.75;0.75;0.75;0.75;100;0.75
29.11.2021;11:05:00-000;0.75;0.75;0.75;0.75;100;0.75
29.11.2021;11:11:00-000;0.75;0.75;0.75;0.75;450;0.75
29.11.2021;11:13:00-000;0.7566;0.7566;0.7566;0.7566;6000;0.7566
29.11.2021;11:14:00-000;0.7566;0.7566;0.7566;0.7566;670;0.7566
29.11.2021;11:19:00-000;0.7502;0.7502;0.7501;0.7502;500;0.7502
29.11.2021;11:20:00-000;0.7501;0.7501;0.75;0.75;1100;0.7501
29.11.2021;11:22:00-000;0.75;0.7501;0.75;0.7501;8219;0.7501
29.11.2021;11:23:00-000;0.75;0.75;0.75;0.75;1000;0.7501
29.11.2021;11:24:00-000;0.7501;0.7501;0.7501;0.7501;1200;0.7501
29.11.2021;11:25:00-000;0.7501;0.7501;0.7501;0.7501;2000;0.7501
29.11.2021;11:27:00-000;0.75;0.75;0.75;0.75;200;0.75
29.11.2021;11:29:00-000;0.7501;0.7501;0.7501;0.7501;1315;0.7501
29.11.2021;11:31:00-000;0.75;0.7501;0.75;0.7501;2510;0.7501
29.11.2021;11:34:00-000;0.75;0.75;0.75;0.75;900;0.75
29.11.2021;11:35:00-000;0.75;0.75;0.75;0.75;100;0.75
29.11.2021;11:36:00-000;0.75;0.75;0.75;0.75;2380;0.75
