Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;22.61;22.61;22.61;22.61;1290;22.6099
29.11.2021;09:31:00-000;22.645;22.645;22.645;22.645;135;22.645
29.11.2021;09:32:00-000;22.64;22.79;22.61;22.79;2972;22.7256
29.11.2021;09:33:00-000;22.79;22.8;22.73;22.8;359;22.7764
29.11.2021;09:34:00-000;22.81;23.06;22.81;23.06;2362;22.8671
29.11.2021;09:35:00-000;23.07;23.07;22.95;22.99;5160;23.0113
29.11.2021;09:36:00-000;22.95;23.29;22.93;23.22;9314;23.0552
29.11.2021;09:37:00-000;23.31;23.67;23.27;23.66;13428;23.4196
29.11.2021;09:38:00-000;23.48;23.56;23.315;23.32;5484;23.4337
29.11.2021;09:39:00-000;23.39;23.55;23.39;23.55;3176;23.4376
29.11.2021;09:40:00-000;23.58;23.83;23.54;23.735;4253;23.6424
29.11.2021;09:41:00-000;23.79;23.79;23.635;23.735;5608;23.7331
29.11.2021;09:42:00-000;23.79;24.21;23.78;24.21;6965;23.9662
29.11.2021;09:43:00-000;24.135;24.22;24;24.195;17979;24.1092
29.11.2021;09:44:00-000;24.255;24.34;24.245;24.245;2376;24.2855
29.11.2021;09:45:00-000;24.19;24.36;24.11;24.36;7268;24.2111
29.11.2021;09:46:00-000;24.36;24.5825;24.33;24.5;11044;24.4548
29.11.2021;09:47:00-000;24.42;24.46;24.22;24.3;18445;24.3218
29.11.2021;09:48:00-000;24.24;24.46;24.22;24.46;16232;24.3365
29.11.2021;09:49:00-000;24.395;24.47;24.32;24.41;14881;24.4022
29.11.2021;09:50:00-000;24.36;24.44;24.22;24.39;11877;24.3263
29.11.2021;09:51:00-000;24.44;24.44;24.275;24.34;24916;24.3632
29.11.2021;09:52:00-000;24.34;24.45;24.29;24.41;45018;24.3856
29.11.2021;09:53:00-000;24.36;24.37;24.22;24.25;3363;24.3016
29.11.2021;09:54:00-000;24.12;24.2;24;24.155;11539;24.1029
29.11.2021;09:55:00-000;24.155;24.155;24.025;24.0575;5272;24.0817
29.11.2021;09:56:00-000;24.09;24.1;23.95;23.955;18777;24.0422
29.11.2021;09:57:00-000;23.97;24;23.95;23.95;1200;23.9966
29.11.2021;09:58:00-000;23.995;23.995;23.9;23.9;4874;23.9258
29.11.2021;09:59:00-000;23.94;24;23.94;24;4200;23.9565
29.11.2021;10:00:00-000;23.98;23.99;23.9;23.935;8180;23.9397
29.11.2021;10:01:00-000;23.87;24.05;23.86;24.01;8663;23.9296
29.11.2021;10:02:00-000;24.03;24.04;23.985;24.04;5852;24.0019
29.11.2021;10:03:00-000;24.05;24.06;23.915;23.96;3784;23.9766
29.11.2021;10:04:00-000;23.93;24.16;23.93;24.16;9549;24.0544
29.11.2021;10:05:00-000;24.12;24.17;24.1;24.14;4450;24.1294
29.11.2021;10:06:00-000;24.143;24.143;24.08;24.11;7953;24.1071
29.11.2021;10:07:00-000;24.11;24.11;24.01;24.025;5772;24.0611
29.11.2021;10:08:00-000;24.04;24.05;23.88;23.91;8707;24.0006
29.11.2021;10:09:00-000;23.91;24.19;23.88;24.19;7675;23.9829
29.11.2021;10:10:00-000;24.19;24.29;24.095;24.095;7857;24.2197
29.11.2021;10:11:00-000;24.09;24.09;24.07;24.07;960;24.0964
29.11.2021;10:12:00-000;24.06;24.06;24;24;1776;24.0516
29.11.2021;10:13:00-000;24;24.06;23.96;23.96;2589;24.0024
29.11.2021;10:14:00-000;23.94;23.98;23.94;23.975;1039;23.9704
29.11.2021;10:15:00-000;23.95;24.095;23.95;24.095;3397;24.0182
29.11.2021;10:16:00-000;24.1;24.14;24.05;24.14;1500;24.1028
29.11.2021;10:17:00-000;24.105;24.11;24.05;24.05;2516;24.0795
29.11.2021;10:18:00-000;24.075;24.075;24.025;24.025;1704;24.0473
29.11.2021;10:19:00-000;24.05;24.05;24;24;3385;24.0361
29.11.2021;10:20:00-000;24;24;23.95;23.95;1044;23.9942
29.11.2021;10:21:00-000;23.985;24.06;23.985;24.035;40417;24.0185
29.11.2021;10:22:00-000;24.035;24.14;24.035;24.05;20628;24.0623
29.11.2021;10:23:00-000;24.055;24.055;23.975;23.975;3181;24.0009
29.11.2021;10:24:00-000;23.975;23.975;23.975;23.975;314;23.9754
29.11.2021;10:26:00-000;23.975;24.03;23.975;24.01;2222;23.9939
29.11.2021;10:27:00-000;24.015;24.07;24.015;24.065;1000;24.0405
29.11.2021;10:28:00-000;24.07;24.07;24.04;24.04;952;24.0453
29.11.2021;10:29:00-000;24.1;24.12;24.1;24.12;5097;24.1153
