Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;108.03;108.5;108.02;108.03;6908;108.04
29.11.2021;09:31:00-000;107.66;107.66;107;107.23;1690;107.327
29.11.2021;09:32:00-000;107.225;107.225;107.01;107.19;734;107.188
29.11.2021;09:33:00-000;107.68;107.68;106.79;106.79;396;107.302
29.11.2021;09:34:00-000;106.513;107.79;106.513;107.63;1879;107.243
29.11.2021;09:35:00-000;107.55;107.71;106.84;107.65;2960;107.188
29.11.2021;09:36:00-000;107.055;107.61;106.64;107.61;2521;107.078
29.11.2021;09:37:00-000;107.38;107.51;107.38;107.51;540;107.46
29.11.2021;09:38:00-000;107.075;107.39;106.72;106.92;6830;107.028
29.11.2021;09:39:00-000;107.31;107.36;107.31;107.36;1127;107.312
29.11.2021;09:40:00-000;107.05;107.05;106.765;106.77;1717;106.795
29.11.2021;09:41:00-000;106.26;106.565;105.87;106.565;593;106.285
29.11.2021;09:42:00-000;106.09;106.52;106.03;106.03;1113;106.256
29.11.2021;09:43:00-000;105.85;106.291;105.8;106.25;1751;105.963
29.11.2021;09:44:00-000;105.8;106.06;105.63;105.85;778;105.779
29.11.2021;09:45:00-000;105.62;106;105.62;105.773;1468;105.733
29.11.2021;09:46:00-000;105.525;105.525;104.2;104.97;4878;105.033
29.11.2021;09:47:00-000;104.77;104.848;104.625;104.63;4002;104.732
29.11.2021;09:48:00-000;104.765;105.15;104.765;104.935;3934;104.957
29.11.2021;09:49:00-000;105.21;105.21;104.68;104.74;2873;104.939
29.11.2021;09:50:00-000;104.83;105.16;104.83;105.16;2739;105.093
29.11.2021;09:51:00-000;104.91;104.91;104.91;104.91;134;104.911
29.11.2021;09:52:00-000;105.08;105.1;105.08;105.09;1153;105.087
29.11.2021;09:53:00-000;105.2;105.46;105.2;105.46;725;105.287
29.11.2021;09:55:00-000;106.01;106.51;106.01;106.11;810;106.183
29.11.2021;09:56:00-000;106.92;106.92;106.92;106.92;173;106.836
29.11.2021;09:57:00-000;106.84;106.94;106.57;106.662;3265;106.804
29.11.2021;09:58:00-000;106.79;106.96;106.79;106.93;1526;106.875
29.11.2021;09:59:00-000;107.425;107.425;106.85;107.06;1315;106.977
29.11.2021;10:00:00-000;106.81;107.115;106.81;107.115;568;106.878
29.11.2021;10:01:00-000;107.025;107.025;106.87;106.905;1252;106.918
29.11.2021;10:02:00-000;107.02;107.13;106.8;107.13;2719;107.009
29.11.2021;10:04:00-000;106.92;106.95;106.64;106.95;1315;106.862
29.11.2021;10:05:00-000;106.635;106.99;106.635;106.67;852;106.889
29.11.2021;10:07:00-000;107.09;107.19;106.83;106.96;2100;107.019
29.11.2021;10:08:00-000;106.78;106.78;106.52;106.52;412;106.681
29.11.2021;10:09:00-000;106.455;106.52;106.455;106.52;537;106.571
29.11.2021;10:10:00-000;106.465;106.705;106.465;106.465;632;106.642
29.11.2021;10:11:00-000;106.12;106.517;106.09;106.35;1728;106.212
29.11.2021;10:12:00-000;106.2;106.2;105.79;106.005;3302;106.029
29.11.2021;10:13:00-000;105.77;105.825;105.55;105.55;1021;105.676
29.11.2021;10:14:00-000;105.24;105.38;104.985;104.985;1855;105.052
29.11.2021;10:15:00-000;104.99;105.22;104.834;105.055;5950;105.079
29.11.2021;10:16:00-000;105.02;105.02;104.85;104.85;10855;104.991
29.11.2021;10:17:00-000;105;105.03;104.65;104.82;1400;104.829
29.11.2021;10:18:00-000;105.05;105.42;105.04;105.42;3851;105.176
29.11.2021;10:19:00-000;105.415;105.415;105.415;105.415;391;105.424
29.11.2021;10:20:00-000;105.42;105.637;105.42;105.445;1306;105.513
29.11.2021;10:21:00-000;105.629;105.629;105.6;105.6;393;105.583
29.11.2021;10:22:00-000;105.41;105.41;105.41;105.41;281;105.533
29.11.2021;10:24:00-000;105.7;105.7;105.7;105.7;346;105.65
29.11.2021;10:25:00-000;105.7;105.83;105.655;105.655;703;105.705
29.11.2021;10:26:00-000;105.645;105.645;105.32;105.32;1505;105.482
29.11.2021;10:27:00-000;104.995;104.995;104.68;104.86;780;104.767
29.11.2021;10:28:00-000;104.93;104.93;104.52;104.52;2009;104.747
29.11.2021;10:29:00-000;104.56;104.78;104.56;104.76;2798;104.643
29.11.2021;10:30:00-000;104.619;104.87;104.61;104.87;887;104.678
29.11.2021;10:31:00-000;104.91;104.91;104.79;104.79;540;104.835
29.11.2021;10:32:00-000;104.3;104.3;104.3;104.3;715;104.407
29.11.2021;10:33:00-000;104.14;104.27;103.715;103.715;25232;105.673
29.11.2021;10:34:00-000;104.18;104.21;104.18;104.2;838;104.228
29.11.2021;10:35:00-000;104.34;104.65;104.34;104.65;1069;104.383
29.11.2021;10:37:00-000;104.51;104.51;104.51;104.51;202;104.516
29.11.2021;10:38:00-000;104.265;104.265;103.91;104.06;1568;104.047
29.11.2021;10:39:00-000;103.885;103.885;103.885;103.885;291;103.89
29.11.2021;10:40:00-000;103.89;103.89;103.73;103.73;513;103.795
29.11.2021;10:41:00-000;104.106;104.106;103.71;103.71;1324;104.017
29.11.2021;10:42:00-000;103.71;103.71;103.24;103.27;3695;103.398
29.11.2021;10:43:00-000;103.255;103.52;103.255;103.43;2162;103.44
29.11.2021;10:44:00-000;103.6;103.75;103.51;103.75;1195;103.626
29.11.2021;10:45:00-000;103.605;103.89;103.605;103.89;801;103.756
29.11.2021;10:46:00-000;103.92;103.938;103.76;103.76;1607;103.8
29.11.2021;10:47:00-000;103.64;103.64;103.63;103.63;358;103.653
29.11.2021;10:48:00-000;103.91;103.92;103.91;103.92;520;103.908
29.11.2021;10:49:00-000;103.92;103.92;103.51;103.51;1486;103.741
29.11.2021;10:50:00-000;103.615;103.73;103.12;103.12;2444;103.311
29.11.2021;10:51:00-000;103.12;103.12;103.03;103.08;671;103.096
29.11.2021;10:52:00-000;103.14;103.21;102.8;103.08;6475;103.055
29.11.2021;10:53:00-000;103.11;103.41;102.97;103.41;7382;103.164
29.11.2021;10:54:00-000;103.365;103.615;103.365;103.55;2060;103.533
29.11.2021;10:55:00-000;103.49;103.51;103.305;103.305;480;103.504
29.11.2021;10:56:00-000;103.69;103.7;103.58;103.58;980;103.6
29.11.2021;10:57:00-000;103.75;103.75;103.54;103.705;336;103.678
29.11.2021;10:58:00-000;103.52;103.52;103.52;103.52;194;103.606
29.11.2021;10:59:00-000;103.73;103.85;103.73;103.85;403;103.764
29.11.2021;11:00:00-000;103.735;103.85;103.53;103.6;5043;103.729
29.11.2021;11:01:00-000;103.585;103.68;103.545;103.555;1469;103.615
29.11.2021;11:02:00-000;103.48;103.75;103.48;103.72;2719;103.672
29.11.2021;11:03:00-000;103.755;103.875;103.6;103.79;1522;103.734
29.11.2021;11:04:00-000;103.79;103.79;103.79;103.79;662;103.776
29.11.2021;11:05:00-000;103.79;103.88;103.68;103.78;1227;103.765
29.11.2021;11:06:00-000;103.69;103.88;103.65;103.755;2221;103.766
29.11.2021;11:07:00-000;103.755;103.92;103.39;103.9;4802;103.698
29.11.2021;11:08:00-000;104.01;104.147;104.01;104.015;852;103.985
29.11.2021;11:09:00-000;104.015;104.34;104.01;104.31;2630;104.181
29.11.2021;11:10:00-000;104.32;104.32;104.32;104.32;1410;104.345
29.11.2021;11:11:00-000;104.517;104.65;104.35;104.65;7456;104.517
29.11.2021;11:12:00-000;104.39;104.74;104.39;104.74;1001;104.605
29.11.2021;11:13:00-000;104.75;104.87;104.62;104.87;1837;104.754
29.11.2021;11:14:00-000;104.87;104.975;104.75;104.975;1226;104.846
29.11.2021;11:15:00-000;104.98;105.08;104.98;104.98;1468;105.015
29.11.2021;11:16:00-000;104.95;105.04;104.86;104.86;1302;104.908
29.11.2021;11:17:00-000;104.82;104.825;104.47;104.77;3791;104.658
29.11.2021;11:18:00-000;104.775;104.78;104.72;104.78;514;104.716
29.11.2021;11:19:00-000;105.04;105.04;104.81;104.81;731;104.899
29.11.2021;11:20:00-000;104.995;105.215;104.895;105.21;1665;105.027
29.11.2021;11:21:00-000;105.185;105.277;105.17;105.17;368;105.214
29.11.2021;11:22:00-000;105.28;105.47;105.25;105.45;2075;105.324
29.11.2021;11:23:00-000;105.48;105.48;105.275;105.275;2423;105.388
29.11.2021;11:24:00-000;105.385;105.385;105.385;105.385;437;105.4
29.11.2021;11:25:00-000;105.26;105.26;105.05;105.135;1407;105.187
29.11.2021;11:27:00-000;105.247;105.247;104.86;105.01;2236;104.99
29.11.2021;11:28:00-000;105.027;105.027;104.855;104.855;418;105.048
29.11.2021;11:29:00-000;104.76;104.76;104.57;104.57;706;104.642
29.11.2021;11:30:00-000;104.69;104.72;104.66;104.66;1614;104.693
29.11.2021;11:31:00-000;104.64;104.64;104.61;104.61;833;104.675
29.11.2021;11:32:00-000;104.323;104.45;104.18;104.18;7004;104.325
29.11.2021;11:33:00-000;104.18;104.18;104.11;104.11;757;104.154
29.11.2021;11:34:00-000;104.065;104.065;103.83;103.83;750;104.031
29.11.2021;11:35:00-000;103.98;103.98;103.84;103.86;4677;103.934
29.11.2021;11:36:00-000;103.86;103.92;103.68;103.81;4187;103.869
29.11.2021;11:37:00-000;103.93;104.1;103.93;103.935;1623;103.992
29.11.2021;11:38:00-000;103.965;104.077;103.965;104.077;1710;104.045
29.11.2021;11:39:00-000;104.09;104.255;104.09;104.255;1189;104.158
29.11.2021;11:40:00-000;104.175;104.2;104.13;104.2;5571;104.194
29.11.2021;11:41:00-000;104.14;104.22;104.04;104.22;862;104.14
29.11.2021;11:42:00-000;104.335;104.34;104.335;104.34;408;104.295
29.11.2021;11:43:00-000;104.327;104.327;104.235;104.26;856;104.272
29.11.2021;11:44:00-000;104.45;104.45;104.325;104.325;553;104.364
29.11.2021;11:45:00-000;104.19;104.19;104.19;104.19;246;104.3
29.11.2021;11:46:00-000;104.19;104.19;104.19;104.19;448;104.206
29.11.2021;11:47:00-000;104.145;104.145;104.145;104.145;115;104.157
29.11.2021;11:48:00-000;104.21;104.21;104.21;104.21;479;104.226
29.11.2021;11:49:00-000;104.115;104.197;103.98;103.98;1665;104.086
29.11.2021;11:50:00-000;103.88;103.88;103.88;103.88;364;103.894
29.11.2021;11:51:00-000;103.905;103.905;103.69;103.72;2861;103.832
29.11.2021;11:53:00-000;103.71;103.71;103.54;103.625;320;103.627
29.11.2021;11:54:00-000;103.49;103.49;103.38;103.38;751;103.579
29.11.2021;11:55:00-000;103.39;103.39;103.38;103.38;310;103.386
29.11.2021;11:56:00-000;103.22;103.65;103.22;103.65;2692;103.522
29.11.2021;11:57:00-000;103.66;103.66;103.66;103.66;373;103.635
29.11.2021;11:58:00-000;103.68;103.68;103.68;103.68;211;103.65
29.11.2021;11:59:00-000;103.685;103.685;103.53;103.53;224;103.614
29.11.2021;12:01:00-000;103.81;103.81;103.68;103.68;284;103.752
29.11.2021;12:02:00-000;103.48;103.685;103.48;103.685;340;103.639
29.11.2021;12:03:00-000;103.68;104.07;103.68;104.07;1984;103.895
29.11.2021;12:04:00-000;104.2;104.31;104.035;104.31;1071;104.181
29.11.2021;12:05:00-000;104.16;104.39;104.16;104.17;1790;104.262
29.11.2021;12:06:00-000;104.305;104.305;104.19;104.19;343;104.264
29.11.2021;12:07:00-000;104.3;104.3;104.295;104.295;830;104.246
29.11.2021;12:08:00-000;104.31;104.32;104.31;104.32;363;104.315
29.11.2021;12:09:00-000;104.295;104.295;104.175;104.175;1253;104.223
29.11.2021;12:10:00-000;104.39;104.39;104.39;104.39;478;104.359
29.11.2021;12:12:00-000;104.23;104.29;104;104;1479;104.158
29.11.2021;12:13:00-000;104.12;104.17;104.09;104.17;859;104.096
29.11.2021;12:14:00-000;104;104;104;104;249;104.095
29.11.2021;12:15:00-000;104.18;104.25;104.175;104.25;825;104.224
29.11.2021;12:16:00-000;104.14;104.14;104.14;104.14;292;104.147
29.11.2021;12:17:00-000;104.14;104.14;103.93;103.93;1082;104.086
29.11.2021;12:18:00-000;103.92;103.92;103.9;103.9;259;103.909
29.11.2021;12:20:00-000;104.02;104.05;103.97;103.97;678;103.99
29.11.2021;12:21:00-000;104.05;104.117;104.05;104.117;1726;104.053
29.11.2021;12:23:00-000;104.16;104.16;103.971;104.07;2492;104.01
29.11.2021;12:24:00-000;104.094;104.094;104.005;104.005;733;104.022
29.11.2021;12:25:00-000;103.985;103.985;103.985;103.985;197;103.985
29.11.2021;12:26:00-000;104.12;104.12;104.01;104.12;921;104.102
29.11.2021;12:27:00-000;104.22;104.297;104.215;104.215;756;104.232
29.11.2021;12:28:00-000;104.225;104.31;104.225;104.27;521;104.274
29.11.2021;12:30:00-000;104.39;104.52;104.39;104.435;2334;104.442
29.11.2021;12:32:00-000;104.34;104.48;104.22;104.22;1858;104.315
29.11.2021;12:33:00-000;104.22;104.34;104.22;104.34;512;104.31
29.11.2021;12:35:00-000;104.365;104.37;104.27;104.37;1970;104.348
29.11.2021;12:36:00-000;104.325;104.325;104.3;104.3;1089;104.23
29.11.2021;12:37:00-000;104.15;104.15;103.933;103.933;1131;104.074
29.11.2021;12:39:00-000;104.055;104.11;103.98;103.98;645;104.035
29.11.2021;12:40:00-000;104.01;104.17;104.01;104.115;1871;104.105
29.11.2021;12:41:00-000;104.06;104.16;104.05;104.055;1036;104.103
29.11.2021;12:42:00-000;104.135;104.15;104.05;104.05;608;104.095
29.11.2021;12:43:00-000;104;104.01;104;104;811;103.989
29.11.2021;12:44:00-000;104.02;104.1;104.02;104.1;410;104.042
29.11.2021;12:45:00-000;104.09;104.16;104.05;104.16;3459;104.102
29.11.2021;12:47:00-000;104.04;104.15;104.04;104.055;923;104.082
29.11.2021;12:48:00-000;104.15;104.25;104.15;104.25;1891;104.208
29.11.2021;12:49:00-000;104.22;104.22;104.22;104.22;111;104.236
