Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;13.09;13.09;13.09;13.09;101;13.0906
29.11.2021;10:17:00-000;13;13;12.95;12.95;2201;12.9978
29.11.2021;10:25:00-000;12.91;12.91;12.91;12.91;201;12.9095
29.11.2021;10:39:00-000;13;13;12.92;12.92;2101;12.9961
29.11.2021;10:42:00-000;12.92;12.92;12.92;12.92;100;12.92
29.11.2021;11:01:00-000;12.92;12.92;12.92;12.92;103;12.9205
29.11.2021;11:06:00-000;12.91;12.91;12.91;12.91;101;12.9115
29.11.2021;11:27:00-000;12.895;12.895;12.895;12.895;101;12.8938
29.11.2021;11:37:00-000;12.895;12.895;12.895;12.895;101;12.8938
29.11.2021;11:53:00-000;12.895;12.895;12.895;12.895;100;12.895
29.11.2021;12:13:00-000;12.895;12.895;12.895;12.895;146;12.8437
29.11.2021;12:33:00-000;12.77;12.77;12.77;12.77;100;12.77
29.11.2021;13:01:00-000;13.07;13.08;12.96;12.96;686;13.0629
29.11.2021;13:03:00-000;13.09;13.09;13.09;13.09;200;13.09
29.11.2021;13:04:00-000;13.1;13.1;13.1;13.1;240;13.0843
29.11.2021;13:06:00-000;13.1;13.1;13.09;13.09;301;13.0967
29.11.2021;13:12:00-000;13.11;13.11;13.1;13.1;428;13.1047
29.11.2021;13:16:00-000;13.11;13.11;12.95;13.1;4786;13.0684
29.11.2021;13:17:00-000;13.1;13.1;13.1;13.1;482;13.0987
29.11.2021;13:18:00-000;13.1;13.1;13.1;13.1;100;13.1
29.11.2021;13:19:00-000;13.1;13.1;13.09;13.09;200;13.095
29.11.2021;13:20:00-000;13;13;13;13;200;13
29.11.2021;13:21:00-000;13;13;13;13;379;13
29.11.2021;13:22:00-000;13;13;13;13;200;13
29.11.2021;13:24:00-000;13;13;13;13;100;13
29.11.2021;13:25:00-000;13;13;13;13;100;13
29.11.2021;13:26:00-000;13;13;13;13;100;13
29.11.2021;13:28:00-000;12.85;12.85;12.85;12.85;337;12.85
29.11.2021;13:42:00-000;12.7;12.7;12.7;12.7;1000;12.7
29.11.2021;13:48:00-000;12.9712;12.9712;12.9712;12.9712;165;12.9714
29.11.2021;13:49:00-000;12.85;12.85;12.85;12.85;100;12.85
29.11.2021;14:09:00-000;12.845;12.845;12.845;12.845;101;12.8436
29.11.2021;14:15:00-000;12.81;12.81;12.81;12.81;100;12.81
29.11.2021;14:31:00-000;12.71;12.71;12.71;12.71;100;12.71
29.11.2021;14:33:00-000;12.71;12.71;12.71;12.71;213;12.7117
29.11.2021;15:02:00-000;12.71;12.71;12.71;12.71;101;12.71
29.11.2021;15:13:00-000;12.71;12.71;12.71;12.71;103;12.7106
29.11.2021;15:16:00-000;12.71;12.71;12.71;12.71;101;12.7102
29.11.2021;15:21:00-000;12.73;12.73;12.73;12.73;110;12.7295
29.11.2021;15:28:00-000;12.71;12.71;12.71;12.71;100;12.71
29.11.2021;15:30:00-000;12.93;12.96;12.84;12.96;1801;12.9446
29.11.2021;15:31:00-000;12.83;12.83;12.83;12.83;124;12.83
29.11.2021;15:36:00-000;12.825;12.825;12.825;12.825;100;12.825
29.11.2021;15:44:00-000;12.825;12.825;12.825;12.825;105;12.8296
29.11.2021;15:51:00-000;12.82;12.82;12.82;12.82;131;12.827
29.11.2021;15:55:00-000;12.71;12.71;12.71;12.71;105;12.7148
29.11.2021;15:57:00-000;12.7;12.7;12.7;12.7;145;12.751
29.11.2021;15:58:00-000;12.7;12.7;12.7;12.7;112;12.7048
29.11.2021;15:59:00-000;12.94;12.94;12.93;12.94;896;12.919
29.11.2021;16:00:00-000;12.71;12.71;12.71;12.71;309;12.71
29.11.2021;16:10:00-000;12.71;12.71;12.71;12.71;0;0
29.11.2021;18:30:00-000;12.71;12.71;12.71;12.71;0;0
29.11.2021;19:00:00-000;12.71;12.71;12.71;12.71;0;0
