Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:19:00-000;25.2;25.2;25.2;25.2;300;25.2
29.11.2021;09:08:00-000;25.6;25.6;25.6;25.6;400;25.6
29.11.2021;09:46:00-000;25.65;25.65;25.65;25.65;250;25.642
29.11.2021;09:55:00-000;25.6;25.6;25.6;25.6;300;25.6
29.11.2021;10:03:00-000;25.6;25.6;25.6;25.6;100;25.6
29.11.2021;10:31:00-000;25.6;25.6;25.6;25.6;100;25.6
29.11.2021;10:39:00-000;25.6;25.6;25.6;25.6;100;25.6
29.11.2021;13:00:00-000;25.65;25.65;25.65;25.65;200;25.65
29.11.2021;13:08:00-000;25.66;25.66;25.66;25.66;211;25.6595
29.11.2021;13:09:00-000;25.77;25.77;25.77;25.77;200;25.77
29.11.2021;13:11:00-000;25.68;25.68;25.68;25.68;200;25.68
29.11.2021;13:44:00-000;25.8;25.81;25.8;25.81;200;25.805
29.11.2021;13:53:00-000;25.7145;25.7145;25.7145;25.7145;200;25.7145
29.11.2021;15:41:00-000;25.71;25.73;25.7;25.73;668;25.713
29.11.2021;16:00:00-000;25.89;25.89;25.89;25.89;154;25.89
29.11.2021;16:10:00-000;25.89;25.89;25.89;25.89;0;0
29.11.2021;18:30:00-000;25.89;25.89;25.89;25.89;0;0
29.11.2021;19:00:00-000;25.89;25.89;25.89;25.89;0;0
