Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;5.24;5.24;5.24;5.24;1732;5.24
29.11.2021;09:33:00-000;5.2601;5.2601;5.2601;5.2601;100;5.2601
29.11.2021;09:45:00-000;5.27;5.27;5.26;5.26;1000;5.265
29.11.2021;10:10:00-000;5.2548;5.2548;5.2548;5.2548;186;5.2548
29.11.2021;10:11:00-000;5.2512;5.2512;5.2512;5.2512;182;5.2512
29.11.2021;10:20:00-000;5.255;5.255;5.255;5.255;100;5.255
29.11.2021;10:52:00-000;5.257;5.257;5.257;5.257;585;5.257
29.11.2021;11:06:00-000;5.2607;5.2607;5.25;5.26;6539;5.2578
29.11.2021;11:13:00-000;5.26;5.26;5.26;5.26;1000;5.26
29.11.2021;11:22:00-000;5.27;5.27;5.25;5.26;5799;5.2675
29.11.2021;11:23:00-000;5.2501;5.2501;5.2501;5.2501;620;5.2501
29.11.2021;11:30:00-000;5.26;5.26;5.26;5.26;235;5.26
29.11.2021;11:40:00-000;5.25;5.25;5.25;5.25;3000;5.25
29.11.2021;11:43:00-000;5.25;5.25;5.25;5.25;232;5.25
29.11.2021;11:46:00-000;5.26;5.26;5.25;5.25;700;5.2571
29.11.2021;11:55:00-000;5.259;5.259;5.25;5.25;692;5.2552
29.11.2021;11:58:00-000;5.25;5.25;5.25;5.25;196;5.25
29.11.2021;12:03:00-000;5.25;5.25;5.25;5.25;215;5.25
29.11.2021;12:16:00-000;5.25;5.25;5.25;5.25;218;5.25
29.11.2021;12:24:00-000;5.2592;5.26;5.255;5.255;1200;5.2587
29.11.2021;12:36:00-000;5.26;5.26;5.26;5.26;196;5.26
29.11.2021;12:44:00-000;5.26;5.2602;5.26;5.26;2511;5.2601
29.11.2021;12:55:00-000;5.2699;5.27;5.265;5.265;1295;5.2684
29.11.2021;13:41:00-000;5.26;5.26;5.26;5.26;1444;5.2607
29.11.2021;14:05:00-000;5.2601;5.2601;5.26;5.26;1855;5.2601
29.11.2021;14:31:00-000;5.27;5.2783;5.27;5.2783;1100;5.2738
29.11.2021;14:33:00-000;5.27;5.27;5.27;5.27;235;5.27
29.11.2021;14:38:00-000;5.27;5.27;5.27;5.27;198;5.27
29.11.2021;14:42:00-000;5.27;5.27;5.27;5.27;202;5.27
29.11.2021;14:43:00-000;5.266;5.266;5.266;5.266;250;5.266
29.11.2021;14:44:00-000;5.261;5.261;5.261;5.261;282;5.261
29.11.2021;14:45:00-000;5.2629;5.2629;5.2629;5.2629;200;5.2629
29.11.2021;14:46:00-000;5.26;5.26;5.26;5.26;166;5.26
29.11.2021;14:49:00-000;5.26;5.26;5.26;5.26;224;5.26
29.11.2021;14:50:00-000;5.26;5.2636;5.26;5.2636;500;5.2618
29.11.2021;14:52:00-000;5.26;5.26;5.26;5.26;228;5.26
29.11.2021;14:53:00-000;5.267;5.267;5.267;5.267;250;5.267
29.11.2021;14:55:00-000;5.26;5.26;5.26;5.26;233;5.26
29.11.2021;14:57:00-000;5.2601;5.2633;5.26;5.2633;900;5.2615
29.11.2021;14:58:00-000;5.26;5.26;5.26;5.26;100;5.26
29.11.2021;14:59:00-000;5.26;5.26;5.26;5.26;100;5.26
29.11.2021;15:00:00-000;5.26;5.26;5.26;5.26;1000;5.26
29.11.2021;15:02:00-000;5.2602;5.2602;5.2602;5.2602;500;5.2602
29.11.2021;15:04:00-000;5.2501;5.2501;5.25;5.25;9544;5.2501
29.11.2021;15:07:00-000;5.25;5.25;5.2402;5.2402;1500;5.2441
29.11.2021;15:09:00-000;5.25;5.25;5.25;5.25;216;5.25
29.11.2021;15:12:00-000;5.25;5.25;5.25;5.25;195;5.25
29.11.2021;15:18:00-000;5.25;5.25;5.25;5.25;195;5.25
29.11.2021;15:25:00-000;5.25;5.25;5.25;5.25;192;5.25
29.11.2021;15:29:00-000;5.25;5.25;5.25;5.25;198;5.25
29.11.2021;15:33:00-000;5.25;5.25;5.25;5.25;193;5.25
29.11.2021;15:37:00-000;5.25;5.25;5.25;5.25;216;5.25
29.11.2021;15:41:00-000;5.25;5.25;5.25;5.25;202;5.25
29.11.2021;15:43:00-000;5.25;5.25;5.25;5.25;197;5.25
29.11.2021;15:46:00-000;5.25;5.25;5.25;5.25;110;5.25
29.11.2021;15:48:00-000;5.25;5.25;5.25;5.25;220;5.25
29.11.2021;15:49:00-000;5.25;5.2502;5.25;5.2502;1000;5.2501
29.11.2021;15:52:00-000;5.25;5.25;5.25;5.25;140;5.25
29.11.2021;15:55:00-000;5.25;5.2502;5.25;5.2502;1100;5.2501
29.11.2021;15:59:00-000;5.25;5.25;5.25;5.25;800;5.25
29.11.2021;16:00:00-000;5.25;5.25;5.25;5.25;100;5.25
29.11.2021;16:10:00-000;5.25;5.25;5.25;5.25;0;0
29.11.2021;18:30:00-000;5.25;5.25;5.25;5.25;0;0
29.11.2021;19:00:00-000;5.25;5.25;5.25;5.25;0;0
