Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;35.91;35.92;35.71;35.91;10832;35.906
29.11.2021;09:31:00-000;35.85;35.85;35.8;35.8;686;35.8382
29.11.2021;09:32:00-000;35.73;35.8;35.73;35.8;858;35.7638
29.11.2021;09:33:00-000;35.74;35.745;35.74;35.745;388;35.7865
29.11.2021;09:34:00-000;35.64;35.76;35.63;35.75;4419;35.7072
29.11.2021;09:35:00-000;35.75;35.77;35.7;35.74;6286;35.737
29.11.2021;09:36:00-000;35.76;35.78;35.7;35.77;3757;35.7539
29.11.2021;09:37:00-000;35.81;35.81;35.71;35.72;871;35.752
29.11.2021;09:40:00-000;35.72;35.76;35.7;35.72;3017;35.7065
29.11.2021;09:41:00-000;35.7;35.73;35.7;35.7;5827;35.7028
29.11.2021;09:42:00-000;35.7;35.71;35.69;35.69;3928;35.7006
29.11.2021;09:43:00-000;35.67;35.67;35.6;35.61;3712;35.6289
29.11.2021;09:44:00-000;35.6;35.62;35.575;35.595;7353;35.5975
29.11.2021;09:45:00-000;35.56;35.6;35.56;35.6;667;35.5744
29.11.2021;09:46:00-000;35.5866;35.73;35.5866;35.705;7232;35.6718
29.11.2021;09:47:00-000;35.73;35.78;35.705;35.78;1533;35.7407
29.11.2021;09:48:00-000;35.71;35.73;35.71;35.73;609;35.7105
29.11.2021;09:50:00-000;35.75;35.76;35.7;35.72;9169;35.7415
29.11.2021;09:51:00-000;35.72;35.73;35.675;35.72;2138;35.7067
29.11.2021;09:52:00-000;35.68;35.68;35.68;35.68;181;35.68
29.11.2021;09:53:00-000;35.68;35.68;35.68;35.68;388;35.68
29.11.2021;09:55:00-000;35.65;35.68;35.58;35.62;6636;35.6524
29.11.2021;09:56:00-000;35.615;35.74;35.615;35.71;3848;35.675
29.11.2021;09:58:00-000;35.609;35.7;35.609;35.7;1250;35.63
29.11.2021;09:59:00-000;35.67;35.73;35.67;35.675;5750;35.7165
29.11.2021;10:00:00-000;35.66;35.68;35.64;35.655;2458;35.6653
29.11.2021;10:01:00-000;35.665;35.69;35.66;35.69;550;35.6751
29.11.2021;10:02:00-000;35.6303;35.66;35.6303;35.66;1200;35.6353
29.11.2021;10:03:00-000;35.63;35.83;35.58;35.78;36566;35.7525
29.11.2021;10:04:00-000;35.75;35.78;35.7;35.7;3353;35.7513
29.11.2021;10:05:00-000;35.72;35.73;35.72;35.73;2424;35.7213
29.11.2021;10:07:00-000;35.72;35.72;35.72;35.72;340;35.7159
29.11.2021;10:08:00-000;35.685;35.75;35.685;35.75;3127;35.7111
29.11.2021;10:09:00-000;35.76;35.76;35.76;35.76;516;35.7569
29.11.2021;10:11:00-000;35.77;35.8;35.74;35.74;2499;35.7594
29.11.2021;10:12:00-000;35.75;35.75;35.75;35.75;439;35.7525
29.11.2021;10:13:00-000;35.73;35.75;35.71;35.72;4355;35.7378
29.11.2021;10:14:00-000;35.65;35.72;35.62;35.64;1905;35.6852
29.11.2021;10:15:00-000;35.665;35.665;35.64;35.64;211;35.6517
29.11.2021;10:16:00-000;35.68;35.68;35.58;35.58;792;35.6336
29.11.2021;10:17:00-000;35.605;35.605;35.57;35.57;358;35.5792
29.11.2021;10:18:00-000;35.58;35.67;35.58;35.63;5471;35.5923
29.11.2021;10:19:00-000;35.67;35.7;35.67;35.685;811;35.677
29.11.2021;10:20:00-000;35.67;35.67;35.63;35.63;1083;35.6476
29.11.2021;10:21:00-000;35.65;35.67;35.65;35.665;551;35.665
29.11.2021;10:22:00-000;35.67;35.71;35.67;35.71;4005;35.6981
29.11.2021;10:23:00-000;35.63;35.68;35.63;35.64;902;35.6374
29.11.2021;10:24:00-000;35.61;35.65;35.58;35.65;2751;35.6123
