Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:06:00-000;1.16;1.16;1.16;1.16;100;1.16
29.11.2021;10:17:00-000;1.1601;1.1601;1.1601;1.1601;300;1.1601
29.11.2021;10:18:00-000;1.16;1.16;1.16;1.16;400;1.16
29.11.2021;10:40:00-000;1.157;1.157;1.157;1.157;200;1.157
29.11.2021;10:49:00-000;1.1501;1.1501;1.1501;1.1501;300;1.1501
29.11.2021;11:30:00-000;1.15;1.15;1.02;1.03;3959;1.0338
29.11.2021;12:48:00-000;1.14;1.1897;1.14;1.1897;1000;1.1619
29.11.2021;13:14:00-000;1.05;1.05;1.05;1.05;100;1.05
29.11.2021;15:25:00-000;1.1799;1.1799;1.1799;1.1799;9241;1.1799
29.11.2021;15:31:00-000;1.1799;1.1799;1.1799;1.1799;5296;1.1799
