Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;25;25;25;25;1010;25
29.11.2021;09:33:00-000;24.9672;24.9672;24.9672;24.9672;601;24.9672
29.11.2021;09:43:00-000;24.98;24.98;24.98;24.98;300;24.98
29.11.2021;09:57:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;10:00:00-000;25;25;25;25;292;25
29.11.2021;10:09:00-000;24.995;24.995;24.995;24.995;300;24.995
29.11.2021;10:11:00-000;24.98;25.005;24.98;25.005;600;24.9925
29.11.2021;10:18:00-000;25.0025;25.0025;25.0025;25.0025;1413;25.0025
29.11.2021;10:20:00-000;24.97;24.97;24.97;24.97;300;24.9703
29.11.2021;10:24:00-000;24.97;25.0199;24.95;25.0199;1615;24.976
29.11.2021;10:35:00-000;24.97;24.97;24.97;24.97;300;24.97
29.11.2021;10:37:00-000;25.0136;25.0136;25.0136;25.0136;160;25.0136
29.11.2021;10:46:00-000;24.98;24.98;24.9517;24.9517;600;24.9619
29.11.2021;10:48:00-000;25.0196;25.0196;25.0196;25.0196;100;25.0196
29.11.2021;10:51:00-000;24.98;24.98;24.98;24.98;100;24.98
29.11.2021;10:57:00-000;24.95;24.985;24.95;24.985;600;24.9792
29.11.2021;11:01:00-000;24.95;24.95;24.95;24.95;100;24.95
29.11.2021;11:03:00-000;24.95;24.95;24.95;24.95;100;24.95
29.11.2021;11:07:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;11:16:00-000;24.95;24.95;24.95;24.95;425;24.95
29.11.2021;11:22:00-000;24.95;24.95;24.95;24.95;300;24.9521
29.11.2021;11:23:00-000;24.9721;24.9721;24.9721;24.9721;200;24.9721
29.11.2021;11:34:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;11:41:00-000;24.98;24.98;24.98;24.98;400;24.98
29.11.2021;11:42:00-000;24.95;24.95;24.95;24.95;1100;24.95
29.11.2021;11:49:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;12:08:00-000;24.9555;24.9555;24.9555;24.9555;508;24.9555
29.11.2021;12:09:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;12:10:00-000;24.95;24.9501;24.95;24.9501;1279;24.9501
29.11.2021;12:20:00-000;24.95;24.97;24.95;24.97;3265;24.9569
29.11.2021;12:27:00-000;24.95;24.95;24.95;24.95;300;24.95
29.11.2021;12:29:00-000;24.993;24.993;24.993;24.993;1000;24.993
29.11.2021;12:41:00-000;24.95;24.95;24.95;24.95;300;24.9521
29.11.2021;12:42:00-000;24.9637;24.9637;24.9637;24.9637;500;24.9637
29.11.2021;12:44:00-000;24.92;24.92;24.92;24.92;500;24.9279
29.11.2021;12:49:00-000;24.99;24.99;24.98;24.98;1000;24.981
29.11.2021;12:50:00-000;25.0199;25.0199;25.0199;25.0199;1000;25.0199
29.11.2021;12:52:00-000;25.02;25.02;25.02;25.02;500;25.02
29.11.2021;12:59:00-000;25;25;25;25;400;25.005
29.11.2021;13:12:00-000;25.01;25.01;25.01;25.01;660;25.01
29.11.2021;13:15:00-000;25;25;25;25;100;25
29.11.2021;13:19:00-000;25.0183;25.0183;25;25;508;25.0075
29.11.2021;13:28:00-000;25.02;25.02;25.02;25.02;400;25.02
29.11.2021;13:36:00-000;25;25;25;25;100;25
29.11.2021;13:39:00-000;25;25;25;25;100;25
29.11.2021;13:51:00-000;25;25;25;25;300;25
29.11.2021;13:56:00-000;25.02;25.02;25.02;25.02;307;25.02
29.11.2021;14:04:00-000;25.0201;25.0201;25.0201;25.0201;445;25.0201
29.11.2021;14:13:00-000;25.0213;25.0213;25.0213;25.0213;100;25.0213
29.11.2021;14:23:00-000;25.02;25.02;25.02;25.02;303;25.0206
29.11.2021;14:43:00-000;25.02;25.02;25.02;25.02;300;25.02
29.11.2021;14:47:00-000;25.0425;25.0425;25.0425;25.0425;1452;25.0425
29.11.2021;14:58:00-000;25.02;25.02;25.02;25.02;300;25.02
29.11.2021;15:19:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:22:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:27:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:30:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:32:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:33:00-000;25.02;25.0201;25.02;25.02;671;25.0207
29.11.2021;15:38:00-000;25.02;25.05;25.02;25.035;1700;25.0394
29.11.2021;15:43:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:44:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:46:00-000;25.0322;25.0322;25.0232;25.0232;560;25.029
29.11.2021;15:47:00-000;25.02;25.02;25.02;25.02;100;25.02
29.11.2021;15:48:00-000;25.02;25.035;25.02;25.035;1600;25.0236
29.11.2021;15:49:00-000;25.0285;25.0395;25.0285;25.0395;1300;25.0353
29.11.2021;15:50:00-000;25.0395;25.05;25.035;25.05;3090;25.0461
29.11.2021;15:54:00-000;25.05;25.05;25.05;25.05;100;25.05
29.11.2021;15:56:00-000;25.05;25.05;25.05;25.05;100;25.05
29.11.2021;15:58:00-000;25.081;25.081;25.05;25.05;733;25.068
29.11.2021;15:59:00-000;25.08;25.1;25.08;25.1;500;25.0886
29.11.2021;16:00:00-000;25.13;25.13;25.13;25.13;1686;25.13
29.11.2021;16:05:00-000;25.02;25.02;25.02;25.02;1400;25.02
29.11.2021;16:10:00-000;25.13;25.13;25.13;25.13;0;0
29.11.2021;18:30:00-000;25.13;25.13;25.13;25.13;0;0
29.11.2021;19:00:00-000;25.13;25.13;25.13;25.13;0;0
