Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:54:00-000;34.44;34.44;34.44;34.44;100;34.44
29.11.2021;09:30:00-000;34.37;34.37;34.35;34.35;3510;34.3695
29.11.2021;09:32:00-000;34.34;34.34;34.34;34.34;140;34.3407
29.11.2021;09:35:00-000;34.32;34.32;34.315;34.315;403;34.3188
29.11.2021;09:36:00-000;34.34;34.34;34.33;34.33;740;34.3346
29.11.2021;09:38:00-000;34.325;34.325;34.32;34.32;1278;34.3204
29.11.2021;09:39:00-000;34.32;34.32;34.32;34.32;500;34.32
29.11.2021;09:40:00-000;34.32;34.33;34.32;34.33;1584;34.3247
29.11.2021;09:41:00-000;34.33;34.34;34.33;34.34;2540;34.3324
29.11.2021;09:42:00-000;34.33;34.34;34.33;34.33;1793;34.3333
29.11.2021;09:43:00-000;34.32;34.32;34.32;34.32;700;34.32
29.11.2021;09:44:00-000;34.33;34.33;34.33;34.33;600;34.33
29.11.2021;09:45:00-000;34.32;34.32;34.31;34.3105;9458;34.3109
29.11.2021;09:46:00-000;34.3;34.3;34.29;34.29;1263;34.2913
29.11.2021;09:47:00-000;34.29;34.31;34.29;34.31;800;34.3075
29.11.2021;09:48:00-000;34.3084;34.31;34.3;34.3;1079;34.3057
29.11.2021;09:49:00-000;34.3;34.305;34.27;34.27;4000;34.2943
29.11.2021;09:50:00-000;34.26;34.29;34.26;34.29;4150;34.2724
29.11.2021;09:51:00-000;34.29;34.295;34.29;34.29;800;34.2906
29.11.2021;09:52:00-000;34.29;34.295;34.29;34.29;1900;34.2903
29.11.2021;09:53:00-000;34.3;34.3;34.29;34.3;1772;34.2969
29.11.2021;09:54:00-000;34.31;34.31;34.3;34.305;1600;34.3019
29.11.2021;09:55:00-000;34.3;34.32;34.29;34.32;1800;34.3
29.11.2021;09:56:00-000;34.32;34.33;34.32;34.33;5000;34.329
29.11.2021;09:57:00-000;34.32;34.32;34.32;34.32;880;34.3198
29.11.2021;09:58:00-000;34.31;34.32;34.3093;34.31;1630;34.3126
29.11.2021;09:59:00-000;34.31;34.33;34.31;34.31;4350;34.3129
29.11.2021;10:00:00-000;34.3073;34.31;34.3031;34.31;6422;34.3082
29.11.2021;10:01:00-000;34.31;34.31;34.31;34.31;300;34.31
29.11.2021;10:02:00-000;34.31;34.32;34.31;34.32;4671;34.3153
29.11.2021;10:03:00-000;34.3;34.31;34.3;34.31;9623;34.3023
29.11.2021;10:04:00-000;34.3;34.3;34.3;34.3;1100;34.3
29.11.2021;10:05:00-000;34.28;34.3092;34.28;34.3092;2286;34.282
29.11.2021;10:06:00-000;34.29;34.29;34.29;34.29;200;34.29
