Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;58.7;58.7;58.68;58.68;911;58.6945
29.11.2021;09:31:00-000;58.6604;58.6604;58.6604;58.6604;145;58.6604
29.11.2021;09:37:00-000;58.69;58.69;58.69;58.69;200;58.69
29.11.2021;09:38:00-000;58.6887;58.6887;58.6842;58.6842;955;58.6879
29.11.2021;09:45:00-000;58.68;58.68;58.666;58.666;1453;58.6783
29.11.2021;09:51:00-000;58.6549;58.6549;58.6549;58.6549;199;58.6549
29.11.2021;09:52:00-000;58.6638;58.6638;58.6638;58.6638;852;58.6638
29.11.2021;09:56:00-000;58.6441;58.6441;58.6441;58.6441;171;58.6441
29.11.2021;09:57:00-000;58.6414;58.6414;58.6414;58.6414;100;58.6414
29.11.2021;10:00:00-000;58.6513;58.6513;58.6513;58.6513;216;58.6552
29.11.2021;10:05:00-000;58.7086;58.7086;58.7086;58.7086;135;58.7086
29.11.2021;10:10:00-000;58.72;58.72;58.72;58.72;200;58.72
29.11.2021;10:13:00-000;58.6996;58.6996;58.6989;58.6989;718;58.6989
29.11.2021;10:17:00-000;58.69;58.69;58.69;58.69;170;58.69
29.11.2021;10:56:00-000;58.75;58.75;58.75;58.75;100;58.75
29.11.2021;10:57:00-000;58.7782;58.7782;58.7782;58.7782;571;58.7782
29.11.2021;11:10:00-000;58.75;58.75;58.75;58.75;150;58.7533
29.11.2021;11:29:00-000;58.7961;58.7961;58.7961;58.7961;165;58.7961
29.11.2021;11:37:00-000;58.7509;58.7509;58.7509;58.7509;490;58.7512
29.11.2021;12:16:00-000;58.719;58.72;58.719;58.72;2061;58.7193
29.11.2021;12:27:00-000;58.6923;58.6923;58.6923;58.6923;300;58.6923
29.11.2021;13:02:00-000;58.7;58.72;58.699;58.72;22445;58.7148
29.11.2021;13:03:00-000;58.7198;58.7198;58.7198;58.7198;806;58.7196
29.11.2021;13:05:00-000;58.73;58.73;58.73;58.73;328;58.73
29.11.2021;13:41:00-000;58.7202;58.7202;58.7202;58.7202;103;58.7202
29.11.2021;13:53:00-000;58.69;58.69;58.69;58.69;1047;58.6902
29.11.2021;14:24:00-000;58.65;58.65;58.65;58.65;486;58.6497
29.11.2021;14:31:00-000;58.6534;58.6534;58.64;58.64;4577;58.6409
29.11.2021;14:50:00-000;58.62;58.62;58.62;58.62;100;58.62
29.11.2021;15:15:00-000;58.6135;58.6135;58.6135;58.6135;766;58.6135
29.11.2021;15:24:00-000;58.625;58.625;58.625;58.625;100;58.625
29.11.2021;15:29:00-000;58.62;58.62;58.62;58.62;103;58.62
29.11.2021;15:32:00-000;58.62;58.62;58.62;58.62;103;58.62
29.11.2021;15:35:00-000;58.62;58.62;58.62;58.62;119;58.6198
29.11.2021;15:43:00-000;58.615;58.615;58.6147;58.6147;398;58.6148
29.11.2021;15:52:00-000;58.625;58.63;58.625;58.63;900;58.6267
29.11.2021;15:55:00-000;58.625;58.625;58.625;58.625;307;58.625
29.11.2021;15:59:00-000;58.62;58.62;58.61;58.61;4007;58.6177
29.11.2021;16:10:00-000;58.61;58.61;58.61;58.61;0;0
29.11.2021;18:30:00-000;58.61;58.61;58.61;58.61;0;0
29.11.2021;20:00:00-000;58.61;58.61;58.61;58.61;0;0
