Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:19:00-000;16.2;16.2;16.2;16.2;244;16.2
29.11.2021;07:39:00-000;16.09;16.1;16.09;16.1;500;16.094
29.11.2021;07:53:00-000;16.1;16.1;16.1;16.1;100;16.1
29.11.2021;08:00:00-000;16.1;16.1;16.1;16.1;691;16.114
29.11.2021;09:30:00-000;16;16.1;16;16.05;11316;16.0134
29.11.2021;09:31:00-000;16.06;16.28;16.06;16.28;5773;16.2069
29.11.2021;09:32:00-000;16.28;16.43;16.26;16.36;6414;16.3387
29.11.2021;09:33:00-000;16.43;16.43;16.3;16.38;4664;16.3549
29.11.2021;09:34:00-000;16.345;16.43;16.345;16.43;4627;16.3807
29.11.2021;09:35:00-000;16.41;16.41;16.32;16.4;1172;16.3825
29.11.2021;09:36:00-000;16.4;16.4;16.18;16.1978;5389;16.3306
29.11.2021;09:37:00-000;16.22;16.3;16.22;16.3;1201;16.2576
29.11.2021;09:38:00-000;16.16;16.28;16.14;16.28;1632;16.1623
29.11.2021;09:39:00-000;16.155;16.25;16.01;16.14;6863;16.103
29.11.2021;09:40:00-000;16.055;16.33;16;16.33;13341;16.1555
29.11.2021;09:41:00-000;16.3;16.34;16.2804;16.2804;1381;16.2932
29.11.2021;09:42:00-000;16.245;16.34;16.245;16.3224;939;16.3066
29.11.2021;09:43:00-000;16.2;16.31;16.2;16.31;560;16.2205
29.11.2021;09:44:00-000;16.17;16.31;16.17;16.225;2050;16.2253
29.11.2021;09:45:00-000;16.3;16.3;16.1997;16.3;1008;16.2811
29.11.2021;09:46:00-000;16.26;16.3;16.18;16.18;2805;16.259
29.11.2021;09:47:00-000;16.27;16.28;16.1912;16.28;1231;16.2562
29.11.2021;09:48:00-000;16.28;16.35;16.25;16.35;14049;16.3008
29.11.2021;09:49:00-000;16.35;16.35;16.35;16.35;750;16.3496
29.11.2021;09:50:00-000;16.35;16.35;16.3;16.35;1508;16.3366
29.11.2021;09:51:00-000;16.35;16.35;16.26;16.2878;2926;16.2961
29.11.2021;09:52:00-000;16.31;16.33;16.28;16.33;880;16.3094
29.11.2021;09:53:00-000;16.35;16.4;16.3;16.31;3236;16.337
29.11.2021;09:55:00-000;16.26;16.3512;16.25;16.3512;1523;16.3022
29.11.2021;09:56:00-000;16.28;16.36;16.28;16.36;315;16.3346
29.11.2021;09:57:00-000;16.35;16.35;16.305;16.305;1303;16.3339
29.11.2021;09:58:00-000;16.35;16.3604;16.22;16.2731;5308;16.3102
29.11.2021;09:59:00-000;16.28;16.32;16.26;16.31;613;16.2848
29.11.2021;10:00:00-000;16.32;16.32;16.21;16.26;7787;16.3057
29.11.2021;10:01:00-000;16.3199;16.3199;16.26;16.3079;1139;16.3073
29.11.2021;10:02:00-000;16.32;16.32;16.26;16.32;1325;16.306
29.11.2021;10:03:00-000;16.32;16.33;16.315;16.315;1178;16.3238
29.11.2021;10:04:00-000;16.3;16.31;16.23;16.23;2859;16.2748
29.11.2021;10:05:00-000;16.2384;16.26;16.18;16.2;4959;16.2221
29.11.2021;10:06:00-000;16.17;16.1705;16.071;16.071;3227;16.1257
29.11.2021;10:07:00-000;16.075;16.075;15.94;15.95;8212;16.0008
29.11.2021;10:09:00-000;15.91;15.91;15.8;15.8;2254;15.8792
29.11.2021;10:11:00-000;15.81;15.86;15.8;15.86;1808;15.8379
29.11.2021;10:12:00-000;15.83;15.8535;15.83;15.8535;601;15.8496
29.11.2021;10:13:00-000;15.81;15.83;15.74;15.74;2264;15.7867
29.11.2021;10:14:00-000;15.78;15.8;15.68;15.8;2437;15.7275
