Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:32:00-000;19.8;19.8;19.8;19.8;500;19.8
29.11.2021;09:30:00-000;20.19;20.465;20.03;20.465;3247;20.0619
29.11.2021;09:33:00-000;20.0199;20.0199;19.89;19.89;1482;19.9453
29.11.2021;09:34:00-000;20;20;19.87;19.87;1433;19.9757
29.11.2021;09:36:00-000;19.92;19.92;19.92;19.92;110;19.9225
29.11.2021;09:38:00-000;19.94;20.01;19.94;20;1075;20.0006
29.11.2021;09:40:00-000;20.0344;20.04;20;20.04;1226;20.031
29.11.2021;09:45:00-000;19.97;19.97;19.97;19.97;352;19.982
29.11.2021;09:48:00-000;19.9692;19.99;19.965;19.99;802;19.9755
29.11.2021;09:50:00-000;19.94;19.94;19.93;19.93;1404;19.9372
29.11.2021;09:51:00-000;19.94;19.95;19.94;19.94;437;19.945
29.11.2021;09:54:00-000;19.93;19.93;19.9;19.9;596;19.92
29.11.2021;09:55:00-000;19.93;19.93;19.93;19.93;100;19.93
29.11.2021;09:56:00-000;19.93;19.93;19.93;19.93;1176;19.9274
29.11.2021;09:57:00-000;19.93;19.93;19.93;19.93;142;19.9283
29.11.2021;09:59:00-000;19.94;19.94;19.94;19.94;443;19.9449
29.11.2021;10:02:00-000;20;20.01;20;20.01;300;20.0067
29.11.2021;10:03:00-000;19.98;19.98;19.97;19.97;453;19.9674
29.11.2021;10:04:00-000;19.98;19.99;19.98;19.99;391;19.9897
29.11.2021;10:08:00-000;19.9;19.9;19.9;19.9;225;19.9198
29.11.2021;10:09:00-000;19.9;19.9;19.9;19.9;178;19.9
29.11.2021;10:11:00-000;19.91;19.91;19.91;19.91;300;19.9067
29.11.2021;10:12:00-000;19.94;19.9596;19.94;19.9596;246;19.9495
29.11.2021;10:14:00-000;19.92;19.93;19.92;19.93;262;19.9275
29.11.2021;10:15:00-000;19.9;19.9;19.9;19.9;100;19.9
29.11.2021;10:16:00-000;19.93;19.93;19.93;19.93;103;19.9297
29.11.2021;10:18:00-000;19.89;19.89;19.89;19.89;103;19.8897
29.11.2021;10:19:00-000;19.91;19.95;19.91;19.95;3213;19.9384
29.11.2021;10:23:00-000;19.945;19.945;19.945;19.945;100;19.945
29.11.2021;10:25:00-000;19.94;19.94;19.94;19.94;101;19.9401
