Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;2.69;2.72;2.69;2.72;1032;2.6926
29.11.2021;09:31:00-000;2.66;2.73;2.66;2.73;730;2.6924
29.11.2021;09:37:00-000;2.7071;2.7071;2.7071;2.7071;100;2.7071
29.11.2021;09:44:00-000;2.7016;2.7016;2.7016;2.7016;1000;2.7016
29.11.2021;09:46:00-000;2.72;2.73;2.72;2.73;827;2.7272
29.11.2021;09:49:00-000;2.7372;2.7372;2.7372;2.7372;155;2.7372
29.11.2021;09:57:00-000;2.7846;2.7846;2.7846;2.7846;549;2.7846
29.11.2021;10:06:00-000;2.77;2.77;2.77;2.77;501;2.7686
29.11.2021;10:09:00-000;2.763;2.763;2.7544;2.7544;300;2.7573
29.11.2021;10:23:00-000;2.7548;2.7548;2.7548;2.7548;115;2.7542
29.11.2021;10:24:00-000;2.765;2.765;2.765;2.765;1000;2.765
29.11.2021;10:28:00-000;2.7532;2.7532;2.7532;2.7532;400;2.7532
29.11.2021;10:34:00-000;2.7501;2.7501;2.73;2.73;497;2.7405
29.11.2021;10:39:00-000;2.78;2.78;2.78;2.78;2000;2.78
29.11.2021;10:48:00-000;2.7505;2.7505;2.7505;2.7505;2403;2.7505
29.11.2021;11:03:00-000;2.78;2.78;2.78;2.78;106;2.78
29.11.2021;11:14:00-000;2.7747;2.7747;2.7747;2.7747;100;2.7747
29.11.2021;11:18:00-000;2.765;2.765;2.765;2.765;400;2.765
29.11.2021;11:24:00-000;2.78;2.78;2.78;2.78;359;2.7799
29.11.2021;11:26:00-000;2.8;2.8;2.8;2.8;205;2.8
29.11.2021;11:29:00-000;2.77;2.7701;2.77;2.7701;373;2.7785
29.11.2021;11:32:00-000;2.79;2.79;2.77;2.77;1479;2.7741
29.11.2021;11:33:00-000;2.74;2.7845;2.74;2.7845;1916;2.7423
29.11.2021;11:51:00-000;2.75;2.8;2.75;2.75;806;2.7775
29.11.2021;11:55:00-000;2.8;2.8;2.78;2.78;1600;2.7988
29.11.2021;11:58:00-000;2.79;2.79;2.79;2.79;109;2.7892
29.11.2021;12:10:00-000;2.77;2.78;2.77;2.78;300;2.7733
29.11.2021;12:11:00-000;2.79;2.79;2.765;2.78;591;2.7824
29.11.2021;12:21:00-000;2.81;2.81;2.81;2.81;400;2.809
29.11.2021;12:29:00-000;2.81;2.83;2.81;2.83;4100;2.8105
