Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;22.76;22.76;22.54;22.54;5806;22.7536
29.11.2021;09:31:00-000;22.72;22.72;22.64;22.64;1285;22.6866
29.11.2021;09:32:00-000;22.53;22.53;22.53;22.53;215;22.537
29.11.2021;09:35:00-000;22.6;22.605;22.6;22.6;631;22.6008
29.11.2021;09:37:00-000;22.57;22.57;22.55;22.55;431;22.5609
29.11.2021;09:38:00-000;22.57;22.57;22.54;22.54;485;22.5511
29.11.2021;09:39:00-000;22.52;22.52;22.52;22.52;479;22.5214
29.11.2021;09:40:00-000;22.58;22.58;22.58;22.58;171;22.58
29.11.2021;09:42:00-000;22.58;22.58;22.58;22.58;110;22.5736
29.11.2021;09:43:00-000;22.545;22.545;22.49;22.52;1429;22.5105
29.11.2021;09:44:00-000;22.52;22.52;22.52;22.52;145;22.5193
29.11.2021;09:45:00-000;22.48;22.48;22.435;22.435;664;22.4663
29.11.2021;09:46:00-000;22.4228;22.4228;22.4228;22.4228;100;22.4228
29.11.2021;09:47:00-000;22.38;22.42;22.38;22.42;699;22.414
29.11.2021;09:48:00-000;22.4219;22.4219;22.4219;22.4219;438;22.4267
29.11.2021;09:52:00-000;22.43;22.43;22.39;22.39;1317;22.4026
29.11.2021;09:54:00-000;22.43;22.45;22.43;22.45;953;22.4405
29.11.2021;09:55:00-000;22.47;22.49;22.47;22.49;886;22.4783
29.11.2021;10:00:00-000;22.6029;22.6029;22.6029;22.6029;243;22.6041
29.11.2021;10:04:00-000;22.53;22.53;22.53;22.53;442;22.5248
29.11.2021;10:06:00-000;22.47;22.47;22.47;22.47;1168;22.4702
29.11.2021;10:10:00-000;22.465;22.465;22.465;22.465;258;22.4622
29.11.2021;10:12:00-000;22.4125;22.4125;22.4125;22.4125;564;22.4136
29.11.2021;10:16:00-000;22.37;22.37;22.37;22.37;583;22.37
29.11.2021;10:17:00-000;22.4;22.4;22.4;22.4;200;22.405
29.11.2021;10:20:00-000;22.37;22.38;22.37;22.38;27141;22.372
29.11.2021;10:21:00-000;22.4;22.41;22.4;22.41;300;22.4067
29.11.2021;10:22:00-000;22.43;22.43;22.4;22.4;467;22.4064
29.11.2021;10:27:00-000;22.35;22.35;22.35;22.35;809;22.3516
29.11.2021;10:28:00-000;22.34;22.34;22.34;22.34;288;22.3432
29.11.2021;10:31:00-000;22.27;22.27;22.27;22.27;195;22.2762
29.11.2021;10:33:00-000;22.22;22.22;22.22;22.22;500;22.22
29.11.2021;10:34:00-000;22.23;22.23;22.23;22.23;102;22.23
29.11.2021;10:35:00-000;22.24;22.24;22.235;22.24;360;22.2403
29.11.2021;10:36:00-000;22.24;22.24;22.24;22.24;103;22.241
29.11.2021;10:37:00-000;22.25;22.25;22.21;22.21;800;22.215
29.11.2021;10:40:00-000;22.2178;22.2178;22.2178;22.2178;100;22.2178
29.11.2021;10:41:00-000;22.19;22.19;22.13;22.14;1610;22.1615
29.11.2021;10:44:00-000;22.18;22.18;22.18;22.18;225;22.1806
29.11.2021;10:45:00-000;22.19;22.2;22.19;22.2;600;22.1983
29.11.2021;10:46:00-000;22.21;22.21;22.21;22.21;306;22.2101
29.11.2021;10:47:00-000;22.22;22.22;22.22;22.22;401;22.2199
29.11.2021;10:51:00-000;22.21;22.21;22.21;22.21;400;22.21
29.11.2021;10:53:00-000;22.22;22.22;22.22;22.22;1171;22.22
29.11.2021;10:55:00-000;22.22;22.23;22.21;22.23;1299;22.2231
29.11.2021;10:57:00-000;22.25;22.25;22.25;22.25;431;22.2494
29.11.2021;10:58:00-000;22.33;22.33;22.33;22.33;130;22.33
29.11.2021;11:00:00-000;22.33;22.33;22.33;22.33;139;22.3202
29.11.2021;11:02:00-000;22.34;22.34;22.34;22.34;200;22.34
29.11.2021;11:04:00-000;22.305;22.305;22.305;22.305;100;22.305
29.11.2021;11:09:00-000;22.27;22.2725;22.27;22.27;1600;22.2711
29.11.2021;11:10:00-000;22.305;22.305;22.305;22.305;100;22.305
29.11.2021;11:12:00-000;22.34;22.35;22.34;22.35;914;22.3459
29.11.2021;11:22:00-000;22.37;22.38;22.37;22.37;1300;22.3712
29.11.2021;11:28:00-000;22.405;22.405;22.405;22.405;201;22.4048
29.11.2021;11:30:00-000;22.32;22.36;22.315;22.36;1505;22.3304
29.11.2021;11:31:00-000;22.3997;22.3997;22.3992;22.3992;400;22.3995
29.11.2021;11:35:00-000;22.3;22.3;22.3;22.3;1537;22.3
29.11.2021;11:36:00-000;22.3;22.3;22.3;22.3;100;22.3
29.11.2021;11:37:00-000;22.3;22.3;22.3;22.3;403;22.2999
29.11.2021;11:38:00-000;22.3;22.3;22.3;22.3;212;22.2999
29.11.2021;11:39:00-000;22.305;22.32;22.305;22.32;754;22.318
29.11.2021;11:41:00-000;22.32;22.32;22.32;22.32;920;22.3192
29.11.2021;11:42:00-000;22.32;22.32;22.3;22.3;1100;22.3164
29.11.2021;11:44:00-000;22.3;22.3;22.3;22.3;200;22.3
29.11.2021;11:45:00-000;22.29;22.29;22.29;22.29;600;22.29
29.11.2021;11:47:00-000;22.3;22.3;22.3;22.3;130;22.3046
29.11.2021;11:48:00-000;22.31;22.34;22.31;22.33;1170;22.3268
