Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:09:00-000;4.0799;4.0799;4.0799;4.0799;499;4.0799
29.11.2021;09:30:00-000;4.05;4.05;4.05;4.05;4712;4.0496
29.11.2021;09:37:00-000;3.9411;3.97;3.94;3.94;5606;3.967
29.11.2021;09:38:00-000;3.97;3.98;3.97;3.98;1258;3.9738
29.11.2021;09:39:00-000;3.99;3.99;3.99;3.99;904;3.99
29.11.2021;09:40:00-000;4;4.01;4;4.01;1032;4.0071
29.11.2021;09:43:00-000;4.024;4.024;4.024;4.024;510;4.0239
29.11.2021;09:44:00-000;4.01;4.01;4.01;4.01;226;4.009
29.11.2021;09:47:00-000;3.99;3.99;3.99;3.99;785;3.99
29.11.2021;09:51:00-000;3.99;3.99;3.99;3.99;2117;3.99
29.11.2021;09:54:00-000;3.98;3.98;3.98;3.98;242;3.98
29.11.2021;09:58:00-000;3.9605;3.9605;3.9605;3.9605;200;3.9605
29.11.2021;10:00:00-000;3.95;3.95;3.95;3.95;113;3.9488
29.11.2021;10:04:00-000;3.95;3.95;3.95;3.95;4508;3.95
29.11.2021;10:05:00-000;3.95;3.95;3.95;3.95;126;3.9522
29.11.2021;10:07:00-000;3.95;3.96;3.95;3.9583;1790;3.9565
29.11.2021;10:08:00-000;3.94;3.94;3.91;3.91;10200;3.9199
29.11.2021;10:09:00-000;3.9004;3.91;3.9004;3.91;700;3.9031
29.11.2021;10:10:00-000;3.91;3.92;3.91;3.92;1000;3.918
29.11.2021;10:11:00-000;3.9102;3.92;3.91;3.92;3100;3.9132
29.11.2021;10:12:00-000;3.91;3.9127;3.91;3.9106;1300;3.9107
29.11.2021;10:13:00-000;3.9115;3.915;3.91;3.915;2426;3.9134
29.11.2021;10:14:00-000;3.915;3.915;3.91;3.91;1790;3.9144
29.11.2021;10:15:00-000;3.915;3.915;3.9109;3.9109;1385;3.9143
29.11.2021;10:16:00-000;3.915;3.915;3.915;3.915;400;3.915
29.11.2021;10:18:00-000;3.92;3.92;3.9132;3.9132;1108;3.9184
29.11.2021;10:19:00-000;3.92;3.9205;3.9136;3.9205;2510;3.9193
29.11.2021;10:21:00-000;3.92;3.922;3.9101;3.922;600;3.9157
29.11.2021;10:22:00-000;3.93;3.93;3.93;3.93;864;3.93
29.11.2021;10:24:00-000;3.9208;3.925;3.92;3.925;921;3.9226
29.11.2021;10:25:00-000;3.929;3.929;3.929;3.929;395;3.9276
29.11.2021;10:26:00-000;3.9202;3.9202;3.9202;3.9202;1000;3.9202
29.11.2021;10:27:00-000;3.91;3.92;3.91;3.92;4304;3.9112
29.11.2021;10:28:00-000;3.9107;3.9107;3.9107;3.9107;220;3.9107
29.11.2021;10:29:00-000;3.9101;3.9101;3.9101;3.9101;500;3.9101
29.11.2021;10:30:00-000;3.91;3.91;3.91;3.91;800;3.91
29.11.2021;10:31:00-000;3.91;3.91;3.91;3.91;533;3.9093
29.11.2021;10:32:00-000;3.89;3.89;3.89;3.89;427;3.89
29.11.2021;10:36:00-000;3.89;3.89;3.87;3.87;1216;3.8816
29.11.2021;10:37:00-000;3.88;3.88;3.85;3.85;1292;3.8536
29.11.2021;10:38:00-000;3.825;3.84;3.8;3.815;2900;3.821
29.11.2021;10:39:00-000;3.7932;3.82;3.7932;3.82;6782;3.8125
29.11.2021;10:40:00-000;3.83;3.8374;3.83;3.8374;462;3.8358
29.11.2021;10:41:00-000;3.83;3.83;3.83;3.83;430;3.83
29.11.2021;10:42:00-000;3.8203;3.8203;3.8203;3.8203;214;3.8203
29.11.2021;10:44:00-000;3.83;3.8427;3.83;3.84;3423;3.836
29.11.2021;10:45:00-000;3.85;3.862;3.85;3.862;3554;3.8576
29.11.2021;10:48:00-000;3.8614;3.865;3.8614;3.865;1330;3.8633
29.11.2021;10:49:00-000;3.865;3.87;3.865;3.87;1317;3.8689
29.11.2021;10:50:00-000;3.879;3.879;3.879;3.879;250;3.879
29.11.2021;10:51:00-000;3.87;3.87;3.87;3.87;630;3.87
29.11.2021;10:52:00-000;3.88;3.89;3.88;3.89;1686;3.8831
29.11.2021;10:53:00-000;3.8817;3.8817;3.8817;3.8817;200;3.8817
29.11.2021;10:54:00-000;3.88;3.88;3.87;3.88;1918;3.8782
29.11.2021;10:55:00-000;3.87;3.88;3.87;3.88;2775;3.878
29.11.2021;10:56:00-000;3.883;3.883;3.883;3.883;100;3.883
29.11.2021;10:58:00-000;3.88;3.88;3.86;3.88;2099;3.8741
29.11.2021;10:59:00-000;3.88;3.88;3.88;3.88;1599;3.88
29.11.2021;11:00:00-000;3.8814;3.8814;3.8814;3.8814;200;3.8814
29.11.2021;11:02:00-000;3.8858;3.89;3.8858;3.89;1212;3.8883
29.11.2021;11:04:00-000;3.8801;3.8815;3.8801;3.8815;466;3.8818
29.11.2021;11:06:00-000;3.88;3.885;3.86;3.86;8625;3.8718
29.11.2021;11:07:00-000;3.87;3.87;3.87;3.87;1141;3.8697
29.11.2021;11:08:00-000;3.87;3.87;3.87;3.87;232;3.87
29.11.2021;11:09:00-000;3.86;3.87;3.86;3.87;2452;3.8681
29.11.2021;11:11:00-000;3.8701;3.8701;3.8701;3.8701;346;3.8701
29.11.2021;11:12:00-000;3.875;3.875;3.875;3.875;100;3.875
29.11.2021;11:14:00-000;3.875;3.875;3.875;3.875;100;3.875
29.11.2021;11:15:00-000;3.88;3.88;3.8701;3.8701;1164;3.8769
29.11.2021;11:20:00-000;3.875;3.875;3.875;3.875;160;3.874
29.11.2021;11:21:00-000;3.8799;3.8799;3.875;3.875;1279;3.8757
29.11.2021;11:23:00-000;3.88;3.88;3.88;3.88;100;3.88
29.11.2021;11:24:00-000;3.88;3.88;3.88;3.88;100;3.88
29.11.2021;11:25:00-000;3.88;3.88;3.88;3.88;129;3.88
29.11.2021;11:26:00-000;3.88;3.88;3.88;3.88;200;3.8782
29.11.2021;11:27:00-000;3.88;3.88;3.88;3.88;100;3.88
29.11.2021;11:28:00-000;3.875;3.88;3.875;3.88;3281;3.879
29.11.2021;11:29:00-000;3.8718;3.8718;3.8718;3.8718;584;3.8715
29.11.2021;11:30:00-000;3.88;3.88;3.8721;3.8721;471;3.8744
29.11.2021;11:31:00-000;3.88;3.88;3.88;3.88;2537;3.88
29.11.2021;11:32:00-000;3.88;3.88;3.875;3.88;301;3.8783
29.11.2021;11:33:00-000;3.87;3.88;3.87;3.88;200;3.875
29.11.2021;11:35:00-000;3.88;3.88;3.875;3.875;210;3.8774
29.11.2021;11:36:00-000;3.88;3.88;3.88;3.88;102;3.88
29.11.2021;11:37:00-000;3.875;3.875;3.875;3.875;499;3.8755
29.11.2021;11:38:00-000;3.8775;3.8775;3.8775;3.8775;100;3.8775
29.11.2021;11:39:00-000;3.875;3.8775;3.875;3.8775;200;3.8763
29.11.2021;11:40:00-000;3.8775;3.8775;3.8775;3.8775;154;3.8759
29.11.2021;11:41:00-000;3.87;3.875;3.87;3.875;3180;3.8703
29.11.2021;11:42:00-000;3.88;3.88;3.875;3.875;298;3.8768
29.11.2021;11:43:00-000;3.88;3.88;3.87;3.875;1738;3.8721
29.11.2021;11:44:00-000;3.87;3.87;3.87;3.87;255;3.8702
29.11.2021;11:46:00-000;3.8711;3.8711;3.8711;3.8711;605;3.8712
29.11.2021;11:47:00-000;3.875;3.8775;3.8738;3.8751;1169;3.8747
29.11.2021;11:48:00-000;3.875;3.875;3.875;3.875;593;3.8751
29.11.2021;11:49:00-000;3.875;3.88;3.87;3.88;755;3.8738
29.11.2021;11:50:00-000;3.875;3.875;3.875;3.875;372;3.875
29.11.2021;11:51:00-000;3.875;3.875;3.875;3.875;235;3.8744
29.11.2021;11:52:00-000;3.875;3.88;3.875;3.88;394;3.8763
29.11.2021;11:53:00-000;3.8775;3.8775;3.8775;3.8775;100;3.8775
29.11.2021;11:54:00-000;3.875;3.88;3.875;3.88;264;3.8769
29.11.2021;11:55:00-000;3.875;3.875;3.875;3.875;209;3.875
29.11.2021;11:56:00-000;3.8775;3.8775;3.875;3.875;301;3.8759
29.11.2021;11:57:00-000;3.8788;3.8788;3.8788;3.8788;903;3.8788
29.11.2021;11:59:00-000;3.8775;3.885;3.875;3.885;6118;3.8799
29.11.2021;12:00:00-000;3.8875;3.89;3.885;3.89;1006;3.8893
29.11.2021;12:01:00-000;3.8975;3.8975;3.8975;3.8975;100;3.8975
29.11.2021;12:03:00-000;3.8975;3.9;3.8975;3.9;1050;3.8998
29.11.2021;12:04:00-000;3.9;3.9;3.8923;3.8923;1400;3.8945
29.11.2021;12:05:00-000;3.9;3.9;3.9;3.9;667;3.9
29.11.2021;12:06:00-000;3.89;3.89;3.89;3.89;115;3.89
29.11.2021;12:07:00-000;3.9;3.9;3.9;3.9;229;3.9
29.11.2021;12:09:00-000;3.895;3.895;3.89;3.89;1064;3.8928
29.11.2021;12:10:00-000;3.885;3.885;3.88;3.88;2762;3.8815
29.11.2021;12:12:00-000;3.885;3.885;3.88;3.88;725;3.8807
29.11.2021;12:13:00-000;3.885;3.885;3.885;3.885;100;3.885
29.11.2021;12:16:00-000;3.885;3.885;3.885;3.885;200;3.8875
29.11.2021;12:18:00-000;3.8803;3.8803;3.8803;3.8803;300;3.8803
29.11.2021;12:20:00-000;3.885;3.8894;3.885;3.885;2165;3.8888
29.11.2021;12:25:00-000;3.8875;3.8875;3.8875;3.8875;400;3.8875
29.11.2021;12:29:00-000;3.88;3.89;3.88;3.89;300;3.8833
29.11.2021;12:30:00-000;3.89;3.89;3.885;3.8875;1935;3.889
29.11.2021;12:31:00-000;3.8875;3.8875;3.8875;3.8875;103;3.8875
29.11.2021;12:32:00-000;3.8875;3.8875;3.8875;3.8875;107;3.8875
29.11.2021;12:33:00-000;3.89;3.89;3.89;3.89;1404;3.8897
29.11.2021;12:34:00-000;3.8875;3.8875;3.8875;3.8875;100;3.8875
29.11.2021;12:35:00-000;3.8875;3.8875;3.8875;3.8875;100;3.8875
29.11.2021;12:36:00-000;3.89;3.89;3.885;3.8856;3572;3.8876
29.11.2021;12:37:00-000;3.885;3.885;3.885;3.885;261;3.8858
29.11.2021;12:39:00-000;3.8875;3.8875;3.8875;3.8875;101;3.8875
29.11.2021;12:40:00-000;3.8877;3.8877;3.8875;3.8875;200;3.8876
