Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;27.57;27.82;27.57;27.82;2386;27.5835
29.11.2021;09:31:00-000;27.81;27.81;27.81;27.81;102;27.8045
29.11.2021;09:33:00-000;27.5;27.5;27.5;27.5;496;27.4835
29.11.2021;09:35:00-000;27.31;27.31;27.3;27.3;426;27.305
29.11.2021;09:39:00-000;27.16;27.16;27.15;27.15;386;27.165
29.11.2021;09:40:00-000;27.04;27.04;26.96;26.96;2514;26.9968
29.11.2021;09:46:00-000;26.975;27.06;26.97;27.06;8388;27
29.11.2021;09:47:00-000;26.94;26.95;26.94;26.95;1339;26.9418
29.11.2021;09:50:00-000;26.91;26.91;26.9;26.9;669;26.8982
29.11.2021;09:52:00-000;26.8705;26.94;26.8705;26.94;475;26.8815
29.11.2021;09:53:00-000;26.8015;26.8015;26.8015;26.8015;100;26.8015
29.11.2021;09:54:00-000;26.82;26.86;26.8;26.86;1155;26.8202
29.11.2021;09:55:00-000;26.89;27;26.89;26.96;1877;26.9368
29.11.2021;09:56:00-000;26.99;26.99;26.99;26.99;212;26.9932
29.11.2021;09:57:00-000;26.9972;27.01;26.93;26.99;8458;26.9928
29.11.2021;10:00:00-000;27.01;27.01;27.01;27.01;115;26.9915
29.11.2021;10:02:00-000;27.03;27.03;27.03;27.03;338;27.039
29.11.2021;10:03:00-000;27.04;27.05;26.97;26.97;401;27.0075
29.11.2021;10:04:00-000;27.005;27.005;26.96;26.96;1077;26.9644
29.11.2021;10:05:00-000;26.802;26.802;26.802;26.802;106;26.8032
29.11.2021;10:06:00-000;26.9299;26.98;26.8864;26.8864;1814;26.9264
29.11.2021;10:09:00-000;26.83;26.9089;26.83;26.9089;526;26.8798
29.11.2021;10:10:00-000;26.99;27.01;26.99;27.01;681;26.9955
29.11.2021;10:11:00-000;26.95;26.95;26.91;26.91;816;26.9224
29.11.2021;10:14:00-000;26.94;26.94;26.94;26.94;100;26.94
29.11.2021;10:16:00-000;26.8;26.83;26.67;26.67;1947;26.7881
29.11.2021;10:17:00-000;26.83;26.83;26.83;26.83;291;26.8207
29.11.2021;10:18:00-000;26.83;26.89;26.83;26.89;1028;26.8536
29.11.2021;10:20:00-000;26.85;26.88;26.81;26.88;311;26.8488
29.11.2021;10:21:00-000;26.89;27.06;26.89;27.06;1380;26.9617
29.11.2021;10:24:00-000;27;27;26.94;26.94;561;26.9742
29.11.2021;10:25:00-000;27.01;27.01;26.88;26.88;609;26.9005
29.11.2021;10:27:00-000;26.78;26.78;26.77;26.77;528;26.7738
29.11.2021;10:29:00-000;26.675;26.675;26.675;26.675;100;26.675
29.11.2021;10:30:00-000;26.6;26.6;26.6;26.6;351;26.6016
29.11.2021;10:31:00-000;26.595;26.66;26.595;26.66;214;26.6254
29.11.2021;10:32:00-000;26.55;26.62;26.55;26.62;1165;26.5625
29.11.2021;10:33:00-000;26.63;26.63;26.62;26.62;1249;26.6226
29.11.2021;10:34:00-000;26.65;26.65;26.65;26.65;187;26.6267
29.11.2021;10:35:00-000;26.59;26.68;26.59;26.68;649;26.6562
29.11.2021;10:36:00-000;26.68;26.75;26.68;26.75;3618;26.6952
29.11.2021;10:37:00-000;26.64;26.64;26.465;26.5;1308;26.5411
29.11.2021;10:38:00-000;26.51;26.51;26.51;26.51;212;26.5076
29.11.2021;10:41:00-000;26.485;26.5;26.47;26.47;781;26.4787
29.11.2021;10:42:00-000;26.5;26.5;26.5;26.5;312;26.5
29.11.2021;10:44:00-000;26.55;26.58;26.55;26.58;704;26.5619
29.11.2021;10:46:00-000;26.61;26.61;26.61;26.61;307;26.6098
29.11.2021;10:47:00-000;26.6823;26.6823;26.6823;26.6823;1069;26.6786
29.11.2021;10:48:00-000;26.67;26.69;26.67;26.69;959;26.6833
29.11.2021;10:49:00-000;26.7;26.73;26.62;26.73;4040;26.6932
29.11.2021;10:50:00-000;26.74;26.93;26.74;26.85;5329;26.8227
29.11.2021;10:51:00-000;26.79;26.79;26.75;26.79;3999;26.7863
29.11.2021;10:52:00-000;26.78;26.8;26.75;26.7752;5418;26.774
29.11.2021;10:53:00-000;26.79;26.83;26.78;26.82;3613;26.812
29.11.2021;10:54:00-000;26.8;26.855;26.78;26.855;400;26.8287
29.11.2021;10:55:00-000;26.84;26.84;26.84;26.84;103;26.8403
29.11.2021;10:56:00-000;26.83;26.84;26.8;26.8;1006;26.8293
29.11.2021;10:57:00-000;26.8;26.8;26.8;26.8;648;26.8069
29.11.2021;10:59:00-000;26.9;26.9;26.89;26.89;992;26.8991
29.11.2021;11:02:00-000;26.935;26.935;26.935;26.935;105;26.9371
29.11.2021;11:03:00-000;26.935;27;26.88;27;1666;26.9182
29.11.2021;11:08:00-000;26.87;26.87;26.87;26.87;107;26.8721
29.11.2021;11:09:00-000;26.89;26.89;26.88;26.88;722;26.8779
29.11.2021;11:10:00-000;26.93;26.93;26.87;26.87;321;26.8751
29.11.2021;11:12:00-000;26.87;26.9;26.81;26.9;5266;26.8651
29.11.2021;11:13:00-000;26.87;26.91;26.82;26.87;1386;26.8691
29.11.2021;11:14:00-000;26.82;26.93;26.8;26.89;2760;26.8283
29.11.2021;11:15:00-000;26.93;26.93;26.87;26.87;1737;26.9145
