Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:05:00-000;6.82;6.82;6.82;6.82;150;6.8333
29.11.2021;05:08:00-000;6.42;6.42;6.42;6.42;165;6.42
29.11.2021;05:33:00-000;6.4;6.4;6.4;6.4;316;6.4
29.11.2021;05:47:00-000;6.42;6.42;6.42;6.42;139;6.42
29.11.2021;06:50:00-000;6.29;6.29;6.29;6.29;119;6.29
29.11.2021;06:55:00-000;6.3;6.3;6.3;6.3;100;6.3
29.11.2021;07:30:00-000;6.29;6.29;6.29;6.29;100;6.29
29.11.2021;07:48:00-000;6.25;6.25;6.25;6.25;457;6.25
29.11.2021;07:58:00-000;6.25;6.25;6.25;6.25;300;6.25
29.11.2021;08:00:00-000;6.3094;6.3094;6.3094;6.3094;120;6.3094
29.11.2021;08:14:00-000;6.25;6.25;6.25;6.25;314;6.25
29.11.2021;08:17:00-000;6.25;6.25;6.25;6.25;1370;6.25
29.11.2021;08:40:00-000;6.29;6.29;6.29;6.29;447;6.29
29.11.2021;08:41:00-000;6.3;6.3;6.3;6.3;500;6.3
29.11.2021;08:42:00-000;6.29;6.3;6.29;6.29;553;6.293
29.11.2021;08:54:00-000;6.3;6.3;6.3;6.3;201;6.3
29.11.2021;08:55:00-000;6.26;6.26;6.26;6.26;270;6.26
29.11.2021;08:59:00-000;6.25;6.25;6.25;6.25;433;6.25
29.11.2021;09:06:00-000;6.2;6.2;6.2;6.2;159;6.2058
29.11.2021;09:14:00-000;6.25;6.25;6.25;6.25;209;6.25
29.11.2021;09:15:00-000;6.25;6.25;6.25;6.25;216;6.2493
29.11.2021;09:27:00-000;6.17;6.17;6.17;6.17;721;6.1705
29.11.2021;09:30:00-000;6.19;6.25;6.12;6.12;15704;6.2005
29.11.2021;09:31:00-000;6.14;6.14;6.08;6.09;3547;6.1046
29.11.2021;09:32:00-000;6.09;6.2237;6.09;6.215;6223;6.1466
29.11.2021;09:33:00-000;6.2;6.25;6.2;6.24;7300;6.2237
29.11.2021;09:34:00-000;6.23;6.23;6.22;6.23;1199;6.2281
29.11.2021;09:35:00-000;6.24;6.24;6.24;6.24;221;6.2365
29.11.2021;09:36:00-000;6.23;6.24;6.2;6.24;2594;6.2226
29.11.2021;09:37:00-000;6.25;6.25;6.23;6.23;3302;6.2376
29.11.2021;09:38:00-000;6.25;6.31;6.25;6.31;7291;6.2817
29.11.2021;09:39:00-000;6.31;6.31;6.26;6.26;3585;6.2936
29.11.2021;09:40:00-000;6.26;6.265;6.22;6.22;3168;6.2383
29.11.2021;09:41:00-000;6.21;6.22;6.21;6.22;770;6.217
29.11.2021;09:42:00-000;6.25;6.27;6.24;6.25;2133;6.2489
29.11.2021;09:43:00-000;6.26;6.29;6.25;6.28;4533;6.2679
29.11.2021;09:44:00-000;6.29;6.29;6.2488;6.2488;2870;6.2761
29.11.2021;09:45:00-000;6.26;6.26;6.23;6.26;3411;6.2455
29.11.2021;09:46:00-000;6.25;6.25;6.23;6.23;1787;6.2386
29.11.2021;09:47:00-000;6.22;6.25;6.22;6.23;3590;6.2308
29.11.2021;09:48:00-000;6.24;6.24;6.21;6.23;1832;6.2264
29.11.2021;09:49:00-000;6.236;6.24;6.22;6.22;1334;6.2235
29.11.2021;09:50:00-000;6.21;6.23;6.21;6.23;1608;6.216
29.11.2021;09:51:00-000;6.2394;6.2394;6.23;6.23;2211;6.2334
29.11.2021;09:52:00-000;6.257;6.26;6.24;6.2473;2267;6.2522
29.11.2021;09:53:00-000;6.24;6.2498;6.22;6.22;7068;6.2389
29.11.2021;09:54:00-000;6.23;6.261;6.23;6.261;1277;6.2462
29.11.2021;09:55:00-000;6.27;6.3;6.26;6.2973;3289;6.2665
29.11.2021;09:56:00-000;6.3;6.32;6.3;6.3;2507;6.3054
29.11.2021;09:57:00-000;6.29;6.31;6.2873;6.29;3639;6.298
29.11.2021;09:58:00-000;6.28;6.2973;6.28;6.29;3136;6.2883
29.11.2021;09:59:00-000;6.29;6.32;6.27;6.2959;3631;6.2975
29.11.2021;10:00:00-000;6.29;6.3;6.28;6.295;7437;6.2978
29.11.2021;10:01:00-000;6.28;6.283;6.23;6.23;5421;6.2761
29.11.2021;10:02:00-000;6.23;6.23;6.21;6.21;2002;6.2211
29.11.2021;10:03:00-000;6.21;6.21;6.21;6.21;1092;6.2091
29.11.2021;10:04:00-000;6.22;6.22;6.2;6.2;3796;6.2096
29.11.2021;10:05:00-000;6.2;6.2;6.2;6.2;1107;6.2021
29.11.2021;10:06:00-000;6.25;6.25;6.25;6.25;292;6.2493
29.11.2021;10:07:00-000;6.25;6.25;6.23;6.23;1466;6.246
29.11.2021;10:08:00-000;6.22;6.22;6.21;6.21;1597;6.2113
29.11.2021;10:09:00-000;6.22;6.24;6.22;6.24;2401;6.2272
29.11.2021;10:10:00-000;6.23;6.23;6.2;6.2;998;6.2184
29.11.2021;10:11:00-000;6.2;6.2;6.18;6.2;3257;6.1903
29.11.2021;10:12:00-000;6.21;6.21;6.21;6.21;1098;6.21
29.11.2021;10:13:00-000;6.2;6.2;6.17;6.17;2749;6.1803
29.11.2021;10:15:00-000;6.16;6.18;6.15;6.17;3937;6.1627
29.11.2021;10:16:00-000;6.17;6.17;6.17;6.17;1033;6.1697
29.11.2021;10:17:00-000;6.18;6.18;6.18;6.18;209;6.1795
29.11.2021;10:18:00-000;6.19;6.2173;6.19;6.2173;3336;6.1916
29.11.2021;10:19:00-000;6.1965;6.21;6.1965;6.21;264;6.2017
29.11.2021;10:20:00-000;6.23;6.23;6.23;6.23;329;6.2217
29.11.2021;10:21:00-000;6.23;6.23;6.23;6.23;135;6.2267
29.11.2021;10:22:00-000;6.22;6.23;6.21;6.21;4749;6.2221
29.11.2021;10:23:00-000;6.2;6.2;6.17;6.18;2420;6.1905
29.11.2021;10:24:00-000;6.17;6.17;6.13;6.13;6103;6.1554
29.11.2021;10:26:00-000;6.13;6.13;6.09;6.1;9956;6.1104
